name,id
Aaltonen Carina,47
Anders Englund,72
Anders Eriksson,70
Anders Eriksson (åländsk politiker),70
Asumaa Tony,372
Barbro Sundback,67
Beijar Christian,373
Britt Lundberg,63
Camilla Gunell,76
Carina Aaltonen,47
Carlson Gun,49
Carlsson Petri,422
Dahl Ulla-Britt,109
Dan-Anders Sundman,74
Danne Sundman,74
Ehn Johan,79
Eklund Brage,374
Eklöw Raija-Liisa,80
Eliasson Torbjörn,96
Englund Anders,72
Eriksson Anders,70
Eriksson Sirpa,107
Eriksson Viveka,64
Erland Olof,83
Fogelström Karl-Johan,425
Fredrik Karlström,82
Gun Carlson,49
Gun-Mari Lindholm,65
Gunell Camilla,76
Gunnar Jansson,62
Harry Jansson,81
Hilander John,218
Holmberg Igge,375
Holmberg-Jansson Annette,642
Jansson Gunnar,62
Jansson Harry,81
Jansson Roger,69
Johan Ehn,79
Jonsson Axel,376
Jörgen Strand,89
Karlsson Runar,75
Karlström Fredrik,82
Kemetter Sara,424
Lindholm Gun-Mari,65
Lindström Henry,97
Lundberg Britt,63
Lundberg Margaret,110
Mattsson Jan-Erik,91
Mattsson Åke,71
Nordberg Mika,90
Nordlund Roger,66
Olof Erland,83
Perämaa Mats,77
Pettersson Jörgen,377
Roger Jansson,69
Roger Nordlund,66
Runar Karlsson,75
Salmén Jan,111
Sjögren Katrin,68
Sjölund Folke,112
Sjöstrand Leo,86
Slotte Roger,87
Strand Jörgen,89
Sundback Barbro,67
Sundblom Torsten,88
Sundman Danne,74
Torbjörn Eliasson,96
Torsten Sundblom,88
Viveka Eriksson,64
Winé Göte,379
Βίβεκα Έρικσον,64
Καμίλα Γκούνελ,76
"Гунелл, Камилла",76
"Нордлунд, Рогер",66
"Эрикссон, Вивека",64
"Янссон, Рогер",69
カミラ・グネル,76
ガン＝マリ・リンドホルム,65
ハリー・ヤンソン,81
ヨハン・エン,79
ロジャー・ノードランド,66
ロジャー・ヤンソン,69
ヴィヴェカ・エリクソン,64
