id,name,image,birth_date,area,group,term,source,wikiname
10738,"ABAZI, Sadri",http://www.parlament.al/web/pub/abazi_s_60_0.jpg,1957-02-10,Tiranë,PS,8,http://www.parlament.al/web/ABAZI_Sadri_10738_1.php,
20778,"ALHYSA, Erjeta","",1971-05-18,Tiranë,PS,8,http://www.parlament.al/web/ALHYSA_Erjeta_20778_1.php,
16260,"ANGJELI, Anastas",http://www.parlament.al/web/pub/anastas_angjeli_13989_0.jpg,1956-05-06,"",PS,8,http://www.parlament.al/web/ANGJELI_Anastas_16260_1.php,
10708,"BALLA, Taulant",http://www.parlament.al/web/pub/balla_t_64_0.jpg,1977-08-12,Elbasan,PS,8,http://www.parlament.al/web/BALLA_Taulant_10708_1.php,
10827,"BARAJ, Besnik",http://www.parlament.al/web/pub/baraj_b_8023_0.jpg,1956-03-12,Tiranë,PS,8,http://www.parlament.al/web/BARAJ_Besnik_10827_1.php,
16357,"BEJKO, Gentian",http://www.parlament.al/web/pub/gentian_bejko_15245_0.jpg,1973-09-09,"",PS,8,http://www.parlament.al/web/BEJKO_Gentian_16357_1.php,
10842,"BERISHA, Sali",http://www.parlament.al/web/pub/kryeministri_7981_0.jpg,1944-10-15,"","",8,http://www.parlament.al/web/BERISHA_Sali_10842_1.php,
19766,"BITRI, Robert",http://www.parlament.al/web/pub/bitri_21844_0.jpg,,Fier,LSI,8,http://www.parlament.al/web/BITRI_Robert_19766_1.php,
10711,"BLUSHI, Ben",http://www.parlament.al/web/pub/blushi_b_72_0.jpg,1969-01-01,Elbasan,PS,8,http://www.parlament.al/web/BLUSHI_Ben_10711_1.php,
10834,"BOÇI, Luçiano",http://www.parlament.al/web/pub/boci_l_8027_0.jpg,1967-03-26,Elbasan,PD,8,http://www.parlament.al/web/BOCI_Lu_c_iano_10834_1.php,
10797,"BODE, Ridvan",http://www.parlament.al/web/pub/bode_r_73_0.jpg,1959-06-26,Korçë,PD,8,http://www.parlament.al/web/BODE_Ridvan_10797_1.php,
10781,"BOGDANI, Gerti",http://www.parlament.al/web/pub/bogdani_g_8028_0.jpg,1980-07-07,Tiranë,PD,8,http://www.parlament.al/web/BOGDANI_Gerti_10781_1.php,
10712,"BRAÇE, Erion",http://www.parlament.al/web/pub/brace_e_74_0.jpg,1972-04-02,Fier,PS,8,http://www.parlament.al/web/BRACE_Erion_10712_1.php,
15842,"BRAHO, Spartak",http://www.parlament.al/show_image.php?file_id=14926,1951-07-17,"",LSI,8,http://www.parlament.al/web/BRAHO_Spartak_15842_1.php,
