id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
588,ABABSA NASSER,,,INDEPENDANTS,independants,Khenchla,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/313.jpg,Homme
22,ABAS ABDELHAMID,,,FRONT DES FORCES SOCIALISTES,front_des_forces_socialistes,Bordj Bou Arreridj,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/477.jpg,Homme
23,ABAZI MOHAMED KAMEL,,,PARTI NAT. POUR LA SOLIDARITE ET LE DEVELOPPEMENT,parti_nat._pour_la_solidarite_et_le_developpement,Ouargla,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/314.jpg,Homme
24,ABDELAZIZ MANSOUR,,,FRONT DU CHANGEMENT,front_du_changement,Boumerdes,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/318.jpg,Homme
25,ABDELLAOUI ABDELKADER,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Sidi Bel Abbes,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/319.jpg,Homme
572,ABDELLAOUI EP CHAHTA BARKAHOUM,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Djelfa,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/463_1.jpg,Femme
26,ABDELLI ZOUBIR,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Blida,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/321.jpg,Homme
27,ABDELOUAHAB ABDELHALIM,,,ALLIANCE ALGERIE VERTE,alliance_algerie_verte,Alger,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/320.jpg,Homme
28,ABDELSADEK NEE BELKENNICH SALIMA,,,ALLIANCE ALGERIE VERTE,alliance_algerie_verte,Chlef,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/315.jpg,Femme
29,ABDELSADOK NEE BENCHABA DJEMAIA,,,MOUVEMENT POPULAIRE ALGERIEN,mouvement_populaire_algerien,Relizane,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/316.jpg,Femme
