name,id
Atalina Asifoa,atalina_asifoa
Faimealelei Anthony Fu’e Allen,faimealelei_anthony_fu’e_allen
Fetu Fetui Jr.,fetu_fetui_jr.
Larry Simou Sanitoa,larry_simou_sanitoa
Legae’e Mauga,legae’e_mauga
Manumaua Wayne Wilson,manumaua_wayne_wilson
Maugaoali’i Sipa Anoa’i,maugaoali’i_sipa_anoa’i
Mulinu’u Vae’iaitu Filo Maluia,mulinu’u_vae’iaitu_filo_maluia
Puleleiite Lia Tufele Jr.,puleleiite_lia_tufele_jr.
Puletu D. Koko,puletu_d._koko
Talaimatai Elisara Su’a,talaimatai_elisara_su’a
Timusa Tini Lam Yuen,timusa_tini_lam_yuen
Toea’ina F. Autele,toea’ina_f._autele
Vailoata Eteuati Amituana’i,vailoata_eteuati_amituana’i
Vesi Talalelei Fautanu Jr.,vesi_talalelei_fautanu_jr.
Vui Florence Tuaumu Saulo,vui_florence_tuaumu_saulo
