id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
asot_anthony_michael,Asot Anthony MICHAEL,,,ALP,alp,St. Peter,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Asot_Michael_2014c.jpg,
bertrand_lemuel_joseph,Bertrand Lemuel JOSEPH,,,UPP,upp,St. Mary's North,House of Representatives,2004,,,,
charlesworth_t._samuel,Charlesworth T. SAMUEL,,,UPP,upp,All Saints East & St. Luke,House of Representatives,2004,,,,
eleston_m._adams,Eleston M. ADAMS,,,UPP,upp,St. Paul,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Eleston_Adams_2014.jpg,
gaston_alphonso_browne,Gaston Alphonso BROWNE,,,ALP,alp,St. John's City West,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Gaston_Browne_2014c.jpg,
harold_lovell,Harold LOVELL,,,UPP,upp,St. John's City East,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Harold_Lovell_2014.jpg,
hilson_baptiste,Hilson BAPTISTE,,,UPP,upp,St. Mary's South,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Hilson_Baptiste_2014.jpg,
hubert_john_maginley,Hubert John MAGINLEY,,,UPP,upp,St. John's Rural North,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/John_Maginley_2014.jpg,
jacqui_quinn-leandro,Jacqui QUINN-LEANDRO,,,UPP,upp,St. George,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Jacqui_Quinn_Leandro_2014.jpg,
leon_errol_cort,Leon Errol CORT,,,UPP,upp,St. John's Rural East,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Errol_Cort_2014.jpg,
lorencezo_chanlah_codrington,Lorencezo Chanlah CODRINGTON,,,UPP,upp,All Saints West,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Chanlah_Codrington_2014.jpg,
robin_kensworth_yearwood,Robin Kensworth YEARWOOD,,,ALP,alp,St. Phillip North,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,
steadroy_'cutie'_benjamin,Steadroy 'Cutie' BENJAMIN,,,ALP,alp,St. John's City South,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Steadroy_Benjamin_2014c.jpg,
trevor_walker,Trevor WALKER,,,BPM,bpm,Barbuda,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Trevor_Walker_2014.jpg,
willmoth_daniel,Willmoth DANIEL,,,UPP,upp,St. Phillip South,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Wilmoth_Daniel_2014.jpg,
winston_baldwin_spencer,Winston Baldwin SPENCER,,,UPP,upp,St. John's Rural West,House of Representatives,2004,,,http://www.caribbeanelections.com/ag/images/people/Baldwin_Spencer_2014.jpg,
winston_vincent_williams,Winston Vincent WILLIAMS,,,UPP,upp,St. John's Rural South,House of Representatives,2004,,,,
