name,id
Abraham Manukyan,1105
Aghvan Vardanyan,1128
Aleksan Petrosyan,1011
Alexander Arzoumanian,1135
Ara Aramyan,1116
Ara Babloyan,1065
Aragats Akhoyan,1109
Araik Hovhannisyan,1085
Arakel Movsisyan,1077
Aram Manukyan,1120
Arayik Aghababyan,1118
Arayik Grigoryan,1042
Arkadi Hambardzumyan,1028
Arman Sahakyan,1142
Armen Avetisyan,1117
Armen Babayan,1130
Armen Karapetyan,1144
Armen Mkhitaryan,1086
Armen Rustamyan,1127
Arshak Mkhitaryan,1106
Artak Davtyan,1087
Artak Sargsyan,1005
Artak Zakaryan,1084
Artashes Geghamyan,1062
Artsvik Minasyan,1129
Artur Gevorgyan,1007
Artur Stepanyan,1004
Ashot Aghababyan,1032
Ashot Arsenyan,1038
Bazmaser Arakelyan,1114
Davit Kocharyan,1022
Edmon Marukyan,1029
Eduard Sharmazanov,1059
Elinar Vardanyan,1096
Gagik Jhangiryan,1125
Gagik Melikyan,1148
Gagik Minasyan,1055
Gagik Tsarukyan,1026
Galust Sahakyan,1053
Garegin Nushikyan,1016
Grigori Margaryan,1041
Gurgen Arsenyan,1092
Hakob G. Hakobyan,1040
Hakob R. Hakobyan,1017
Hamlet Harutyunyan,1078
Harutyun Gharagyozyan,1104
Hayk Babukhanyan,1064
Hayk Grigoryan,1036
Hayk Khachatryan,1113
Heghine Bisharyan,1045
Hermine Naghdalyan,1057
Hovhannes Margaryan,1138
Hovhannes Sahakyan,1137
Hovhannes Sofoyan,1080
Hrant Bagratyan,1124
Hrant Davtyan,1107
Hrant Grigoryan,1008
Ishkhan Khachatryan,1049
Karen Avagyan,1067
Karen Botoyan,1015
Karen Karapetyan,1031
Karen Saribekyan,1030
Karine Atshemyan,1066
Karine Poghosyan,1027
Karo Karapetyan,1103
Khachatur Kokobelyan,1132
Khosrov Harutyunyan,1063
Koryun Nahapetyan,1012
Lernik Aleksanyan,1147
Levon Dokholyan,1145
Levon Martirosyan,1068
Levon Zourabian,1121
Lyova Khachatryan,1018
Lyudmila Sargsyan,1122
Manvel Badeyan,1013
Manvel Grigoryan,1060
Margarit Yesayan,1069
Marine Marabyan,1039
Martun Grigoryan,1033
Melik Manukyan,1043
Meruzhan Simonyan,1108
Mher Sedrakyan,1020
Mher Shahgeldyan,1048
Mikayel Manukyan,1146
Mikayel Melkumyan,1095
Mkrtich Minasyan,1089
Mnatsakan Mnatsakanyan,1023
Murad Guloyan,1024
Murad Muradyan,1025
Mushegh Petoyan,1035
Nahapet Gevorgyan,1075
Naira Karapetyan,1079
Naira Zohrabyan,1093
Nikol Pashinyan,1123
Razmik Zohrabyan,1054
Robert Sargsyan,1141
Ruben Gevorgyan,1099
Ruben Hovsepyan,1009
Ruben Sadoyan,1014
Rubik Hakobyan,1136
Rustam Gasparyan,1102
Ruzanna Muradyan,1074
Samvel Aleksanyan,1010
Samvel Farmanyan,1002
Samvel Nikoyan,1052
Sedrak Saroyan,1006
Shirak Torosyan,1082
Shushan Petrosyan,1061
Spartak Melikyan,1081
Stepan Demirtshyan,1119
Stepan Margaryan,1097
Sukias Avetisyan,1139
Tatshat Vardapetyan,1090
Tevan Poghosyan,1140
Tigran Nersisyan,1151
Tigran Stepanyan,1110
Tigran Urikhanyan,1101
Vahagn Makhsudyan,1115
Vahan Babayan,1100
Vahan Karapetyan,1112
Vahe Enfiajyan,1098
Vahe Hovhannisyan,1094
Vahram Baghdasaryan,1073
Vahram Mkrtchyan,1149
Vardan Ayvazyan,1070
Vardan Oskanian,1091
Vazgen Karakhanyan,1150
Volodya Badalyan,1088
Vrezh Markosyan,1021
Zaruhi Postanjyan,1133
