incoming_name,existing_name,confidence
Steve Dargavel,Steven Dargavel,95.65217391304348
Andrew Nikolić,Andrew Nikolic,90.9090909090909
Lou Lieberman,Louis Lieberman,90.9090909090909
Phil Cleary,Philip Cleary,88.88888888888889
Ric Charlesworth,Richard Charlesworth,86.66666666666667
Rod Atkinson,Rodney Atkinson,85.71428571428571
Ray Braithwaite,Raymond Braithwaite,85.71428571428571
Tony Lamb,Antony Lamb,85.71428571428571
Greg Wilton,Gregory Wilton,84.21052631578947
Ron Edwards,Ronald Edwards,84.21052631578947
Russ Gorman,Russell Gorman,84.21052631578947
"Bob Katter, Sr.",Bob Katter,82.35294117647058
Christine Gallus,Chris Gallus,81.81818181818183
Donald Milner Cameron,Donald Cameron,81.48148148148148
Frank Walker,Francis Walker,80.0
Les Scott,Leslie Scott,80.0
Ros Kelly,Roslyn Kelly,80.0
Ben Humphreys,Benjamin Humphreys,80.0
Chris Haviland,Christopher Haviland,78.57142857142857
Bob Chynoweth,Robert Chynoweth,78.26086956521739
Bob Halverson,Robert Halverson,78.26086956521739
Ken Aldred,Kenneth Aldred,77.77777777777779
Chris Hurford,Christopher Hurford,76.92307692307693
Laurie Brereton,Laurence Brereton,76.92307692307693
Fred Chaney,Frederick Chaney,76.19047619047619
Harry Edwards,Harold Edwards,76.19047619047619
Bill Hayden,William Hayden,73.68421052631578
Bob Charles,Robert Charles,73.68421052631578
Tony Lawler,Anthony Lawler,73.68421052631578
Bill Taylor,William Taylor,73.68421052631578
Peter William Hendy,Peter Hendy,72.72727272727273
Wal Fife,Wallace Fife,71.42857142857143
Max Burr,Maxwell Burr,71.42857142857143
Bob Catley,Robert Catley,70.58823529411765
Nick Dondas,Nicholas Dondas,70.0
Jim Carlton,James Carlton,66.66666666666666
Dick Klugman,Richard Klugman,66.66666666666666
Bob Hawke,Robert Hawke,66.66666666666666
Bob Brown,Robert Brown,66.66666666666666
Gerry Hand,Gerard Hand,66.66666666666666
Tom Uren,Thomas Uren,61.53846153846154
Ted Mack,Edward Mack,61.53846153846154
Mike Pratt,Michael Pratt,58.82352941176471
Jim Snow,James Snow,50.0
Maggie Deahm,Margaret Deahm,50.0
Clarrie Millar,Percival Millar,43.47826086956522
