name,id
"Dr. Maria Agard, M.P.",23
"Dr. the Hon. David C. Estwick, M.P.",20
"Dr. the Hon. Denis S. Lowe, M.P.",19
"Her Honour Mrs. M-J. Mara Thompson, M.P.",40
"His Honour Michael A. Carrington, M.P.",30
"Hon. Adriel D. Brathwaite, Q.C., M.P.",21
"Hon. Christopher P. Sinckler, M.P.",37
"Hon. Denis St.E. Kellman, M.P.",5
"Hon. Donville O'N. Inniss, M.P.",10
"Hon. Freundel J. Stuart, Q.C., M.P.",35
"Hon. John D. E. Boyce, M.P.",18
"Hon. Michael A. Lashley, M.P.",22
"Hon. Miss Mia A. Mottley, Q.C., M.P.",28
"Hon. Richard L. Sealy, M.P.",33
"Hon. Ronald D. Jones, M.P.",16
"Hon. Stephen A. Lashley, M.P.",17
"Hon. Steven D. Blackett, M.P.",31
"Lt. Col. Jeffrey D. Bostic, M.P.",34
"Miss Cynthia Y. Forde, J.P., M.P.",25
"Miss Santia J. O. Bradshaw, M.P.",36
"Mr. Dale D. Marshall, Q.C., M.P.",12
"Mr. Dwight G. Sutherland, M.P.",14
"Mr. Edmund Hinkson, M.P.",8
"Mr. George W. Payne, Q.C., M.P.",24
"Mr. Gline A. Clarke, J.P., M.P.",13
"Mr. James D. Paul, M.P.",29
"Mr. Kerrie Symmonds, M.P.",9
"Mr. Ronald St. C. Toppin, M.P.",38
"Mr. Trevor Prescod, M.P.",32
"Rt. Hon. Owen S. Arthur, M.P.",6
