name,image,area,id,party,type,term,source
Lilly Gabriela Montaño Viaña,http://www.diputados.bo/script/imagenes/Santa%20Cruz/montanio.vl.jpg,Plurinominal,montanio.vl,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Victor Ezequiel Borda Belzu,http://www.diputados.bo/script/imagenes/Potosi/borda.bv.jpg,C - 34,borda.bv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Luis Felipe Dorado Middagh,http://www.diputados.bo/script/imagenes/Santa%20Cruz/dorado.ml.jpg,C - 45,dorado.ml,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Nelly Lenz Roso,http://www.diputados.bo/script/imagenes/Tarija/lenz.rn.jpg,C - 42,lenz.rn,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Army Claudia Torrez Diez,http://www.diputados.bo/script/imagenes/Pando/torrez.da.jpg,C - 63,torrez.da,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Erik Morón Osinaga,http://www.diputados.bo/script/imagenes/Santa%20Cruz/monron.oe.jpg,Plurinominal,monron.oe,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ginna Maria Torrez Saracho,http://www.diputados.bo/script/imagenes/Tarija/torrez.sg.jpg,C - 41,torrez.sg,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Alicia Canqui Condori,http://www.diputados.bo/script/imagenes/Chuquisaca/canqui.ca.jpg,Plurinominal,canqui.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Elmar Callejas Ruiz,http://www.diputados.bo/script/imagenes/Chuquisaca/callejas.re.jpg,Plurinominal,callejas.re,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Francisco Cuellar Rios,http://www.diputados.bo/script/imagenes/Chuquisaca/cuellar.rf.jpg,C - 2,cuellar.rf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Epifania Zenteno Mamani,http://www.diputados.bo/script/imagenes/Chuquisaca/zenteno.me.jpg,C - 2,zenteno.me,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Carmen Rosa Dominguez Arias,http://www.diputados.bo/script/imagenes/Chuquisaca/dominguez.ac.jpg,Plurinominal,dominguez.ac,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Antonio Villca Condori,http://www.diputados.bo/script/imagenes/Chuquisaca/villca.ca.jpg,Plurinominal,villca.ca,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Felipa Malaga Mamani,http://www.diputados.bo/script/imagenes/Chuquisaca/malaga.mf.jpg,C - 3,malaga.mf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Francisco Gutierrez Vasquez,http://www.diputados.bo/script/imagenes/Chuquisaca/gutierrez.vf.jpg,C - 3,gutierrez.vf,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Lindaura Lourdes Millares Rios,http://www.diputados.bo/script/imagenes/Chuquisaca/millares.rl.jpg,Plurinominal,millares.rl,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Oscar Eduardo Urquizo Cordova,http://www.diputados.bo/script/imagenes/Chuquisaca/urquizo.co.jpg,Plurinominal,urquizo.co,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
