name,id
Abram Kesupile,abram_kesupile
Alfred Madigele,alfred_madigele
Athaliah Molokomme,athaliah_molokomme
Bagalatia Arone,bagalatia_arone
Biggie Butale,biggie_butale
Botlogile Tshireletso,botlogile_tshireletso
Buti Billy,buti_billy
Christiaan De Graaff,christiaan_de_graaff
Dikgang Makgalemele,dikgang_makgalemele
Dithapelo Keorapetse,dithapelo_keorapetse
Dorcus Makgatho-Malesu,dorcus_makgatho-malesu
Duma Boko,duma_boko
Edwin Batshu,edwin_batshu
Eric Molale,eric_molale
Fidelis Molao,fidelis_molao
Frans Van Der Westhuizen,frans_van_der_westhuizen
Gilbert Mangole,gilbert_mangole
Guma Moyo,guma_moyo
Haskins Nkaigwa,haskins_nkaigwa
Ian Khama,ian_khama
Ian Khama Seretse Khama,ian_khama
Ioannes Khama,ian_khama
Isaac Davids,isaac_davids
Itumeleng Moipisi,itumeleng_moipisi
James Mathokgwane,james_mathokgwane
Joseph Molefe,joseph_molefe
Kagiso Molatlhegi,kagiso_molatlhegi
Kefentse Mzwinila,kefentse_mzwinila
Kenneth Matambo,kenneth_matambo
Kgotla Autlwetse,kgotla_autlwetse
Kitso Mokaila,kitso_mokaila
Kostantinos Markus,kostantinos_markus
Lelatisitswe Sethomo,lelatisitswe_sethomo
Liakat Kablay,liakat_kablay
Mohammed I. Khan,mohammed_i._khan
Moiseraela Goya,moiseraela_goya
Mokgweetsi Masisi,mokgweetsi_masisi
Mokwaledi Moswaane,mokwaledi_moswaane
Ndaba Gaolathe,ndaba_gaolathe
Ngaka Ngaka,ngaka_ngaka
Noah Salakae,noah_salakae
Nonofo Molefhi,nonofo_molefhi
Patrick Ralotsia,patrick_ralotsia
Pelonomi Venson-Moitoi,pelonomi_venson-moitoi
Phenyo Butale,phenyo_butale
Pius Mokgware,pius_mokgware
Polson Majaga,polson_majaga
Prince Maele,prince_maele
Ronald Shamukuni,ronald_shamukuni
Sadique Kebonang,sadique_kebonang
Same Bathobakae,same_bathobakae
Samuel Rantuana,samuel_rantuana
Sedirwa Kgoroba,sedirwa_kgoroba
Seretse Ian Khama,ian_khama
Shaw Kgathi,shaw_kgathi
Shawn Ntlhaile,shawn_ntlhaile
Slumber Tsogwane,slumber_tsogwane
Tawana Moremi,tawana_moremi
Thapelo Olopeng,thapelo_olopeng
Thato Kwerepe,thato_kwerepe
Tlamelo Mmatli,tlamelo_mmatli
Tshekedi Khama II,tshekedi_khama_ii
Tshenolo Mabeo,tshenolo_mabeo
Unity Dow,unity_dow
Vincent Seretse,vincent_seretse
Wynter Mmolotsi,wynter_mmolotsi
Ίαν Χάμα,ian_khama
Ијан Кама,ian_khama
Ијан Хама,ian_khama
"Кхама, Ян",ian_khama
Ян Кхама,ian_khama
יאן קאמה,ian_khama
إيان خاما,ian_khama
یان خاما,ian_khama
იან კჰამა,ian_khama
イアン・カーマ,ian_khama
伊恩·卡马,ian_khama
이언 카마,ian_khama
