area,name,wikipedia,group,source,term,wikiname,email,id,name__en,wikipedia__en,gender,given_name,image,identifier__viaf,identifier__gnd,identifier__lcauth,birth_date,identifier__freebase,identifier__isni,identifier__bnf,identifier__nta,identifier__wikidata
Chobe,Ronald Shamukuni,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,
Maun East,Kostantinos Markus,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,
Maun West,Tawana Moremi,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",tlmoremi@gov.bw,,,,,,,,,,,,,,,
Ngami,Thato Kwerepe,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,
Okavango,Bagalatia Arone,"",BCP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",barone@gov.bw,,,,,,,,,,,,,,,
Tati East,Guma Moyo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",,,,,,,,,,,,,,,,
Tati West,Biggie Butale,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,
Francistown East,Buti Billy,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,
Francistown South,Wynter Mmolotsi,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",wmmolotsi@gov.bw,,,,,,,,,,,,,,,
Francistown West,Mokwaledi Moswaane,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",,,,,,,,,,,,,,,,
Nata-Gweta,Polson Majaga,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,
Nkange,Edwin Batshu,https://en.wikipedia.org/wiki/Edwin_Batshu,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Edwin Batshu,ebatshu@gov.bw,,Edwin Batshu,Edwin Batshu,male,Edwin,,,,,,,,,,Q18763858
Shashe West,Fidelis Molao,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,
Tonota,Thapelo Olopeng,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,
Bobonong,Shaw Kgathi,https://en.wikipedia.org/wiki/Shaw_Kgathi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Shaw Kgathi,"",,Shaw Kgathi,Shaw Kgathi,male,,,,,,,,,,,Q10961094
Mmadinare,Kefentse Mzwinila,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",,,,,,,,,,,,,,,,
Selibe Phikwe East,Nonofo Molefhi,https://en.wikipedia.org/wiki/Nonofo_Molefhi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Nonofo Molefhi,"",,Nonofo Molefhi,Nonofo Molefhi,male,,,,,,,,,,,Q18618892
