name,wikipedia__en,area,group,area_id,term,source,id,name__en,gender,given_name,birth_date,death_date,identifier__freebase,family_name,image,identifier__viaf,name__de,name__it,name__fr,name__nl,name__es,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__fr,name__el,wikipedia__el,name__pl,wikipedia__commons,wikipedia__pl,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__cy,name__eo,name__et,name__eu,name__fi,name__ga,name__gl,name__hr,name__hu,name__is,name__la,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__tr,name__vec,name__wa,wikipedia__da,identifier__wikidata
Andrew A. Fahie,"",District 1,VIP,1,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",andrew_a._fahie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Alvin Christopher,Alvin Christopher,District 2,VIP,2,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",alvin_christopher,Alvin Christopher,male,Alvin,,,,,,,Alvin Christopher,Alvin Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16728040
Julian Fraser,Julian Fraser,District 3,VIP,3,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",julian_fraser,Julian Fraser,male,Julian,1950-07-05,,,,,,Julian Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q17198146
Mark Vanterpool,"",District 4,NDP,4,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",mark_vanterpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delores Christopher,"",District 5,NDP,5,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",delores_christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvera Maduro-Caines,"",District 6,NDP,6,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",alvera_maduro-caines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedrick Pickering,"",District 7,NDP,7,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",kedrick_pickering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Penn,"",District 8,NDP,8,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",marlon_penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph T. O'Neal,Ralph T. O'Neal,District 9,VIP,9,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",ralph_t._o'neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,,Ralph T. O’Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O’Neal,,Ραλφ Ο'Νιλ,Ραλφ Ο'Νιλ,Ralph T. O'Neal,,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Q692366
Andrew A. Fahie,"",District 1,VIP,1,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",andrew_a._fahie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
