id,name__bg,name__pl,name__uk,name__en,name__fr,name,wikipedia__bg,wikipedia__bgwikiquote,wikipedia__pl,wikipedia__uk,gender,birth_date,given_name,name__mk,name__nl,wikipedia__en,wikipedia__mk,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__SUDOC,name__lb,name__zh,name__he,name__ko,name__es,name__oc,name__ie,name__yo,name__hu,name__it,name__gl,name__et,name__de,name__ja,name__el,name__sv,name__pt,name__eo,name__ru,name__sr,name__tr,name__ro,name__fi,name__la,name__cs,name__io,name__az,name__hr,name__nb,name__ml,name__pt_br,name__ar,name__sh,name__ca,name__de_ch,name__en_ca,name__en_gb,name__pam,name__cy,name__fa,name__ku,name__da,name__nn,name__vi,name__be,name__id,name__bs,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eowikiquote,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__trwikiquote,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,identifier__LCAuth,identifier__freebase,identifier__NKC,identifier__Munzinger,identifier__parlement,twitter,name__sk,name__sr_el,name__sr_ec,name__sl,wikipedia__dewikiquote,wikipedia__sk,wikipedia__sl,identifier__EuroparlMEP,facebook,identifier__BNF,death_date
Q11778487,Михаил Миков,Michaił Mikow,Міхаіл Міков,Mihail Mikov,Mihaïl Mikov,Михаил Миков,Михаил Миков,Михаил Миков,Michaił Mikow,Міхаіл Міков,male,1960-06-16,Michail,,Michail Mikov,Mihail Mikov,,,,,,,,,,Mihail Mikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mihaïl Mikov,,,,,,,,,,,,,,,,Michail Mikov,,,,,,,,,,,,,,,,,,,/m/0vxgnr3,,,,,,,,,,,,,,,
Q1200924,Десислав Чуколов,Desisław Czukołow,,Desislav Chukolov,Desislav Chukolov,Десислав Чуколов,Десислав Чуколов,,Desisław Czukołow,,male,1974-12-22,,,Desislav Chukolov,Desislav Chukolov,,,,,,,,,,Desislav Chukolov,,,,,,,,Dessislaw Tschukolow,,,,,,,,,Desislav Ciukolov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dessislaw Tschukolow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desislav Ciukolov,,,,,,,,,,,,,,/m/02vr70h,,,,,Desislav Čukolov,,,,,Desislav Čukolov,,38603,,,
Q12273763,Борис Ячев,,,,,Борис Ячев,Борис Ячев,,,,male,1965-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12274499,Валентин Касабов,,,,,Валентин Касабов,Валентин Касабов,,,,male,1958-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12274533,Валери Симеонов,Waleri Simeonow,,Valeri Simeonov,Valeri Simeonov,Валери Симеонов,Валери Симеонов,,Waleri Simeonow,,male,1955-03-14,Valeri,,Valeri Simeonov,Valeri Simeonov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12274975,Велизар Енчев,,,Velizar Enchev,Velizar Enchev,Велизар Енчев,Велизар Енчев,,,,male,1953-01-07,,,,Velizar Enchev,,,21295715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12277826,Делян Пеевски,Delan Peewski,,Delyan Peevski,Delyan Peevski,Делян Пеевски,Делян Пеевски,,Delan Peewski,,male,1980-07-27,,,Deljan Peewski,Delyan Peevski,,,,,,,,,,Delyan Peevski,,,,,,,,Deljan Peewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deljan Peewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12278209,Димитър Байрактаров,,,,,Димитър Байрактаров,Димитър Байрактаров,,,,male,1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12278288,Димитър Главчев,,,,,Димитър Главчев,Димитър Главчев,,,,male,1963-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12281867,Искрен Веселинов,,,,,Искрен Веселинов,Искрен Веселинов,,,,male,1972-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
