name,id
AHINGEJEJE Alfred,2010-1
AHISHAKIYE Gloriose,2015-1
ARAKAZA Christine,2010-2
BANYIKWA Adolphe,2015-2
BARAMPAMA Chantal,2015-3
BARAMPAMA Rémy,2010-3
BARANYANKA Joselyne,2015-4
BARANYIZIGIYE Jacqueline,2015-5
BARARUFISE Marceline,2010-4
BAREKEBAVUGE Alexis,2010-5
BASHINGWA Evole,2015-6
BAVAKURE Domitien,2015-7
BAZIRAHOMPONYO YE Rémégie,2015-8
BERAHINO Gloriose,2010-6
BIGIRIMANA Alphonsine,2010-7
BIKORIMANA Jérôme,2015-10
BIZIMUNGU Simon,2015-11
BIZUMUREMYI Pascal,2015-12
BOSOKOZA Bernard,2010-11
BUCUMI Moïse,2010-8
BUCUMI Pasteur,2010-9
BUKUMBANYA Henri,2010-10
BUKURU Renate,2015-13
BURIKUKIYE Victor,2015-14
BUSOKOZA Bernard,2015-15
BUTORE Joseph,2010-12
BUTOYI Stany,2010-13
CIMPAYE Spéciose,2015-16
CIZA Angèle,2015-17
COYITUNGIYE Claver,2015-18
DUKUNDANE Fleurette,2015-19
Dr. BIGIRINDAVYI Ildéphonse,2015-9
GAFURERO Léocadie,2010-14
GAFURERO Léocadie,2015-20
GAHIMBARE Joselyne,2010-15
GAHUNGU Juvénal,2010-16
GAKOBWA Séraphine,2015-21
GASUHUKE Jacques,2010-17
GASUHUKE Jacques,2015-22
GASUTWA Bonaventure,2010-18
HABONIMANA Odette,2010-19
HABONIMANA Odette,2015-23
HAKIZIMANA Emilien,2010-20
HAKIZIMANA Léopold,2015-24
HAKIZIMANA Pascal,2015-25
HATUNGIMANA Godeberthe,2015-26
HATUNGIMANA Léonidas,2010-21
HATUNGIMANA Venant,2015-27
HAVYARIMANA Juvénal,2010-22
HAVYARIMANA Juvénal,2015-28
IHOTORIHIGWA Jean,2010-23
INABIGENDERA Mireille,2015-29
INAMAHORO Espérance,2010-24
IRAKOZE Caritas,2015-30
IRAKOZE Lydia,2015-31
IRAMBONA Joséphine,2015-32
KABANGO Georges,2015-33
KABURA François,2010-25
KAMARIZA Justine,2010-26
KAMERE Ange Denise,2015-34
KANGOYE Jovithe,2010-27
KARENGA Ramadhan,2010-28
KARERA Denis,2015-35
KARERWA MO- MAMO,2015-36
KARERWA Mo-Mamo,2010-29
KUNTWARI Elias,2010-30
MALAYIKA Pamphile,2015-37
MANIRAKIZA Abdallah,2010-31
MANIRAKIZA Anatole,2015-38
MANIRAKIZA Pascasie,2015-39
MANIRAMBONA Térence,2015-40
MASUDI Selemani,2010-32
MBONEKO Sauda,2015-41
MBONIGABA Noé,2015-43
MBONIHANKUYE François,2015-42
MBONIMPA Adolphe,2015-44
MBONIMPA Freddy,2015-45
MBONINYIBUKA Gilbert,2015-46
MIBURO Gaudence,2010-33
MINANI Jean,2010-34
MINANI Marie Thérèse,2010-35
MISAGO Amédée,2015-47
MISAGO Sébastien,2010-36
MIZERO Mireille,2015-48
MPITABAVUMA François,2015-49
MUDUGU Poppon,2010-37
MUHIMPUNDU Xavière,2015-50
MUHUNGU Jean Bosco,2015-51
MUKESHIMANA Léonidas,2015-52
MUREKERISONI Jeanine,2015-53
MVUYEKURE Lazare,2015-54
MWIDOGO Persille,2015-55
NAHAYO Claude,2010-38
NAHAYO Claude,2015-56
NAHAYO Immaculée,2015-57
NAHINTIJE Julienne,2015-58
NANKWAHOMBA Melchior,2010-39
NCAHINYERETSE Ladislas,2010-40
NDABIRABE Gélase,2015-59
NDARUVUKANYE Zénon,2015-60
NDAYIMANISHA Canisius,2015-61
NDAYIRAGIJE Juvénal,2015-62
NDAYISENGA Bernard,2015-63
NDAYIZAMBA André,2010-41
NDAYIZAMBA André,2015-64
NDAYIZEYE Gloriose,2010-42
NDAYIZEYE Gloriose,2015-65
NDAYIZEYE Sylvestre,2010-43
NDAYIZIGA Oscar,2010-44
NDIHOKUBWAYO Angèle,2015-66
NDIHOKUBWAYO Norbert,2010-45
NDIKUMANA Constantin,2010-46
NDIKUMANA Evariste,2010-47
NDIKUMANA Juvénal,2010-48
NDIKUMANA Pierre Célestin,2015-67
NDIKUMASABO Terence,2015-68
NDIMURWANKO Anne-Marie,2010-49
NDITIJE Charles,2010-50
NDITIJE Charles,2015-69
NDORICIMPA Gabriel,2010-51
NDURURUTSE Gaudence,2010-52
NDUWAYO Gilbert,2015-70
NDUWIMANA Déogratias,2015-71
NDUWIMANA Dévote,2015-72
NDUWIMANA Edouard,2010-53
NDUWIMANA Edouard,2015-73
NDUWIMANA Godeberthe,2010-54
NDUWIMANA Sennel,2010-55
NDUWUBURUNDI Félicien,2010-56
NDUWUMWAMI Rénovat,2015-74
NGAYIMPENDA Evariste,2015-75
NGENDABANKA Anglebert,2015-76
NGENDAKUMANA Jérémie,2010-57
NGERAGEZE Egide,2015-77
NIBIGIRA Ezéchiel,2010-58
NIBIGIRA Ezéchiel,2015-78
NIHOREHO Félicité,2010-59
NIMENYA Gloriose,2015-79
NIMUSHIMIRIMANA Vianney,2010-60
NININAHAZWE Godelieve,2015-80
NIRAGIRA Félix,2010-61
NIRAGIRA Félix,2015-81
NITEREKA Christine,2010-62
NIYOBUHUNGIRO Justin,2015-82
NIYONGABO Justine,2015-83
NIYONGEKO Ildégonde,2010-67
NIYONKURU Spès,2010-63
NIYONSENGA Gloriose,2015-84
NIYONZIMA Constantin,2015-85
NIYOYANKANA Bonaventure,2010-64
NIYOYUNGURUZA Méthode,2010-65
NIYUHIRE Félicité,2010-66
NIYUKURI Salvator,2015-86
NIZIGIYIMANA Pierre,2010-68
NKUNZIMANA Gérard,2010-69
NKUNZIMANA Jean Claude,2015-87
NKURUNZIZA Aimé,2010-70
NKURUNZIZA Jockie Chantal,2015-88
NSABIMANA Marie Rose,2010-71
NSAVYIMANA Gisèle,2010-72
NSESEMA Jean Marie Pascal,2010-73
NSHAMAJE Hillarie,2015-89
NSHIMIRIMANA Georges,2010-74
NSHIMIRIMANA Georges,2015-90
NSHIMIRIMANA Marie Chantal,2015-91
NTAGAHORAHO Jeanne Marie,2015-92
NTAHIMPERA Apollinaire,2015-93
NTAHONDEREYE Adolphe,2015-94
NTAKAMURENGA Joseph,2010-75
NTAKARUTIMANA Joseph,2010-76
NTAKIRUTIMANA Aloys,2015-95
NTAKIYIRUTA Obed,2015-96
NTANGAMAJERI Diomède,2010-77
NTANYUNGU Festus,2010-78
NTANYUNGU Marie Rose,2010-79
NTASANO Oscar,2010-80
NTAVYOHANYUMA Pie,2010-81
NTAWUNKUNDA Ildephonse,2010-82
NTEZUKOBAGIRA Emmanuel,2015-97
NTIBASHARWA Ruth,2015-98
NTIDENDEREZA Joseph,2010-83
NTIMPIRANGEZA Grégoire,2010-84
NTIMPIRANGEZA Grégoire,2015-99
NTINANIRWA Consolate,2010-85
NTIRANDEKURA Gaudence,2015-100
NTISEZERANA Gabriel,2015-101
NUNZUBUMWE Gertrude,2010-86
NYABENDA Pascal,2010-87
NYABENDA Pascal,2015-102
NYANDWI Adrien,2015-103
NYANDWI Claire,2015-104
NYENIMIGABO Jean Jacques,2010-88
NZEYIMANA Léontine,2010-89
NZEYIMANA Nestor,2015-105
NZEYIMANA Séraphine,2015-106
NZIGAMASABO J Baptiste,2015-107
NZIGAMASABO Jean Baptiste,2010-90
NZIGAMASABO Révérien,2015-108
NZIGAMISONI Consolate,2015-109
RUCARAGI Amédée,2010-91
RUKARA Mohamed,2010-92
RUKUKI Claudine,2010-93
RURAHINDA Bénigne,2010-94
RURAHINDA Bénigne,2015-110
RWASA Agathon,2015-111
RYAHAMA Pasteur,2010-95
SAHINGUVU Yves,2010-96
SAHINGUVU Yves,2015-112
SAMAGORWA James,2015-113
SENDAZIRASA Annonciate,2010-97
SIBOMANA Thacien,2015-114
SIMBAKIRA Etienne,2010-98
SINDAYIGAYA Eric,2015-115
SINDAYIHEBURA Eric,2010-99
SINDAYIHEBURA Sylvestre,2015-116
SINDOKOTSE Denise,2010-100
SINOMENYA Salvator,2010-101
SINZINKAYO Jean Pierre,2015-117
SINZOTUMA Cyprien,2010-102
SORONGO Yolande,2010-103
SUKUNOBA Vincent,2015-118
TURINUMUGABO Ildephonse,2010-104
TUYAGA Anicet,2015-119
UWIMANA Charlotte,2010-105
UWIZEYE Ibrahim,2010-106
UWIZEYE Ibrahim,2015-120
YAMUREMYE Léocadie,2015-121
