name,id
Abraão Aníbal Fernandes Barbosa Vicente,240
Adalberto Higino Tavares Silva,237
Afonso Silva Mendes da Fonseca,281
Alcídio José Gonçalves Tavares,270
Alexandre José Duarte Fonseca Pacheco de Novais,219
Anilda Ineida Monteiro Tavares,238
António Alberto Mendes Fernandes,259
António Delgado Monteiro,205
António Jorge Delgado,239
Aristides Raimundo Lima,256
Arlindo Nascimento do Rosário,217
Armindo Cipriano Maurício,265
Arnaldo Andrade Ramos,269
Austelino Tavares Correia,231
Basílio Mosso Ramos,204
Carlos Alberto Delgado,266
Carlos Alberto Wahnon de Carvalho Veiga,241
Carlos Antonio Silva Ramos,267
Carlos Tavares Rodrigues,283
Cláudia Sofia Marques Rodrigues,274
Clóvis Isildo Barbosa da Silva,209
Cândido Rodrigues,229
Daniel Augusto Melo Lima Évora,218
David Lima Gomes,233
Dúnia Alice Monteiro Moreira de Almeida Pereira,275
Emanuel Alberto Duarte Barbosa,212
Estêvão Barros Rodrigues,253
Euclides Eurico Nunes Pina,213
Euclides Vaz Cardoso Centeio,276
Eunice Andrade da Silva Spencer Lopes,236
Eurico Correia Monteiro,226
Eva Sulamita Monteiro Caldeira Marques,228
Felisberto Alves Vieira,282
Fernando Eíisio Leboucher Freire de Andrade,242
Fernando Jorge Spencer Ferreira Frederico,258
Fernando Lopes Robalo,262
Filipe Baptista Gomes Furtado,230
Filomena Mendes Gonçalves,243
Filomena de Fátima Ribeiro Vieira,268
Graça Maria Lopes de Carvalho Sanches,277
Hermes Silva Santos,224
Humberto André Cardoso Duarte,214
Isa Filomena Pereira Soares da Costa,244
Janine Tatiana Santos Lélis,245
Joana Gomes Rosa,246
Joanilda Lúcia Silva Alves,257
Jorge Arcanjo Livramento Nogueira,222
Jorge Pedro Maurício dos Santos,247
Joselito Monteiro Fonseca,279
José Cristiano de Jesus Monteiro,252
José Filomeno Monteiro,248
José Luís Lima Santos,210
José Manuel Gomes Andrade,260
José Manuel Sanches Tavares,271
João dos Santos Luís,206
Justiniano Jorge Lopes de Sena,263
Júlio Lopes Correia,221
Leão Monteiro Lopes,249
Lívio Fernandes Lopes,211
Maria Fernanda Mendes Varela,278
Maria da Luz Rocha Monteiro,254
Miguel Pedro Sousa Monteiro,251
Mário Ramos Pereira Silva,250
Nelson do Rosário Brito,225
Nilda Maria Gonçalves de Pina Fernandes,208
Nuias Mendes Barbosa Silva,264
Orlanda Maria Duarte Santos Ferreira,232
Orlando Pereira Dias,234
Paulo Noel Rendall de Oliveira Martins,280
Pedro Alexandre Tavares Rocha,235
Pedro Amante de Ramiro Furtado,272
Sidónio Fontes Lima Monteiro,255
Susete Soares Muniz,273
Vanusa Tatiana Fernandes Cardoso,216
Virgínia baesa cabral Gonçalves,261
