name,id
Ay Khorn,ay_khorn
Ban Sreymom,ban_sreymom
Bin Chhin,bin_chhin
Bou Lam,bou_lam
Cham Prasidh,Q5069253
Chan Cheng,Q5070292
Chan Yoeun,chan_yoeun
Chay Saing Yun,Q5088596
Chea Poch,Q5088784
Chea Sim,Q1068666
Chea Sophara,chea_sophara
Cheam Channy,Q5088824
Cheam Yeap,cheam_yeap
Chev Kimheng,chev_kimheng
Chhay Than,chhay_than
Chhim Ma,chhim_ma
Chhun Sarim,chhun_sarim
Chiv Kata,chiv_kata
Choulong Somora,Q536071
Dam Sith,dam_sith
Dang Chamroeun,dang_chamroeun
Duong Vanna,Q5315890
Eng Chhai Eang,Q5377367
Heng Danaro,heng_danaro
Heng Samrin,Q379197
Ho Non,Q16190556
Ho Vann,Q5874181
Hor Namhong,Q58287
Hun Neng,hun_neng
Hun Sen,Q57788
Im Chhun Lim,Q6001780
Im Sethy,im_sethy
Ith Sam Heng,ith_sam_heng
Kang Kim Hak,kang_kim_hak
Ke Kim Yan,ke_kim_yan
Ke Sovannaroth,Q6393268
Keat Chhon,Q6382284
Keb Chutema,Q3194577
Kem Sokha,Q3194965
Keo Phyrum,keo_phyrum
Keo Ratanak,keo_ratanak
Keo Sambath,keo_sambath
Kep Chuktema,Q3194577
Ker Sonarorth,Q6393268
Khem Thavy,khem_thavy
Khieu Kanharith,Q4922790
Khuon Sodary,Q16730825
Khy Vandeth,khy_vandeth
Kimsuor Pheairth,kimsuor_pheairth
Kong Bora,kong_bora
Kong Sam Ol,Q16190676
Kong Saphea,kong_saphea
Korng Heang,korng_heang
Kum Kim,kum_kim
Kuoy Bun Reun,Q6445279
Kuoy Bunroeun,Q6445279
Ky Vandara,ky_vandara
Lat Litey,lat_litey
Lim Bunsidareth,lim_bunsidareth
Lim Kean Hor,lim_kean_hor
Lim Kimya,lim_kimya
Long Buny,long_buny
Long Butta,long_butta
Long Ry,long_ry
Loy Sophat,loy_sophat
Ly Kimleang,ly_kimleang
Ly Srey Vina,ly_srey_vina
Mam Bunheng,mam_bunheng
Mao Monivann,mao_monivann
Men Sam An,Q6816221
Min Khin,min_khin
Mok Mareth,Q6895205
Mu Sochua,Q1539074
Mum Chim Huy,mum_chim_huy
Nay Pena,nay_pena
Ngim Yeng,ngim_yeng
Ngin Khorn,Q7022359
Ngo Kimcheang,ngo_kimcheang
Nguon Nhel,Q16190921
Nhem Vanda,nhem_vanda
Nhoy Chamroeun,nhoy_chamroeun
Nim Thot,Q7037514
Nin Saphon,Q7037818
Nuth Rumduol,Q7070444
Ou Chanrith,Q18204622
Ou Chanroath,ou_chanroath
Ouch Sereyvuth,ouch_sereyvuth
Ouk Rabun,Q17523918
Oum Sam An,oum_sam_an
Oung Oeun,oung_oeun
Pal Sam Oeun,Q7126120
Pen Panha,Q7162098
Pen Simon,pen_simon
Pen Sothavarin,pen_sothavarin
Pen Sovan,Q1935910
Pen Sovann,Q1935910
Peou Savoeun,peou_savoeun
Pin Ratana,pin_ratana
Pol Horm,pol_horm
Pot Pouv,pot_pouv
Prum Sokha,prum_sokha
Real Khemrin,real_khemrin
Sak Setha,sak_setha
Sar Kheng,Q16150274
Say Chhum,Q7428913
Seang Nam,seang_nam
So Khun,Q7549331
Sok An,Q1385794
Sok Oumsea,sok_oumsea
Son Chhay,Q7560572
Suos Yara,suos_yara
Suy Sem,Q16191229
Tan Kim Vin,tan_kim_vin
Te Chanmony,te_chanmony
Tep Sothy,Q19665914
Thong Khon,Q7795953
Tia Banh,tia_banh
Tioulong Saumura,Q536071
To Vanchan,to_vanchan
Tout Khoeut,tout_khoeut
Troeung Thavy,troeung_thavy
Tuon Yuda,tuon_yuda
Van Narith,van_narith
Vong Soth,vong_soth
Yem Ponnarith,yem_ponnarith
Yim Chhay Ly,yim_chhay_ly
Yim Sovann,Q16751397
Yun Tharo,yun_tharo
Χουν Σεν,Q57788
Пен Сован,Q1935910
Хенг Самрин,Q379197
Хенг Самрын,Q379197
Хун Сен,Q57788
הנג סמרין,Q379197
هنگ سامرین,Q379197
هون سن,Q57788
هون سين,Q57788
สก อาน,Q1385794
สมเด็จอัครมหาธรรมโพธิศาล เจีย ซีม,Q1068666
สมเด็จอัครมหาพญาจักรี เฮง สัมริน,Q379197
สมเด็จอัครมหาเสนาบดีเดโช ฮุน เซน,Q57788
ฮอ นำฮง,Q58287
เขียว กัญญาฤทธิ์,Q4922790
แปน โสวัณ,Q1935910
កឹម សុខា,Q3194965
គាត ឈន់,Q6382284
ឃួន សុដារី,Q16730825
ចម ប្រសិទ្ធ,Q5069253
ជា ស៊ីម,Q1068666
ម៉ែន សំអន,Q6816221
ស ខេង,Q16150274
សុខ អាន,Q1385794
ហេង សំរិន,Q379197
ហោ ណាំហុង,Q58287
ហ៊ុន សែkhmer,Q57788
ケム・ソカー,Q3194965
チア・シム,Q1068666
フン・セン,Q57788
ヘン・サムリン,Q379197
ペン・ソバン,Q1935910
何南豐,Q58287
宾索万,Q1935910
朱隆·苏玛拉,Q536071
洪森,Q57788
蘇慶,Q16150274
谢辛,Q1068666
赛冲,Q7428913
韓桑林,Q379197
韩桑林,Q379197
高竹德玛,Q3194577
헹 삼린,Q379197
훈 센,Q57788
