id,name,party,district,website,email,twitter,party_id,image,identifier__represent
,Patrick Brown,Conservative,Barrie,http://www.servingbarrie.com,patrick.brown@parl.gc.ca,https://twitter.com/brownbarrie,,,30979
,Phil McColeman,Conservative,Brant,http://www.philmccolemanmp.ca,phil.mccoleman@parl.gc.ca,https://twitter.com/Phil4Brant,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/McColemanPhil_CPC.jpg,35539
,Deepak Obhrai,Conservative,Calgary East,http://www.deepakobhrai.com,deepak.obhrai@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ObhraiDeepak_CPC.jpg,1287
,Kevin Lamoureux,Liberal,Winnipeg North,http://www.mpkevin.ca,kevin.lamoureux@parl.gc.ca,https://twitter.com/Kevin_Lamoureux,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LamoureuxKevin_Lib.jpg,30552
,Hélène Laverdière,NDP,Laurier—Sainte-Marie,,Helene.Laverdiere@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LaverdièreHélène_NDP.jpg,71434
,Patricia Davidson,Conservative,Sarnia—Lambton,http://www.patdavidson.com,pat.davidson@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DavidsonPatricia_CPC.jpg,35701
,Lynne Yelich,Conservative,Blackstrap,http://www.lynneyelich.ca,lynne.yelich@parl.gc.ca,https://twitter.com/Lynne_Yelich,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/YelichLynne_CPC.jpg,1838
,François Choquette,NDP,Drummond,,Francois.Choquette@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ChoquetteFrancois_NDP.jpg,35351
,David McGuinty,Liberal,Ottawa South,http://davidmcguinty.ca,david.mcguinty@parl.gc.ca,https://twitter.com/DavidMcGuinty,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/McGuintyDavidJ_Lib.jpg,9486
,Anne Minh-Thu Quach,NDP,Beauharnois—Salaberry,,AnneMinh-Thu.Quach@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/QuachAnneMinhThu_NDP.jpg,71350
