id,name,sort_name,gender,email,area,group,group_id,term
177,Felipe Letelier Norambuena,Letelier,male,felipe.letelier,33,Partido Por la Democracia,PPD,8
802,Sergio Aguiló Melo,Aguiló,male,saguilo,37,Independientes,IND,8
811,Ramón Barros Montero,Barros,male,jbarros,35,Unión Demócrata Independiente,UDI,8
813,Germán Becker Alvear,Becker,male,gbecker,50,Renovación Nacional,RN,8
819,Guillermo Ceroni Fuentes,Ceroni,male,gceroni,40,Partido Por la Democracia,PPD,8
836,Marcos Espinosa Monardes,Espinosa,male,mespinosa,3,Partido Radical Social Demócrata,PRSD,8
837,Fidel Espinoza Sandoval,Espinoza,male,fespinoza,56,Partido Socialista,PS,8
839,Ramón Farías Ponce,Farías,male,rfarias,25,Partido Por la Democracia,PPD,8
843,René Manuel García García,García,male,rmgarcia,52,Renovación Nacional,RN,8
846,Joaquín Godoy Ibáñez,Godoy,male,jgodoy,13,Independientes,IND,8
848,Rodrigo González Torres,González,male,rodrigogonzalez,14,Partido Por la Democracia,PPD,8
850,Javier Hernández Hernández,Hernández,male,jhernandez,55,Unión Demócrata Independiente,UDI,8
852,Jorge Insunza Gregorio de las Heras,Insunza,male,jorge.insunza,9,Partido Por la Democracia,PPD,8
854,Enrique Jaramillo Becker,Jaramillo,male,ejaramil,54,Partido Por la Democracia,PPD,8
855,Carlos Abel Jarpa Wevar,Jarpa,male,cjarpa,41,Partido Radical Social Demócrata,PRSD,8
856,Tucapel Jiménez Fuentes,Jiménez,male,tjimenez,27,Partido Por la Democracia,PPD,8
857,José Antonio Kast Rist,Kast,male,jkast,24,Unión Demócrata Independiente,UDI,8
860,Roberto León Ramírez,León,male,rleon,36,Partido Demócrata Cristiano,DC,8
862,Pablo Lorenzini Basso,Lorenzini,male,plorenzi,38,Partido Demócrata Cristiano,DC,8
863,Rosauro Martínez Labbé,Martínez,male,romar,41,Renovación Nacional,RN,8
865,Patricio Melero Abaroa,Melero,male,pmelero,16,Unión Demócrata Independiente,UDI,8
866,Fernando Meza Moncada,Meza,male,fmeza,52,Partido Radical Social Demócrata,PRSD,8
867,Cristián Monckeberg Bruner,Monckeberg,male,cmonckeberg,23,Renovación Nacional,RN,8
868,Nicolás Monckeberg Díaz,Monckeberg,male,nmonckeberg,18,Renovación Nacional,RN,8
