name,id
Albert (Peto) Nicholas,albert_(peto)_nicholas
Albert Taaviri Kaitara Nicholas,albert_taaviri_kaitara_nicholas
Apii Piho,apii_piho
Atatoa Herman,atatoa_herman
Cassey Eggelton,cassey_eggelton
George Angene,george_angene
Henry Puna,henry_puna
James Beer,james_beer
Jim Marurai,jim_marurai
John Henry,john_henry
John Tangi,john_tangi
Kareroa Wesley,kareroa_wesley
Kete Ioane,kete_ioane
Keu Mataroa,keu_mataroa
Kiriau Turepu,kiriau_turepu
Mapu Taia,mapu_taia
Mark Brown,mark_brown
Mii Parima,mii_parima
Moana Ioane,moana_ioane
Nandi Glassie,nandi_glassie
Ngai Tupa,ngai_tupa
Ngamau Munokoa,ngamau_munokoa
Norman George,norman_george
Piho Rua,piho_rua
Pukeiti Pukeiti,pukeiti_pukeiti
Robert Wigmore,robert_wigmore
Selina Napa,selina_napa
Tai Tura,tai_tura
Tamaiva Tuavera,tamaiva_tuavera
Tangata Vavia,tangata_vavia
Taunga Toka,taunga_toka
Teariki Heather,teariki_heather
Teina Bishop,teina_bishop
Tekii Lazaro,tekii_lazaro
Terepai Maoate,terepai_maoate
Terepai Maoate Jnr,terepai_maoate_jnr
Toanui Isamaela,toanui_isamaela
Toka Hagai,toka_hagai
Tokorua Pareina,tokorua_pareina
Tom Marsters,tom_marsters
Vai Peua,vai_peua
Vainetutai Rose Toki-Brown,vainetutai_rose_toki-brown
Wilkie Rasmussen,wilkie_rasmussen
William (Smiley) Heather,william_(smiley)_heather
William William Heather,william_william_heather
Willie John,willie_john
Winton Pickering,winton_pickering
