name,id
Adriana Miosotti De La Cruz Gaspar,128
Agustín Javier Delgado Chala,129
Alberto Alexander Zambrano Chacha,130
Alberto Jesús Arias Ramírez,131
Alex Fabián Solano Moreno,170
Alex Francisco Guamán Castro,132
Andrés Tarquino Páez Benalcázar,135
Anny Marllely Vásconez Arteaga,219
Arcadio Bustos Chiliquinga,139
Bairon Leonardo Valle Pinargote,141
Bayron Eduardo Pacheco Ordoñez,142
Betty Elizabeth Carrillo Gallegos,143
Betty Marcela Jeréz Pilla,144
Blanca Azucena Arguello Troya,145
Carlos Alberto Bergmann Reyna,146
Carlos Alberto Velasco Enriquez,147
Carlos Eloy Viteri Gualinga,148
Castulo René Yandún Pozo,183
Christian Humberto Viteri López,295
Cristina Eugenia Reyes Hidalgo,152
Cynthia Fernanda Viteri Jiménez,153
César Fausto Solórzano Sarria,149
César Umajinga Guamán,150
Diana Lucia Peña Carrasco,157
Diego Armando Vintimilla Jarrín,158
Diego Salgado Ribadeneira,159
Dora Adanela Aguirre,160
Eduardo Alfonso Isidro Zambrano Cabanilla,166
Esteban Andrés Melo Garzón,167
Esthela Liliana Acero Lanchimba,168
Esther Flavia Ortíz Gaspar,169
Evelyn Pamela Falconí Loqui,243
Fanny Esther Uribe López,171
Fausto Gilmar Gutiérrez Borbua,173
Fausto Heriberto Cayambe Tipan,161
Fausto Terán Sarzosa,172
Fernando Xavier Bustamante Ponce,175
Franco Segundo Romero Loayza,176
Gabriel Rivera López,300
Gabriela Alejandra Rivadeneira Burbano,177
Galo Borja Pérez,178
Gastón Alberto Gagliardo Loor,179
Gina Jakeline Godoy Andrade,180
Gladys Paulina Padrón Saeteros,182
Grace Holanda Moreira Macías,15330
Guadalupe Dolores Salazar Cedeño,184
Henry Eduardo Cucalón Camacho,185
Herman Anibal Moya Duque,297
Herman Ulises De La Cruz Bernardo,186
Hólger Ezequiel Chávez Canales,187
Isabel Piedad Mosquera Yanez,294
Johanna Elizabeth Cedeño Zambrano,189
José Félix Véliz Briones,191
José Leonidas Zapata Mantilla,192
José Ricardo Moncayo Cevallos,193
José Ricardo Zambrano Arteaga,194
Juan Carlos Cassinelli Cali,195
Juana Marisol Peñafiel Montesdeoca,196
Jupiter Gozoso de La Cruz Andrade Varela,197
Lautaro Enrique Sáenz de Viteri Zajia,198
Letty Vanessa Fajardo Mosquera,259
Liliana Maura Guzmán Ochoa,200
Linda Maricela Machuca Moscoso,201
Liuba Elisa Cuesta Rios,202
Lourdes Licenia Tibán Gualan,203
Luis Antonio Posso Salgado,204
Luis Fernando Tapia Lombeyda,205
Luis Fernando Torres Torres,207
Luis Gilberto Guamangate Ante,206
Lídice Vanessa Larrea Viteri,199
Mae Montaño Valencia,208
Magali Margoth Orellana Marquinez,209
Manuel Ramiro Aguilar Torres,302
Marcela Paola Aguiñaga Vallejo,210
Marcia Cecilia Arregui Rueda,211
Mariana del Rocío Albán Torres,255
Mariangel Muñoz Vicuña,218
Mary Nesbith Verduga Cedeño,220
María Alejandra Vicuña Muñoz,212
María Alexandra Ocles Padilla,221
María Augusta Calle Andrade,213
María Cristina Kronfle Gómez,214
María Elizabeth Reinoso Lescano,299
María Esperanza Galván Gracia,215
María Gabriela Díaz Coka,298
María José Carrión Cevallos,222
María Soledad Buendía Herdoiza,258
María Soledad Vela Cheroni,216
María Verónica Rodríguez Delgado,217
Mauro Edmundo Andino Reinoso,223
Miguel Ángel Carvajal Aguirre,224
Miguel Ángel Moreta Panchez,225
Milton Rodrigo Gualán Japa,1216
Miryam Catarina González Serrano,226
Moisés Fernando Tacle Galárraga,227
Montgómery Luis Sánchez Ordóñez,228
Nelson Alcides Serrano Reyes,230
Nicolás José Issa Wagner,231
Noralma Elizabeth Zambrano Castro,163
Octavio Xavier Enrique Villacreses Peña,232
Omar Juseph Juez Juez,275
Oscar Alfonso Ledesma Zamora,240
Oscar Oswaldo Larriva Alvarado,241
Paco Fierro Oviedo,242
Patricio Donoso Chiriboga,245
Pavel Chica,15292
Pepe Luis Acacho González,246
Plácido Armando Aguilar,140
Ramón Fortunato Terán Salcedo,289
Raúl Eugenio Abad Vélez,248
Raúl Ignacio Tobar Nuñez,292
Raúl Leonardo Patiño Aroca,250
Raúl Vicente Auquilla Ortega,249
René Caza,15395
Richard Oswaldo Calderón Saltos,251
Richard Wilson Farfán Aponte,252
Rita Matias,15307
Roberth Mauricio Proaño Cifuentes,253
Rocío del Carmen Valarezo Ordóñez,254
Rosa Elvira Muñoz Avendaño,256
Rosana Alvarado Carrión,257
Santiago Montenegro,15336
Verónica Elizabeth Arias Fernández,290
Verónica Margarita Guevara Villacres,260
Vinicio Vethowen Chica Arevalo,162
Virgilio Humberto Hernández Enriquez,261
Víctor Clemente Medina Mera,293
William Antonio Garzón Ricaurte,262
Wilson Alfonso Chicaiza Toapanta,263
Ximena Mercedes Ponce León,265
Ximena del Rocío Peña Pacheco,264
Zobeida Guisela Gudiño Mena,266
Zoila Teresa Benavides Zambrano,267
Ángel Armando Rivero Doguer,136
Ángel Ramiro Vela Caizapanta,138
Ángel Ramiro Vilema Freire,137
Édgar Eduardo Córdova Encalada,164
