id,name,start_date,source,end_date
2013,2013 election,2013,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",2017
2009,2009 election,2009,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",2013
2005,2005 election,2005,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",2009
2001,2001 election,2001,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",2005
1997,1997 election,1997,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",2001
1993,1993 election,1993,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",1997
1989,1989 election,1989,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",1993
1985,1985 election,1985,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",1989
1981,1981 election,1981,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",1985
1977,1977 election,1977,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",1981
