name,id
Achim Großmann,achim_großmann
Achim Post,achim_post
Adalbert Hudak,adalbert_hudak
Adelheid D. Tröscher,adelheid_d._tröscher
Adenauer Konrad,konrad_adenauer
Adolf Ahrens,adolf_ahrens_(bremen)
Adolf Ahrens (Bremen),adolf_ahrens_(bremen)
Adolf Arndt,adolf_arndt
Adolf Bieringer,adolf_bieringer
Adolf Cillien,adolf_cillien
Adolf Feuring,adolf_feuring
Adolf Franz Samwer,adolf_franz_samwer
Adolf Freiherr Spies von Büllesheim,adolf_freiherr_spies_von_büllesheim
Adolf Herkenrath,adolf_herkenrath
Adolf Ludwig,adolf_ludwig
Adolf Mauk,adolf_mauk
Adolf Müller,adolf_müller_(cdu)
Adolf Müller-Emmert,adolf_müller-emmert
Adolf Ostertag,adolf_ostertag
Adolf Roth,adolf_roth
Adolf Samwer,adolf_franz_samwer
Adolf Scheu,adolf_scheu
Adolf Schmidt,adolf_schmidt_(spd)
Adolf Spies von Büllesheim,adolf_freiherr_spies_von_büllesheim
Adolf Stockleben,adolf_stockleben_(mdb)
Adolf Stockleben (MdB),adolf_stockleben_(mdb)
Adolf Süsterhenn,adolf_süsterhenn
Adolf von Thadden,adolf_von_thadden
Adolphus Arndt,adolf_arndt
Aenne Brauksiepe,aenne_brauksiepe
Agnes Alpers,agnes_alpers
Agnes Brugger,agnieszka_brugger
Agnes Hürland-Büning,agnes_hürland-büning
Agnes Katharina Maxsein,agnes_katharina_maxsein
Agnes Krumwiede,agnes_krumwiede
Agnieszka Brugger,agnieszka_brugger
Albert Baldauf,albert_baldauf
Albert Burger,albert_burger_(politiker)
Albert Dess,albert_deß
Albert Deß,albert_deß
Albert Leicht,albert_leicht
Albert Ludwig Juncker,albert_ludwig_juncker
Albert Nehm,albert_nehm
Albert Paul Gustav Walter,albert_walter
Albert Pfuhl,albert_pfuhl
Albert Probst,albert_probst
Albert Rupprecht,albert_rupprecht
Albert Schedl,albert_schedl
Albert Schmidt,albert_schmidt_(grüne)
Albert Stegemann,albert_stegemann
Albert Tönjes,albert_tönjes
Albert Walter,albert_walter
Albert Weiler,albert_weiler
Albert Wolf,albert_wolf_(politiker)
Albrecht Aschoff,albrecht_aschoff
Albrecht Feibel,albrecht_feibel
Albrecht Gehring,albrecht_gehring
Albrecht Haas,albrecht_haas
Albrecht Hasinger,albrecht_hasinger
Albrecht Müller,albrecht_müller_(publizist)
Albrecht Papenroth,albrecht_papenroth
Albrecht Schlee,albrecht_schlee
Alex Hösl,alex_hösl
Alex Möller,alex_möller
Alex Willenberg,alex_willenberg
Alexander Bonde,alexander_bonde
Alexander Dobrindt,alexander_dobrindt
Alexander Elbrächter,alexander_elbrächter
Alexander Funk,alexander_funk_(cdu)
Alexander Hoffmann,alexander_hoffmann_(politiker)
Alexander Menne,alexander_menne
Alexander Neu,alexander_neu
Alexander Radwan,alexander_radwan
Alexander Süßmair,alexander_süßmair
Alexander Ulrich,alexander_ulrich
Alexander Warrikoff,alexander_warrikoff
Alexandra Dinges-Dierig,alexandra_dinges-dierig
Alfons Bayerl,alfons_bayerl
Alfons Müller,alfons_müller
Alfons Pawelczyk,alfons_pawelczyk
Alfred Biehle,alfred_biehle
Alfred Burgemeister,alfred_burgemeister
Alfred Dregger,alfred_dregger
Alfred Emmerlich,alfred_emmerlich
Alfred Frenzel,alfred_frenzel
Alfred Gille,alfred_gille
Alfred Gleisner,alfred_gleisner
Alfred Hartenbach,alfred_hartenbach
Alfred Hein,alfred_hein
Alfred Hubertus Neuhaus,alfred_hubertus_neuhaus
Alfred Loritz,alfred_loritz
Alfred Mechtersheimer,alfred_mechtersheimer
Alfred Meininghaus,alfred_meininghaus
Alfred Nann,alfred_nann
Alfred Ollesch,alfred_ollesch
Alfred Onnen,alfred_onnen
Alfred Sauter,alfred_sauter
Alfred Schliestedt,alfred_schliestedt
Alfredus Dregger,alfred_dregger
Alma Kettig,alma_kettig
Almut Kottwitz,almut_kottwitz
Alo Hauser,alo_hauser
Alois Georg Josef Rainer,alois_georg_josef_rainer
Alois Gerig,alois_gerig
Alois Graf von Waldburg-Zeil,alois_graf_von_waldburg-zeil_und_trauchburg
Alois Graf von Waldburg-Zeil und Trauchburg,alois_graf_von_waldburg-zeil_und_trauchburg
Alois Karl,alois_karl
Alois Mertes,alois_mertes
Alois Niederalt,alois_niederalt
Alois Rainer,alois_rainer_senior
Alois Rainer senior,alois_rainer_senior
Alois Strohmayr,alois_strohmayr
Alois Zimmer,alois_zimmer
Alois von Waldburg-Zeil,alois_graf_von_waldburg-zeil_und_trauchburg
Aloisius Niederalt,alois_niederalt
Aloys Feldmann,aloys_feldmann
Aloys Lenz,aloys_lenz_(köln)
Alphons Horten,alphons_horten
Alwin Brück,alwin_brück
Alwin Kulawig,alwin_kulawig
Amke Dietert,amke_dietert-scheuer
Amke Dietert-Scheuer,amke_dietert-scheuer
Anca Fuchs,anke_fuchs
Andrea Astrid Voßhoff,andrea_voßhoff
Andrea Astrid Voßhoff,andrea_astrid_voßhoff
Andrea Fischer,andrea_fischer_(grüne)
Andrea Gysi,andrea_gysi
Andrea Lederer,andrea_gysi
Andrea Lindholz,andrea_lindholz
Andrea Nahles,andrea_nahles
Andrea Nahlesová,andrea_nahles
Andrea Voßhoff,andrea_voßhoff
Andrea Wicklein,andrea_wicklein
Andreas Amende,andreas_amende
Andreas Baltes,andreas_baltes
Andreas Berghegger,andré_berghegger
Andreas Gottfried Lämmel,andreas_lämmel
Andreas Jung,andreas_jung_(politiker)
Andreas Krautscheid,andreas_krautscheid
Andreas Lenz,andreas_lenz
Andreas Lämmel,andreas_lämmel
Andreas Mattfeldt,andreas_mattfeldt
Andreas Nick,andreas_nick_(politiker)
Andreas Pinkwart,andreas_pinkwart
Andreas Rimkus,andreas_rimkus_(politiker)
Andreas Scheuer,andreas_scheuer
Andreas Schmidt,andreas_schmidt_(politiker)
Andreas Schockenhoff,andreas_schockenhoff
Andreas Schwarz,andreas_schwarz_(spd)
Andreas Schwarz (SPD),andreas_schwarz_(spd)
Andreas Steiner,andreas_steiner_(politiker)
Andreas Steppuhn,andreas_steppuhn
Andreas Storm,andreas_storm
Andreas Weigel,andreas_weigel_(politiker)
Andreas de Bülow,andreas_von_bülow
Andreas von Bülow,andreas_von_bülow
Andreas von Schoeler,andreas_von_schoeler
Andrej Hunko,andrej_hunko
André Berghegger,andré_berghegger
André Hahn,andré_hahn_(politiker)
Anette Hübinger,anette_hübinger
Anette Kramme,anette_kramme
Anette Schavan,annette_schavan
Angela Dorothea Merkel,angela_merkel
Angela Grützmann,angela_grützmann
Angela Marquardt,angela_marquardt
Angela Merkel,angela_merkel
Angela Merkele,angela_merkel
Angela Merkelová,angela_merkel
Angela Schmid,angela_schmid_(politikerin)
Angela Stachowa,angela_stachowa
Angelica Schwall-Düren,angelica_schwall-düren
Angelika Barbe,angelika_barbe
Angelika Beer,angelika_beer
Angelika Brunkhorst,angelika_brunkhorst
Angelika Glöckner,angelika_glöckner
Angelika Graf,angelika_graf
Angelika Krüger-Leißner,angelika_krüger-leißner
Angelika Köster-Loßack,angelika_köster-loßack
Angelika Mertens,angelika_mertens
Angelika Pfeiffer,angelika_pfeiffer
Angelika Volquartz,angelika_volquartz
Angelo Kramel,angelo_kramel
Anita Schäfer,anita_schäfer
Anja Hajduk,anja_hajduk
Anja Karliczek,anja_karliczek
Anja Weisgerber,anja_weisgerber
Anke Eymer,anke_eymer
Anke Fuchs,anke_fuchs
Anke Hartnagel,anke_hartnagel
Anke Martiny,anke_martiny
Anke Martiny-Glotz,anke_martiny-glotz
Anke Martiny-Glotz,anke_martiny
Anna Brauksiepe,aenne_brauksiepe
Anna Lührmann,anna_lührmann
Anna Margareta Kramp-Karrenbauer,annegret_kramp-karrenbauer
Anna Maria Bieganowski,anna_maria_bieganowski
Anna Mönikes,anna_mönikes
Annalena Baerbock,annalena_baerbock
Annamaria Renger,annemarie_renger
Anne Marie Heiler,anne_marie_heiler
Annegret Kramp-Karrenbauer,annegret_kramp-karrenbauer
Annelie Buntenbach,annelie_buntenbach
Anneliese Augustin,anneliese_augustin
Annemarie Ackermann,annemarie_ackermann
Annemarie Borgmann,annemarie_borgmann
Annemarie Griesinger,annemarie_griesinger
Annemarie Renger,annemarie_renger
Annetta Schavan,annette_schavan
Annette Faße,annette_faße
Annette Groth,annette_groth
Annette Grothová,annette_groth
Annette Sawade,annette_sawade
Annette Schavan,annette_schavan
Annette Schavanová,annette_schavan
Annette Widmann-Mauz,annette_widmann-mauz
Anni Brandt-Elsweier,anni_brandt-elsweier
Anni Krahnstöver,anni_krahnstöver
Anni Mellies,anni_krahnstöver
Anscharius Lafontaine,oskar_lafontaine
Anscharius Schneider,oscar_schneider
Ansgar Heveling,ansgar_heveling
Antje Blumenthal,antje_blumenthal
Antje Hermenau,antje_hermenau
Antje Huber,antje_huber
Antje Lezius,antje_lezius
Antje Tillmann,antje_tillmann
Antje Vogel-Sperl,antje_vogel-sperl
Antje Vollmer,antje_vollmer
Antje-Marie Steen,antje-marie_steen
Anton Besold,anton_besold
Anton Diel,anton_diel
Anton Donhauser,anton_donhauser
Anton Eberhard,anton_eberhard
Anton Hilbert,anton_hilbert
Anton Hofreiter,anton_hofreiter
Anton Hoppe,anton_hoppe
Anton Miller,anton_miller
Anton Ott,anton_ott
Anton Pfeifer,anton_pfeifer
Anton Sabel,anton_sabel
Anton Schaaf,anton_schaaf_(spd)
Anton Stark,anton_stark
Anton Storch,anton_storch
Anton von Aretin,anton_von_aretin
Antonius Besold,anton_besold
Antonius Hofreiter,anton_hofreiter
Antonius Storch,anton_storch
Arfst Wagner,arfst_wagner
Aribert Wolf,aribert_wolf
Armin Laschet,armin_laschet
Armin Schuster,armin_schuster
Arne Börnsen,arne_börnsen
Arne Fuhrmann,arne_fuhrmann_(politiker)
Arno Behrisch,arno_behrisch
Arno Hennig,arno_hennig
Arno Klare,arno_klare
Arno Schmidt,arno_schmidt_(politiker)
Arnold Poepke,arnold_poepke
Arnold Vaatz,arnold_vaatz
Arnold Verhoeven,arnold_verhoeven
Arnulf Kriedner,arnulf_kriedner
Arthur Busch,arthur_busch
Arthur Enk,arthur_enk
Arthur Grundmann,arthur_grundmann
Arthur Heinrich Busch,arthur_busch
Arthur Killat,arthur_killat
Arthur Mertins,arthur_mertins
Arthurus Auernhammer,artur_auernhammer
Artur Anders,artur_anders
Artur Auernhammer,artur_auernhammer
Artur Jahn,artur_jahn
Artur Ladebeck,artur_ladebeck
Artur Missbach,artur_missbach
Artur Stegner,artur_stegner
Arved Deringer,arved_deringer
Astrid Freudenstein,astrid_freudenstein
Astrid Grotelüschen,astrid_grotelüschen
Astrid Klug,astrid_klug
Astrid Timmermann-Fechter,astrid_timmermann-fechter
August Berberich,august_berberich
August Berlin,august_berlin
August Bruse,august_bruse
August Dresbach,august_dresbach
August Hanz,august_hanz
