id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
achim_großmann,Achim Großmann,,,SPD,spd,Nordrhein-Westfalen,Bundestag,14,,,,
adelheid_d._tröscher,Adelheid D. Tröscher,,,SPD,spd,Hessen,Bundestag,14,,,,
adolf_ostertag,Adolf Ostertag,,,SPD,spd,Nordrhein-Westfalen,Bundestag,14,,,,
adolf_roth,Adolf Roth,,,CDU,cdu,Hessen,Bundestag,14,,,,
albert_deß,Albert Deß,,,CSU,csu,Bayern,Bundestag,14,,,,
albert_schmidt_(grüne),Albert Schmidt,,,Bündnis 90/Die Grünen,die_grünen,Bayern,Bundestag,14,,,,
albrecht_feibel,Albrecht Feibel,,,CDU,cdu,Saarland,Bundestag,14,1999-10-29,,,
albrecht_papenroth,Albrecht Papenroth,,,SPD,spd,Brandenburg,Bundestag,14,,,,
alfred_hartenbach,Alfred Hartenbach,,,SPD,spd,Hessen,Bundestag,14,,,,
amke_dietert-scheuer,Amke Dietert-Scheuer,,,Bündnis 90/Die Grünen,die_grünen,Hamburg,Bundestag,14,2002-02-05,,,
andrea_astrid_voßhoff,Andrea Astrid Voßhoff,,,CDU,cdu,Brandenburg,Bundestag,14,,,,
andrea_fischer_(grüne),Andrea Fischer,,,Bündnis 90/Die Grünen,die_grünen,Berlin,Bundestag,14,,,,
andrea_nahles,Andrea Nahles,,,SPD,spd,Rheinland-Pfalz,Bundestag,14,,,,
andreas_schmidt_(politiker),Andreas Schmidt,,,CDU,cdu,Nordrhein-Westfalen,Bundestag,14,,,,
andreas_schockenhoff,Andreas Schockenhoff,,,CDU,cdu,Baden-Württemberg,Bundestag,14,,,,
andreas_storm,Andreas Storm,,,CDU,cdu,Hessen,Bundestag,14,,,,
anette_kramme,Anette Kramme,,,SPD,spd,Bayern,Bundestag,14,,,,
angela_marquardt,Angela Marquardt,,,PDS,pds,Mecklenburg-Vorpommern,Bundestag,14,,,,
angela_merkel,Angela Merkel,,,CDU,cdu,Mecklenburg-Vorpommern,Bundestag,14,,,,
angelica_schwall-düren,Angelica Schwall-Düren,,,SPD,spd,Nordrhein-Westfalen,Bundestag,14,,,,
angelika_beer,Angelika Beer,,,Bündnis 90/Die Grünen,die_grünen,Schleswig-Holstein,Bundestag,14,,,,
angelika_graf,Angelika Graf,,,SPD,spd,Bayern,Bundestag,14,,,,
angelika_krüger-leißner,Angelika Krüger-Leißner,,,SPD,spd,Brandenburg,Bundestag,14,,,,
angelika_köster-loßack,Angelika Köster-Loßack,,,Bündnis 90/Die Grünen,die_grünen,Baden-Württemberg,Bundestag,14,,,,
angelika_mertens,Angelika Mertens,,,SPD,spd,Hamburg,Bundestag,14,,,,
