name,id
A Collings,25
A Isola,60
A J Canepa,18
A J Gache,3
A J Haynes,33
A P Montegriffo,13
A T Loddo,32
A W Serfaty,12
Albert Isola,60
B A Linares,55
B Traynor,36
C A Bruzon,70
C Anes,6
C B O’Beirne,8
C G Beltran,67
C J Gomez,21
D A Feetham,73
D Hull,29
D J Bossino,82
Damon Bossino,82
E H Davies,9
E J Alvarez,14
E J Reyes,75
E M Britto,45
E Thistlethwaite,35
F J Dellipiani,23
F J Vinet,68
F R Picardo,69
F Vasquez,50
G H Licudi,76
G Mascarenhas,34
G T Restano,28
H A Corby,51
H J Zammitt,19
I Abecasis,16
I M Ellul-Hammond,81
Isobel Ellul-Hammond,81
J B Perez,27
J C Perez,40
J Caruana,4
J E Cortes,78
J E Pilcher,37
J Gabay,61
J J Bossano,22
J J Garcia,62
J J Holiday,72
J J Holliday,56
J J Netto,57
J K Havers,24
J L Baldachino,41
J L Hoare,17
J L Moss,43
Joe Holliday,56
John Cortes,78
Joshua Hassan,11
K Azopardi,58
K B Anthony,46
K Dawson,59
K W Harris,47
Keith Azopardi,58
L A Randall,71
L Devincenzi,7
L H Francis,53
L Montiel,74
M A Feetham,38
M I Montegriffo,39
M K Featherstone,15
M Ramagge,54
M Xiberras,2
N F Costa,77
P C Montegriffo,44
P Cumming,52
P J Balban,80
P J Brooke,48
P J Isola,10
P R Caruana,49
Paul Balban,80
Peter Caruana,49
R G Valarino,26
R H Hickling,20
R J Peliza,1
R J Wallace,30
R Mor,42
R R Rhoda,64
S E Linares,66
S J Sacramento,79
S M Figueras,83
Samantha Sacramento,79
Steven Linares,66
T J Bristow,65
W M Isola,5
W T Scott,31
Y Del Agua,63
Yvette Del Agua,63
Πίτερ Καρουάνα,49
ג'ון קורטס,78
דיימון בוסינו,82
彼得·卡鲁阿纳,49
