id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Larissa,Hellenic Parliament,5,1989-06-18,,,
cd9f3107-520b-4e25-8b79-0825797bca7a,Adraktas Panagiotis,,,N.D. (New Democracy),nd,Athens B,Hellenic Parliament,5,1989-06-18,,,
149f4ab7-c280-4802-9b36-d775e80ab93a,Akrita Sylva - Kaiti,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Athens B,Hellenic Parliament,5,1989-06-18,,,
38e6bfae-8ab8-4a55-b19c-aa414c3998ad,Akritidis Nikolaos,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Thessaloniki A,Hellenic Parliament,5,1989-06-18,,,
942ccdca-d387-4fb7-a8f1-e82349727699,Akrivakis Alexandros,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Viotia,Hellenic Parliament,5,1989-06-18,,,
2da3c026-443b-4760-a55c-2ad378ee61d0,Alampanos Dimitrios,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Fthiotida,Hellenic Parliament,5,1989-06-18,,,
3d2b085c-d6e2-496a-9577-93dc342e7013,Alevras Ioannis,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,State,Hellenic Parliament,5,1989-06-18,,,
e8f831cf-a3f3-4f2c-b003-6160b900a044,Anagnostopoulos Nikolaos,,,N.D. (New Democracy),nd,Athens A,Hellenic Parliament,5,1989-06-18,,,
31131ddf-feb5-45ea-84cb-7bdc15455a42,Anagnostopoulos Theodoros,,,N.D. (New Democracy),nd,Karditsa,Hellenic Parliament,5,1989-06-18,,,
6fc923b3-3d74-42c2-8746-cc1c09aeb590,Andreoulakos Apostolos,,,N.D. (New Democracy),nd,Athens B,Hellenic Parliament,5,1989-06-18,,,
72e4fe52-d46b-453c-a1ce-c553d7f2004b,Andrianopoulos Andreas,,,N.D. (New Democracy),nd,Piraeus A,Hellenic Parliament,5,1989-06-18,,,
a2b75bf9-e76f-4791-ac7f-10715e9b60e6,Androulakis Dimitrios (Mimis),,,Coalition of the Left and Progress,coalitionoftheleftandprogress,Piraeus A,Hellenic Parliament,5,1989-06-18,,,
e1411004-4b36-403d-b5ec-848cc594ce77,Angelopoulos Nikolaos,,,N.D. (New Democracy),nd,Athens A,Hellenic Parliament,5,1989-06-18,,,
345e164c-3f68-48b3-a9fc-7242edf42b17,Anthopoulos Ioannis,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Serres,Hellenic Parliament,5,1989-06-18,,,
168198e5-3e22-485c-a7b0-d0a3f1cdca39,Argyropoulos Nikolaos,,,N.D. (New Democracy),nd,Fthiotida,Hellenic Parliament,5,1989-06-18,,,
5e6d3676-ad5a-44e8-a997-ffaa03024f1e,Arseni Maria,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Pieria,Hellenic Parliament,5,1989-06-18,,,
491c1a55-532d-4260-a79b-277ad8915316,Arvanitis Fotios,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Fokida,Hellenic Parliament,5,1989-06-18,,,
8b583e94-a827-4f4d-a251-38a5dc08c81c,Asimakopoulos Georgios,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,State,Hellenic Parliament,5,1989-06-18,,,
a64ea77f-f335-4f60-bde8-1d13a6e3d8ae,Astrakos Evangelos,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Piraeus B,Hellenic Parliament,5,1989-06-18,,,
a64aa47f-1892-484a-9093-9a74ebbded40,Averof - Tositsas Evangelos,,,N.D. (New Democracy),nd,State,Hellenic Parliament,5,1989-06-18,,,
a6851439-c82a-4e4a-a271-d03cbe4216c4,Averof Ioannis,,,N.D. (New Democracy),nd,Ioannina,Hellenic Parliament,5,1989-06-18,,,
6dc1b61e-a420-4093-a12c-709751fc27d2,Avgerinidis Nikolaos,,,N.D. (New Democracy),nd,Kilkis,Hellenic Parliament,5,1989-06-18,,,
590d9eb1-9a76-4774-8b71-151c44058654,Bakogiannis Pavlos,,,N.D. (New Democracy),nd,Evrytania,Hellenic Parliament,5,1989-09-26,,,
83aaef39-ff9e-4d7b-924a-2cd2ee4a52c7,Bantouvas Konstantinos,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Iraklio,Hellenic Parliament,5,1989-06-18,,,
a480dfa8-ab17-40b3-8ee9-a610cdac2156,Basiakos Evangelos,,,N.D. (New Democracy),nd,Viotia,Hellenic Parliament,5,1989-06-18,,,
eae3d34f-2511-4325-88be-c8f3a32286a2,Bechrakis Dionysios,,,N.D. (New Democracy),nd,Athens B,Hellenic Parliament,5,1989-06-18,,,
968863cb-e549-4f87-a0d9-d97fad70965e,Beis Dimitrios,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Athens A,Hellenic Parliament,5,1989-06-18,,,
72e58128-933b-4984-9b28-ff870e707c42,Bekiris Vasileios,,,N.D. (New Democracy),nd,Achaia,Hellenic Parliament,5,1989-06-18,,,
0b9eeddd-e969-42b0-a37e-a7d0ffb31ead,Benaki - Psarouda Evangelou Anna,,,N.D. (New Democracy),nd,Athens A,Hellenic Parliament,5,1989-06-18,,,
e8b38f83-fec4-4745-bbf7-5a886465bc13,Birdimiris Georgios,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,State,Hellenic Parliament,5,1989-06-18,,,
7cf21c6d-2bc4-4ca7-b971-0d9b74bf7b1f,Bitsanis Ilias,,,Coalition of the Left and Progress,coalitionoftheleftandprogress,Messinia,Hellenic Parliament,5,1989-06-18,,,
14b24e70-ee2e-4fbf-a73a-b57844c49263,Bougas Georgios,,,N.D. (New Democracy),nd,Piraeus B,Hellenic Parliament,5,1989-06-18,,,
798aa400-999a-4ce2-9d13-6fbfa559be72,Bouloukos Aristodimos,,,N.D. (New Democracy),nd,Messinia,Hellenic Parliament,5,1989-06-18,,,
ca60d561-be28-461c-b475-fd1ec323059b,Bourdara Kalliopi (Kelly),,,N.D. (New Democracy),nd,Athens B,Hellenic Parliament,5,1989-06-18,,,
8558485c-482c-43a1-a0d8-695d738f7838,Brakatsoulas Vasileios,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,Karditsa,Hellenic Parliament,5,1989-06-18,,,
