name,id
"Adolpho B. Palacios, Sr.","adolpho_b._palacios,_sr."
"Aline A. Yamashita, Ph.D.","aline_a._yamashita,_ph.d."
Benjamin J.F. Cruz,benjamin_j.f._cruz
Brant McCreadie,brant_mccreadie
Christopher M. Duenas,christopher_m._duenas
"Dennis G. Rodriguez, Jr.","dennis_g._rodriguez,_jr."
Edward J.B. Calvo,edward_j.b._calvo
"Frank B. Aguon, Jr.","frank_b._aguon,_jr."
"Frank Blas Aguon, Jr.","frank_blas_aguon,_jr."
"Frank F. Blas, Jr.","frank_f._blas,_jr."
James V. Espaldon,james_v._espaldon
"Judith P. Guthertz, DPA","judith_p._guthertz,_dpa"
"Judith T. Won Pat, Ed.D.","judith_t._won_pat,_ed.d."
Mana Silva Taijeron,mana_silva_taijeron
Mary Camacho Torres,mary_camacho_torres
Michael F.Q. San Nicolas,michael_f.q._san_nicolas
Michael Limtiaco,michael_limtiaco
"Nerissa Bretania Underwood, Ph.D.","nerissa_bretania_underwood,_ph.d."
Ray Tenorio,ray_tenorio
Rory J. Respicio,rory_j._respicio
"Sam Mabini, Ph.D.","sam_mabini,_ph.d."
Telo Taitague,telo_taitague
Thomas A. Morrison,thomas_a._morrison
Thomas C. Ada,thomas_c._ada
Thomas Morrison,thomas_morrison
Tina Rose Muña Barnes,tina_rose_muña_barnes
V. Anthony Ada,v._anthony_ada
Vicente C. Pangelinan,vicente_c._pangelinan
