id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
"adolpho_b._palacios,_sr.","Adolpho B. Palacios, Sr.",senator@senatorpalacios.com,,Republican,rep,,Parliament,30,,,http://www.guamlegislature.com/Senator_Images_31st/palacios.jpg,
benjamin_j.f._cruz,Benjamin J.F. Cruz,senator@senatorbjcruz.com,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.org/Senator_Images_33rd/benjamin%20cruz.jpg,
edward_j.b._calvo,Edward J.B. Calvo,sencalvo@gmail.com,,Republican,rep,,Parliament,30,,,http://www.guamlegislature.com/Senator_Images_30th/calvo.jpg,
"frank_b._aguon,_jr.","Frank B. Aguon, Jr.",aguon4guam@gmail.com,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.com/Senator_Images_32nd/aguon.jpg,
"frank_f._blas,_jr.","Frank F. Blas, Jr.",frank.blasjr@gmail.com,,Republican,rep,,Parliament,30,,,http://www.guamlegislature.org/Senator_Images_33rd/frank%20blas.jpg,
james_v._espaldon,James V. Espaldon,jespaldonesq@gmail.com,,Republican,rep,,Parliament,30,,,http://www.guamlegislature.org/Senator_Images_33rd/james%20espaldon.jpg,
"judith_p._guthertz,_dpa","Judith P. Guthertz, DPA",judithguthertz@gmail.com,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.com/Senator_Images_31st/guthertz.jpg,
"judith_t._won_pat,_ed.d.","Judith T. Won Pat, Ed.D.",speaker@judiwonpat.com,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.org/Senator_Images_33rd/judith%20won%20pat.jpg,
ray_tenorio,Ray Tenorio,ray@raytenorio.com,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.com/Senator_Images_30th/tenorio.jpg,
rory_j._respicio,Rory J. Respicio,roryforguam@gmail.com,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.org/Senator_Images_33rd/rory%20respicio.jpg,
telo_taitague,Telo Taitague,senatortelo@gmail.com,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.com/Senator_Images_30th/taitague.jpg,
thomas_c._ada,Thomas C. Ada,office@senatorada.org,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.org/Senator_Images_33rd/tom%20ada.jpg,
tina_rose_muña_barnes,Tina Rose Muña Barnes,senator@tinamunabarnes.com,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.org/Senator_Images_33rd/tina%20barnes.jpg,
v._anthony_ada,V. Anthony Ada,senatortonyada@guamlegislature.org,,Republican,rep,,Parliament,30,,,http://www.guamlegislature.org/Senator_Images_32nd/vaada.jpg,
vicente_c._pangelinan,Vicente C. Pangelinan,senbenp@guam.net,,Democratic,dem,,Parliament,30,,,http://www.guamlegislature.com/Senator_Images_32nd/pangelinan.jpg,
