name,id
Aba Serra,aba-serra
Abel Iamedi Incada,abel-iamedi-incada
Abel da Silva Gomes,abel-da-silva-gomes
Abubacri Demba Baldé,abubacri-demba-balde
Adja (Hadja) Satú Camará Pinto,adja-hadja-satu-camara-pinto
Admiro Nelson Belo,admiro-nelson-belo
Adulai Baldé,adulai-balde
Adulai Sow,adulai-sow
Alberto Lamine Djaló,alberto-lamine-djalo
Alberto Mbunhe Nambeia,alberto-mbunhe-nambeia
Alfredo Quidum Mané,alfredo-quidum-mane
Amadú Dinis Baldé,amadu-dinis-balde
Amido Keita,amido-keita
Amizade Farã Mendes,amizade-fara-mendes
Anha Baldé,anha-balde
António Artur Sanhá,antonio-artur-sanha
António Inácio G. Correia,antonio-inacio-g-correia
António Serifo Embaló,antonio-serifo-embalo
Augusto Olivais,augusto-olivais
Babuna Djabi,babuna-djabi
Bacai Sanhá Jr.,bacai-sanha-jr
Baciro Djá,baciro-dja
Bernardo Braima Mané,bernardo-braima-mane
Biapte Quissik Na Ritche,biapte-quissik-na-ritche
Botche Candé,botche-cande
Braima Camará,braima-camara
Braima Djaló,braima-djalo
Braima Sissé,braima-sisse
Califa Seidi,califa-seidi
Camilo Simões Pereira,camilo-simoes-pereira
Caramó Camará,caramo-camara
Carlitos Barai,carlitos-barai
Carlos Nhaté,carlos-nhate
Carlos Tenente Amorim,carlos-tenente-amorim
Certório Biote,certorio-biote
Cipriano Cassamá,cipriano-cassama
Constantino Camala,constantino-camala
Dan Iala N’Canha Baranção,dan-iala-n-canha-barancao
Daniel Gomes,daniel-gomes
Daniel Suleimane Embaló,daniel-suleimane-embalo
Domingos Simões Pereira,domingos-simoes-pereira
Eduardo Mamadú Baldé,eduardo-mamadu-balde
Embunhe Encada,embunhe-encada
Fernando Correia Landim,fernando-correia-landim
Filipe Nantam,filipe-nantam
Florentino Mendes Pereira,florentino-mendes-pereira
Fofana Queita,fofana-queita
Francisco Condom,francisco-condom
Gabriel Lopes Só,gabriel-lopes-so
Higino Cardoso,higino-cardoso
Humberto Augusto Có,humberto-augusto-co
Hélder Henrique de Barros,helder-henrique-de-barros
Idelfrides Fernandes,idelfrides-fernandes
Infamará Só,infamara-so
Isabel M. Cassimo Gomes,isabel-m-cassimo-gomes
Isabel Mendes Buscardini,isabel-mendes-buscardini
Joaquim Baptista Correia,joaquim-baptista-correia
Jocias Valdemar Forbes Teixeira,jocias-valdemar-forbes-teixeira
Jorge Aníbal Pereira,jorge-anibal-pereira
José António Cruz de Almeida,jose-antonio-cruz-de-almeida
José Djô,jose-djo
José Monteiro Nancaia,jose-monteiro-nancaia
João Maria Baticã Ferreira,joao-maria-batica-ferreira
Lassana Fati,lassana-fati
Lassana Seidi,lassana-seidi
Mai Cissé,mai-cisse
Malam Fati,malam-fati
Malam Muno Djau,malam-muno-djau
Mama Saliu Embaló,mama-saliu-embalo
Mama Samba Embaló,mama-samba-embalo
Mamadú (Corca) Djaló,mamadu-corca-djalo
Mamadú Sello Djaló,mamadu-sello-djalo
Marcelino Pedro Delgado,marcelino-pedro-delgado
Maria Aurora Abissa Sanó Sanhá,maria-aurora-abissa-sano-sanha
Maria Paula C. Pereira,maria-paula-c-pereira
Martina Moreira Moniz Nafantchamna,martina-moreira-moniz-nafantchamna
Matilde Indequi,matilde-indequi
Mulai Baldé,mulai-balde
Mário Adão Carlos Almeida,mario-adao-carlos-almeida
Mário Dias Sami,mario-dias-sami
Mário Saieg,mario-saieg
Mário Siano Fambe,mario-siano-fambe
Nhau Incanha,nhau-incanha
Nicolau dos Santos,nicolau-dos-santos
Orlando Mendes Viegas,orlando-mendes-viegas
Paulino Té,paulino-te
Rui Diã de Sousa,rui-dia-de-sousa
Sali Cassamá,sali-cassama
Salimatu Cassamá,salimatu-cassama
Serifo Jaló,serifo-jalo
Soares Sambú,soares-sambu
Sola Naquilin Babitchita,sola-naquilin-babitchita
Tcherno Sanhá,tcherno-sanha
Teresa Sanca Ndoi,teresa-sanca-ndoi
Tumane Baldé,tumane-balde
Tumane Mané,tumane-mane
Victor Luís Pinto Fernandes Mandigna,victor-luis-pinto-fernandes-mandigna
Victor Oliveira Mendes,victor-oliveira-mendes
Wasna Papai Danfa,wasna-papai-danfa
