id,uuid
aba-serra,909dd8c6-6e7b-4b30-b71b-98eb9dc9fb42
abel-da-silva-gomes,48778506-48fa-4842-8fac-ee860a64c904
adja-hadja-satu-camara-pinto,008ea9e9-fef6-4f65-abb5-f589121c8efa
adulai-balde,ffd4e300-6f36-4c05-b7f7-38e48a772d1c
amido-keita,b8596f27-b97e-4a32-a84d-d7f8c933c6ce
amizade-fara-mendes,296ae6fd-b261-4208-86f0-a0c298efa817
anha-balde,5c81f552-cd9d-4150-84b7-10d130b613a6
antonio-inacio-g-correia,94c3d1d6-e561-490f-b2a7-5476a35e80e5
augusto-olivais,76f47d6b-3061-43f2-85b7-8037b6f50fc3
babuna-djabi,ffd0eaca-397d-4964-ae05-b2a87e7db67f
bacai-sanha-jr,37d2cbfe-8a56-4ffd-a347-5b0c3667ff23
baciro-dja,9d4485b4-2ccb-4e3b-94f5-6e87a71edcd0
botche-cande,f00afda9-eac7-47fc-bdae-96db189efb46
braima-camara,93a80fef-a80d-45e4-8ad5-7eba6e2584d9
braima-djalo,c9a92be9-012e-407e-ad35-33a34f78e075
califa-seidi,5730a93b-c3d3-4cb4-9b83-85cc5bc03859
camilo-simoes-pereira,903bd7ec-cf0e-4008-8828-bdfb6d4c2afb
carlos-nhate,90dd6eb8-abe2-4bfc-971f-1ba83fa9960d
cipriano-cassama,360a7d88-af85-478a-8610-add7e8cce525
constantino-camala,d63c8249-a2f9-4f97-981e-f1cfd6b9426e
dan-iala-n-canha-barancao,9afba47a-0681-435c-a4d7-4aed7981db1c
daniel-gomes,a6d5d963-adbc-48da-9ccd-df53140393e0
daniel-gomes-1,d6630bb5-712a-449b-92be-7932fa4e97a4
domingos-simoes-pereira,fe2f7661-7365-4c51-a3b2-88a59b579b0f
eduardo-mamadu-balde,2e115964-2e9c-491e-b274-d5bac00c42fd
fofana-queita,41c4bd94-7be4-47f7-a2fe-ce11f84f08e9
gabriel-lopes-so,7923ed2c-ef4e-4dc7-85e4-b2940b3cd37b
helder-henrique-de-barros,103d7cf6-6846-4924-8180-0c71e331b8b4
