name,id
Abel Benítez,abel_benítez
Alberto Chedrani,alberto_chedrani
Alejandra Mancia,alejandra_mancia
Ana Fortín,ana_fortín
Antonio Rivera,antonio_rivera
Aníbal Calix,aníbal_calix
Arturo Bendaña,arturo_bendaña
Audelia Rodríguez,audelia_rodríguez
Augusto Cruz,augusto_cruz
Bartolo Fuentes,bartolo_fuentes
Beatriz Valle,beatriz_valle
Carlos Interiano,carlos_interiano
Carlos Lara,carlos_lara
Carlos Ledezma,carlos_ledezma
Carmen Rivera,carmen_rivera
Celin Discua,celin_discua
Christian Santamaría,christian_santamaría
Claudia Garmendia,claudia_garmendia
César Agurcia,césar_agurcia
César Handal,césar_handal
David Chávez,david_chávez
Davin Reyes,davin_reyes
Dennys Sánchez,dennys_sánchez
Diana Urbina,diana_urbina
Doris Gutiérrez,doris_gutiérrez
Edgardo Casana,edgardo_casana
Edgardo Castro,edgardo_castro
Eduardo Coto,eduardo_coto
Edwin Pavón,edwin_pavón
Elden Vásquez,elden_vásquez
Eleazar Juárez,eleazar_juárez
Elvia Argentina Valle,elvia_argentina_valle
Esdras López,esdras_lópez
Fany Valladares,fany_valladares
Francisco Macias,francisco_macias
Francisco Paz,francisco_paz
Francisco Rivera,francisco_rivera
Fredy Najera,fredy_najera
Fátima Mena,fátima_mena
Gabriela Núñez,gabriela_núñez
Gerardo Martínez,gerardo_martínez
Gladis López,gladis_lópez
Gloria Bonilla,gloria_bonilla
Hugo Hernández,hugo_hernández
Héctor Padilla,héctor_padilla
Héctor Pinto,héctor_pinto
Irma Reyes,irma_reyes
Jaime Villegas,jaime_villegas
Jari Herrera,jari_herrera
Jeffrey Flores,jeffrey_flores
Jerry Hynds,jerry_hynds
Jorge Pinto,jorge_pinto
Jorge Vargas,jorge_vargas
José Cruz,josé_cruz
José Galdámez,josé_galdámez
José Gauggel,josé_gauggel
José León,josé_león
José Martínez,josé_martínez
José Oswaldo Ramos Soto,josé_oswaldo_ramos_soto
José Portillo,josé_portillo
José Rodríguez,josé_rodríguez
José Saavedra,josé_saavedra
José Vásquez,josé_vásquez
José Zambrano,josé_zambrano
Juan Valenzuela,juan_valenzuela
Juan Zelaya,juan_zelaya
Kritza Pérez,kritza_pérez
Leda García,leda_garcía
Lena Gutiérrez,lena_gutiérrez
Liberato Madrid,liberato_madrid
Lilian Villatoro,lilian_villatoro
Lisandro Arias,lisandro_arias
Luis Oliva,luis_oliva
Luis Redondo,luis_redondo
Manuel Fiallos,manuel_fiallos
Manuel Zelaja,Q191060
Manuel Zelaya,Q191060
Manuel Zelaya Rosales,Q191060
Marco Andino,marco_andino
Marcos Velásquez,marcos_velásquez
Mario Ayala,mario_ayala
Mario Pérez,mario_pérez
Maritza Varela,maritza_varela
Marlene Alvarenga,marlene_alvarenga
Marlón Lara,marlón_lara
Martha Figueroa,martha_figueroa
María Bardales,maría_bardales
María Leiva,maría_leiva
Mauricio Oliva,Q15647114
Midence Martínez,midence_martínez
Miguel Martínez,miguel_martínez
Miguel Navarro,miguel_navarro
Miltón Puerto,miltón_puerto
Nery Reyes,nery_reyes
Paula Duran,paula_duran
Rafael Alegría,rafael_alegría
Rafael Nodarse,rafael_nodarse
Ramón Chacón,ramón_chacón
Ramón Leiva,ramón_leiva
Rasel Tome,rasel_tome
Reinaldo Sánchez,Q16624771
Reinaldo Sánchez Rivera,Q16624771
Renan Inestroza,renan_inestroza
Rodolfo Irías Navas,rodolfo_irías_navas
Rolando Dubón,rolando_dubón
Román Villeda,román_villeda
Salvador Pineda,salvador_pineda
Samuel Reyes,samuel_reyes
Sara Medina,sara_medina
Scherly Arriaga,scherly_arriaga
Seth Wood,seth_wood
Tatiana Canales,tatiana_canales
Teresa Cálix,teresa_cálix
Virgilio Padilla,virgilio_padilla
Víctor Sabillón,víctor_sabillón
Waldina Paz,waldina_paz
Walter Banegas,walter_banegas
Walter Chávez,walter_chávez
Welsy Vásquez,welsy_vásquez
Wilfredo Paz,wilfredo_paz
Wilmer Velásquez,wilmer_velásquez
Yadira Bendaña,yadira_bendaña
Yaudet Burbara,yaudet_burbara
Yavhe Sabillón,yavhe_sabillón
Yenny Murillo,yenny_murillo
Yester Múñoz,yester_múñoz
Yuri Sabas,yuri_sabas
Ángel Banegas,Ángel_banegas
Ángel Sandoval,Ángel_sandoval
Óscar Najera,Óscar_najera
Óscar Álvarez,Óscar_Álvarez
Μανουέλ Σελάγια,Q191060
Мануел Зелаја,Q191060
Мануель Селайя,Q191060
"Селайя, Мануэль",Q191060
מנואל סלאיה,Q191060
مانوئل زلایا,Q191060
مانويل زيلايا,Q191060
மனுவேல் செலாயா,Q191060
მანუელ სელაია,Q191060
マヌエル・セラヤ,Q191060
曼努埃尔·塞拉亚,Q191060
曼努埃爾·塞拉亞,Q191060
曼努埃爾·賽拉亞,Q191060
마누엘 셀라야,Q191060
