id,name__en,name,wikipedia__en,image,gender,birth_date,given_name
Q976107,Allan Bell,Allan Bell,Allan Bell,https://upload.wikimedia.org/wikipedia/commons/6/64/Isle_of_Mans_finansministrar_Alan_Bell_skriver_under_avtal_tillsammans_med_sina_nordiska_kollegor_vid_Nordiska_Radets_session_i_Oslo._2007-10-30._Foto-_Magnus_Froderberg.jpg,male,1947-06-20,Allan
Q4910015,Bill Malarky,Bill Malarky,Bill Malarky,,male,1951-06-18,Bill
Q4960645,Brenda Cannell,Brenda Cannell,Brenda Cannell,,female,1952-01-01,Brenda
Q5107888,Chris Robertshaw,Chris Robertshaw,Chris Robertshaw,,male,1950-01-01,Chris
Q16221532,David Quirk,David Quirk,David Quirk,,male,1981-02-15,David
Q5336528,Eddie Teare,Eddie Teare,Eddie Teare,,male,1948-05-10,Eddie
Q5534099,Geoff Corkish,Geoff Corkish,Geoff Corkish,,male,1953-05-25,Geoff
Q6257692,John Shimmin,John Shimmin,John Shimmin,,male,1960-01-01,John
Q6301157,Juan Watterson,Juan Watterson,Juan Watterson,,male,1980-07-04,Juan
Q19956065,Kate Beecroft,Kate Beecroft,Kate Beecroft,,female,,Kate
Q6525733,Leonard Singer,Leonard Singer,Leonard Singer,,male,1943-01-27,Leonard
Q7175096,Peter Karran,Peter Karran,Peter Karran,,male,1960-05-20,Peter
Q7181908,Phil Gawne,Phil Gawne,Phil Gawne,,male,1965-02-19,Phil
Q16195292,Richard Ronan,Richard Ronan,Richard Ronan,,male,1963-05-16,Richard
Q7613782,Steve Rodan,Steve Rodan,Steve Rodan,,male,1954-04-19,Steve
Q7803374,Tim Crookall,Tim Crookall,Tim Crookall,,male,,Tim
