name,id
Abas Zkoor,778
Abba Eban,236
Abba Hushi,415
Abd Al Hakeem Haj Yahya,923
Abd-El-Aziz E-Zoubi,404
Abdullah Abu Maaruf,909
Abdulmalik Dehamshe,36
Abdulwahab Darawshe,40
Abraham Hirchson,42
Abraham Melamed,508
Abraham Shechterman,651
Abraham Stupp,539
Abraham Yoffe,435
Ada Feinberg-Sireni,561
Ada Maimon,504
Addisu Messele,81
Adi Koll,891
Adiel Amorai,261
Afou Agbaria,842
Aharon Abuhatssira,178
Aharon Becker,307
Aharon Efrat,267
Aharon Goldstein,329
Aharon Harel,384
Aharon Nahmias,521
Aharon Remez,627
Aharon Uzan,242
Aharon Yadlin,181
Aharon Yariv,440
Aharon Zisling,590
Aharon-Yaakov Greenberg,350
Ahmad Sa`d,95
Ahmad Tibi,208
Ahmed A-Dahar,129
Ahmed Dabbah,855
Aida Touma-Sliman,948
Akiva Govrin,326
Akiva Nof,516
Akram Hasoon,854
Alali Adamso,856
Alex Goldfarb,139
Alex Miller,785
Alexander Lubotzky,71
Alexander Tsinker,229
Aliza Lavie,875
Amal Nasereldeen,526
Ami Assaf,266
Ami Ayalon,792
Amin-Salim Jarjora,345
Amir Peretz,105
Amira Dotan,770
Amira Sartani,547
Amnon Cohen,210
Amnon Linn,485
Amnon Lipkin-Shahak,215
Amnon Rubinstein,113
Amos Degani,355
Amos Hadar,374
Amram Mitzna,739
Anastassia Michaeli,834
Anat Berko,918
Anat Maor,80
Ari Ankorin,263
Ari Jabotinsky,402
Arie Altman,254
Arie Bibi,821
Arie Lova Eliav,255
Arieh Eldad,752
Arieh Gamliel,34
Ariel Atias,791
Ariel Sharon,125
Ariel Weinstein,144
Arye Nehemkin,522
Aryeh Bahir,286
Aryeh Ben-Eliezer,295
Aryeh Machluf Deri,41
Aryeh Sheftel,660
Asaad Asaad,133
Asher Hassin,423
Assaf Yaguri,182
Avi Dichter,771
Avi Wortzman,870
Aviad Yafeh,434
Avigdor Itzchaky,773
Avigdor Kahalani,108
Avigdor Liberman,214
Avishay Braverman,797
Avner-Hai Shaki,116
Avraham Abaas,549
Avraham Berman,316
Avraham Bitton,291
Avraham Burg,137
Avraham Deutsch,357
Avraham Drori,370
Avraham Duan,852
Avraham Elmalich,260
Avraham Givelber,337
Avraham Granot,352
Avraham Herzfeld,392
Avraham Kalfon,457
Avraham Katz,461
Avraham Katz-Oz,465
Avraham Leizerson,76
Avraham Levenbraun,470
Avraham Michaeli,784
Avraham Naguisa,932
Avraham Ofer,552
Avraham Poraz,98
Avraham Rakanti,633
Avraham Ravitz,112
Avraham Sharir,670
Avraham Shochat,117
Avraham Stern,120
Avraham Taviv,427
Avraham Tiar,432
Avraham Verdiger,146
Avraham Yechezkel,62
Avraham Yosef Schapira,177
Avraham Zilberberg,409
Avraham-Haim Shag,634
Avraham-Yehuda Goldrat,328
Avshalom Vilan,203
Ayelet Nahmias-Verbin,933
Ayelet Shaked,904
Ayman Udeh,938
Ayoob Kara,230
Azmi Bishara,29
Baruch Kamin,603
Baruch Osnia,247
Baruch Uziel,551
Basel Ghattas,867
Batsheva Katznelson,466
Beba Idelson,248
Bechor-Shalom Sheetrit,643
Ben-Sion Halfon,419
Ben-Zion Dinor,363
Ben-Zion Harel,386
Ben-Zion Keshet,610
Ben-Zion Rubin,612
Benjamin Halevi,379
Benjamin Mintz,505
Benjamin Netanyahu,90
Benjamin Temkin,150
Benno Cohen,443
Benny Shalita,653
Benyamin Elon,12
Beryl Locker,480
Beryl Raptor,631
Bezalel Smotrich,936
Binyamin (Fouad) Ben-Eliezer,20
Binyamin Arditi,271
Binyamin Avniel,237
Binyamin Sasson,674
Binyamin Shachor,642
Boaz Moav,494
Boaz Toporovsky,872
Carmel Shama Hacohen,829
Chaim Amsellem,795
Chaim Ariav,273
Chaim Ben-Asher,296
Chaim Boger,287
Chaim Herzog,391
Chaim Oron,5
Charlie Bitton,292
Chemi Doron,749
Colette Avital,704
Dalia Itzik,8
Dalia Rabin-Pelossof,231
Dan Meridor,88
Dan Naveh,223
Dan Tichon,128
Dani Koren,763
Dani Yatom,741
Daniel Atar,940
Daniel Ayalon,833
Daniel Ben Simon,836
Daniel Benlolo,726
Daniel Hershkowitz,847
Daniel Rosolio,614
Daniel-Yitzhak Levy,474
Danny Danon,828
David Amsalem,912
David Azoulay,7
David Bar-Rav-Hai,313
David Ben-Gurion,684
David Bitan,914
David Coren,596
David Danino,367
David Glass,343
David Golomb,332
David Hacohen,376
David Levy,72
David Libai,75
David Livschitz,483
David Magen (Monsonego),82
David Mena,156
David Mor,498
David Petel,583
David Re`em,111
David Remez,628
David Rotem,805
David Shiffman,650
David Stern,644
David Tal,58
David Tsur,890
David Zucker,107
David-Zvi Pinkas,571
Devorah Netzer,530
Diyab Ovid,550
Doron Avital,851
Doron Shmueli,124
Dov (Bernard) Yosef,188
Dov Bar-Nir,312
Dov Ben-Meir,299
Dov Khenin,780
Dov Lipman,877
Dov Milman,502
Dov Sadan,534
Dov Shilansky,173
Dov Zakin,412
Dror Zeigerman,407
Edna Solodar,537
Effie Eitam,715
Efi Oshaya,6
Efraim Gur,141
Ehud Avriel,239
Ehud Barak,28
Ehud Olmert,3
Ehud Rassabi,746
Ehud Yatom,729
Einat Wilf,849
Eitan Broshi,917
Eitan Cabel,64
Eitan Livni,471
Elazar Granot,353
Elazar Stern,899
Elhanan Glazer,798
Eli Aflalo,730
Eli Ben-Dahan,863
Eli Ben-Menachem,22
Eli Cohen,714
Eli Cohen,928
Eli Dayan,143
Eliahu Ben Elissar,21
Eliahu Eliashar,258
Eliahu Gabbay,30
Eliahu Moyal,496
Eliahu Speiser,661
Elias Nahale,520
Elie Elalouf,911
Elie Goldschmidt,33
Eliezer Avtabi,234
Eliezer Cohen,209
Eliezer Kaplan,606
Eliezer Kulas,594
Eliezer Livna,482
Eliezer Mizrachi,499
Eliezer Peri,575
Eliezer Preminger,579
Eliezer Ronnen,619
Eliezer Sandberg,54
Eliezer Shostak,638
Eliezer Waldman,397
Elimelech Rimalt,624
Eliyahu Hacarmeli,378
Eliyahu Lankin,490
Eliyahu Mazur,500
Eliyahu Meridor,510
Eliyahu Sasson,673
Eliyahu Suissa,226
Eliyahu Yishai,63
Eliyahu-Moshe Ganchovsky,344
Elyakim (Gustav) Badian,283
Elyakim Haetzni,382
Emanuel Zisman,53
Emil Habibi,414
Emma Talmi,676
Emry Ron,618
Ephraim Shalom,652
Ephraim Sneh,94
Ephraim Taburi,675
Erel Margalit,882
Erela Golan,759
Esawi Frej,888
Esterina Tartman,764
Esther Herlitz,388
Esther Raziel-Naor,622
Esther Salmovitz,160
Esther Vilenska,394
Eti Livni,747
Eyal Ben-Reuven,916
Ezer Weizman,690
Ezra Ichilov,249
Fania Kirshenbaum,835
Faras Hamdan,420
Fayge Ilanit,250
Fridja Zo-Aretz,403
Gad Yaacobi,193
Gadi Yatziv,439
Gavriel Cohen,445
Gedalya Gal,142
Gennady Riger,232
George Flash,570
Gershom Schocken,640
Gershon Shafat,659
Geula Cohen,444
Gideon Ben-Israel,298
Gideon Ezra,96
Gideon Gadot,325
Gideon Hausner,373
Gideon Patt,164
Gideon Sa`ar,725
Gideon Sagee,171
Gila Finkelstein,753
Gila Gamliel,723
Gilad Erdan,734
Giora Yoseftal,190
Golda Meir,685
Gonen Segev,170
Hagai Meirom,84
Haika Grossman-Orkin,347
Haim Bar-Lev,311
Haim Cohen-Meguri,453
Haim Corfo,598
Haim Dayan,38
Haim Gvati,324
Haim Jelin,927
Haim Joseph Zadok,585
Haim Katz,212
Haim Kaufman,166
Haim Landau,489
Haim Meir Druckman,202
Haim Ramon,115
Haim Yehuda,185
Haim-Moshe Shapira,663
Halil-Salim Jabara,323
Hamad Abu-Rabiah,180
Hamad Amar,837
Hamad Khalaily,418
Hanan Porat,99
Hanan Rubin,613
Haneh Hadad,148
Hanin Zoabi,846
Hanna Mwais,495
Hanna Swaid,789
Hannah Lamdan,488
Hashem Mahameed,83
Hasya Drori,371
Haviv Shimoni,657
Herzl Berger,314
Heshel Frumkin,573
Hillel Ilan Horowitz,908
Hillel Kook,595
Hillel Seidel,408
Hussein Faris,558
Hussniya Jabara,199
Ibrahim Sarsour,800
Idov Cohen,442
Igael Hurvitz,375
Igal Yasinov,750
Ilan Gilon,200
Ilan Leibovitch,748
Ilan Shalgi,742
Ilana Cohen,755
Inbal Gavriely,736
Isaac Ben-Israel,808
Isaac Herzog,740
Isaac Seyger,406
Israel Bar-Yehuda,310
Israel Barzilai,315
Israel Eichler,754
Israel Galili,342
Israel Guri,334
Israel Hasson,781
Israel Kargman,608
Israel Kessar,167
Israel Rokach,620
Issam Makhoul,218
Isser Harel,385
Itshac Galantee,799
Itzchak Mordechay,87
Itzhak Gagula,198
Itzhak Golan,333
Itzhak Itzhaky,437
Itzhak Itzhaky (Lishovsky),438
Itzhak Kanev,604
Itzik Shmuli,901
Izhak Ziv,777
Jabr Moade,497
Jackie Levy,929
Jacob Edery,728
Jacob Shefi,176
Jacques Amir,262
Jamal Zahalka,756
Jenia Tversky,429
Jerucham Meshel,514
Josef Rom,617
Josef Tamir,678
Joseph Aharon Almogi,259
Joseph Azran,162
Joseph Bagad,135
Joseph Kremerman,609
Joseph Paritzky,227
Joseph Shprinzak,668
Joshua Matza,86
Kadish Luz,473
Kalman Kahana,456
Karin Elharrar,860
Ksenia Svetlova,934
Laviv-Hussein Abu-Rochan,233
Lea Nass,738
Leon Dycian,366
Leon Litinetsky,813
Levi Eshkol,683
Lia Shemtov,802
Limor Livnat,70
Lior Edri,907
Mahmud A-Nashaf,179
Majallie Whbee,727
Manuel Trajtenberg,925
Marcia Freedman,576
Marina Solodkin,91
Masaad Kassis,605
Masha Lubelsky,152
Masud Ganaim,844
Matan Vilnai,204
Mates Drobles,369
Mathilda Guez,336
Mattityahu Peled,565
Maxim Levy,74
Mazor Bahyna,811
Meir Amit,556
Meir Argov,270
Meir Avizohar,235
Meir Cohen,874
Meir Cohen-Avidov,450
Meir Kahane,455
Meir Pa`il,572
Meir Porush,103
Meir Sheetrit,119
Meir Talmi,677
Meir Vilner,395
Meir Yaari,433
