name,id
ABRIGNANI Ignazio,302940
ADORNATO Ferdinando,34960
AGOSTINELLI Donatella,305782
AGOSTINI Luciano,302873
AGOSTINI Roberta,305840
AIELLO Ferdinando,306300
AIRAUDO Giorgio,305575
ALBANELLA Luisella,306112
ALBERTI Ferdinando,305518
ALBINI Tea,304901
ALFANO Angelino,300431
ALFANO Gioacchino,300378
ALFREIDER Daniel,305582
ALLASIA Stefano,302145
ALLI Paolo,305610
ALTIERI Trifone,306743
AMATO Maria,306075
AMENDOLA Vincenzo,305931
AMICI Sesa,35030
AMODDIO Sofia,306308
ANGELUCCI Antonio,302942
ANTEZZA Maria,303024
ANZALDI Michele,305946
ARCHI Bruno,306264
ARGENTIN Ileana,302791
ARLOTTI Tiziano,305888
ARTINI Massimo,306092
ASCANI Anna,305704
ATTAGUILE Angelo,305906
BALDASSARRE Marco,306094
BALDELLI Simone,302089
BALDUZZI Renato,305008
BARADELLO Maurizio,306921
BARBANTI Sebastiano,306115
BARETTA Pier Paolo,302857
BARGERO Cristina,306001
BARONI Massimo Enrico,305800
BARUFFI Davide,305948
BASILIO Tatiana,305522
BASSO Lorenzo,305721
BATTAGLIA Demetrio,306142
BATTELLI Sergio,305715
BAZOLI Alfredo,305547
BECATTINI Lorenzo,306721
BECHIS Eleonora,305538
BELLANOVA Teresa,301564
BENAMATI Gianluca,302854
BENEDETTI Silvia,305604
BENI Paolo,306170
BERGAMINI Deborah,302867
BERGONZI Marco,306821
BERLINGHIERI Marina,305555
BERNARDO Maurizio,301550
BERNINI Massimiliano,305743
BERNINI Paolo,305977
BERRETTA Giuseppe,302917
BERSANI Pier Luigi,300026
BIANCHI Dorina,300274
BIANCHI Nicola,306041
BIANCHI Stella,305767
BIANCOFIORE Michaela,302124
BIANCONI Maurizio,302870
BIASOTTI Sandro,302769
BIFFONI Matteo,306150
BINDI Rosy,35410
BINETTI Paola,302190
BINI Caterina,306146
BIONDELLI Franca,303028
BLAZINA Tamara,303029
BOBBA Luigi,302200
BOCCADUTRI Sergio,305770
BOCCI Gianpiero,301496
BOCCIA Francesco,302892
BOCCUZZI Antonio,302779
BOLDRINI Laura,305757
BOLDRINI Paola,306841
BOLOGNESI Paolo,305917
BOMBASSEI Alberto,305508
BONACCORSI Lorenza,305819
BONAFE' Simona,305549
BONAFEDE Alfonso,306087
BONAVITACOLA Fulvio,302817
BONIFAZI Francesco,306003
BONOMO Francesca,305563
BORDO Franco,306268
BORDO Michele,301561
BORGHESE Mario,306249
BORGHESI Stefano,305501
BORGHI Enrico,305999
BORLETTI DELL'ACQUA Ilaria Carla Anna,306216
BOSCHI Maria Elena,306160
BOSCO Antonino,306306
BOSSA Luisa,302812
BOSSI Umberto,32460
BRAGA Chiara,302754
BRAGANTINI Matteo,302822
BRAGANTINI Paola,305545
BRAMBILLA Michela Vittoria,302838
BRANDOLIN Giorgio,305680
BRATTI Alessandro,302852
BRAY Massimo,305902
BRESCIA Giuseppe,305852
BRESSA Gianclaudio,50437
BRIGNONE Beatrice,306881
BRUGNEROTTO Marco,305609
BRUNETTA Renato,302875
BRUNO BOSSIO Vincenza,306134
BRUNO Franco,302282
BUENO Renata,306247
BUONANNO Gianluca,302834
BURTONE Giovanni Mario Salvino,300410
BUSIN Filippo,305630
BUSINAROLO Francesca,305602
BUSTO Mirko,306026
BUTTIGLIONE Rocco,35640
CALABRIA Annagrazia,303200
CALABRO' Raffaele,303032
CAMANI Vanessa,306687
CAMPANA Micaela,305810
CANCELLERI Azzurra Pia Maria,306050
CANI Emanuele,306046
CAON Roberto,305632
CAPARINI Davide,50138
CAPELLI Roberto,306066
CAPEZZONE Daniele,302059
CAPODICASA Angelo,301478
CAPONE Salvatore,305929
CAPOZZOLO Sabrina,305954
CAPUA Ilaria,305618
CARBONE Ernesto,306208
CARDINALE Daniela,302881
CARELLA Renzo,302792
CARFAGNA Maria Rosaria,301531
CARIELLO Francesco,305868
CARINELLI Paola,306222
CARLONI Anna Maria,302211
