id,name,family_name,group,area,chamber,term,source,image,email,facebook,twitter
244,BRUNO Donato,BRUNO,Popolo della Libertà,Puglia,Senate,17,http://politici.openpolis.it/politico/donato-bruno/244,http://politici.openpolis.it/politician/picture?content_id=244,"","",""
274886,AIELLO Pietro,AIELLO,Area Popolare (NCD-UDC),Calabria,Senate,17,http://politici.openpolis.it/politico/pietro-aiello/274886,http://politici.openpolis.it/politician/picture?content_id=274886,pieroaiello.regcal@libero.it,http://www.facebook.com/pages/Piero-Aiello/342569845909,""
685864,Airola Alberto,Airola,Movimento 5 stelle,Piemonte,Senate,17,http://politici.openpolis.it/politico/alberto-airola/685864,http://politici.openpolis.it/politician/picture?content_id=685864,albeairo@yahoo.commailto:alberto.airola@senato.it,https://www.facebook.com/albertoairolam5s,https://twitter.com/#!/AlbertoAirola
341191,Albano Donatella,Albano,Partito Democratico,Liguria,Senate,17,http://politici.openpolis.it/politico/donatella-albano/341191,http://politici.openpolis.it/politician/picture?content_id=341191,donatella.albano@senato.itmailto:donatella.albano@gmail.commailto:donatella.albano@gmail.com,"",https://twitter.com/#!/DonatellaAlbano
2,ALBERTINI Gabriele,ALBERTINI,Area Popolare (NCD-UDC),Lombardia,Senate,17,http://politici.openpolis.it/politico/gabriele-albertini/2,http://politici.openpolis.it/politician/picture?content_id=2,galbertini@europarl.eu.intmailto:gabriele.albertini@senato.it,"",https://twitter.com/#!/g_albertini
332966,ALICATA Bruno,ALICATA,Popolo della Libertà,Sicilia,Senate,17,http://politici.openpolis.it/politico/bruno-alicata/332966,http://politici.openpolis.it/politician/picture?content_id=332966,bruno.alicata@senato.it,"",""
1454,AMATI Silvana,AMATI,Partito Democratico,Marche,Senate,17,http://politici.openpolis.it/politico/silvana-amati/1454,http://politici.openpolis.it/politician/picture?content_id=1454,silvana.amati@senato.itmailto:s.amati@dsonline.it,"",""
8407,AMIDEI Bartolomeo,AMIDEI,Popolo della Libertà,Veneto,Senate,17,http://politici.openpolis.it/politico/bartolomeo-amidei/8407,http://politici.openpolis.it/politician/picture?content_id=8407,"","",""
175,AMORUSO Francesco Maria,AMORUSO,Popolo della Libertà,Puglia,Senate,17,http://politici.openpolis.it/politico/francesco-maria-amoruso/175,http://politici.openpolis.it/politician/picture?content_id=175,AMORUSO_F@camera.it,"",""
687154,Angioni Ignazio,Angioni,Partito Democratico,Sardegna,Senate,17,http://politici.openpolis.it/politico/ignazio-angioni/687154,http://politici.openpolis.it/politician/picture?content_id=687154,ignangioni@tiscali.it,http://www.facebook.com/IgnaAngioni,""
687012,Anitori Fabiola,Anitori,Area Popolare (NCD-UDC),Lazio,Senate,17,http://politici.openpolis.it/politico/fabiola-anitori/687012,http://politici.openpolis.it/politician/picture?content_id=687012,fabiola.anitori@senato.it,http://www.facebook.com/fabiola.anitori,""
274860,ARACRI Francesco,ARACRI,Popolo della Libertà,Lazio,Senate,17,http://politici.openpolis.it/politico/francesco-aracri/274860,http://politici.openpolis.it/politician/picture?content_id=274860,"","",https://twitter.com/#!/AracriFrancesco
9339,ARRIGONI Paolo,ARRIGONI,Lega Nord e autonomie,Lombardia,Senate,17,http://politici.openpolis.it/politico/paolo-arrigoni/9339,http://politici.openpolis.it/politician/picture?content_id=9339,paolo.arrigoni@senato.itmailto:info@paoloarrigoni.com,"",https://twitter.com/#!/arrigoni_paolo
124789,ASTORRE Bruno,ASTORRE,Partito Democratico,Lazio,Senate,17,http://politici.openpolis.it/politico/bruno-astorre/124789,http://politici.openpolis.it/politician/picture?content_id=124789,bruno.astorre@senato.it,"",""
1460,AUGELLO Andrea,AUGELLO,Area Popolare (NCD-UDC),Lazio,Senate,17,http://politici.openpolis.it/politico/andrea-augello/1460,http://politici.openpolis.it/politician/picture?content_id=1460,augello_a@posta.senato.it,http://www.facebook.com/pages/Andrea-Augello/153603464686120,""
79566,AURICCHIO Domenico,AURICCHIO,Popolo della Libertà,Campania,Senate,17,http://politici.openpolis.it/politico/domenico-auricchio/79566,http://politici.openpolis.it/politician/picture?content_id=79566,"","",""
1461,AZZOLLINI Antonio,AZZOLLINI,Area Popolare (NCD-UDC),Puglia,Senate,17,http://politici.openpolis.it/politico/antonio-azzollini/1461,http://politici.openpolis.it/politician/picture?content_id=1461,antonio.azzollini@senato.it,"",""
