id,name__en,name,wikipedia__en,gender,birth_date,identifier__freebase,given_name,identifier__VIAF,identifier__LCAuth,image,identifier__IMDB,family_name,identifier__GND,death_date
Q505200,Andrew Holness,Andrew Holness,Andrew Holness,male,1972-07-22,/m/05ztpm6,Andrew,,,,,,,
Q2852879,Anthony Hylton,Anthony Hylton,Anthony Hylton,male,1957-04-27,,Anthony,,,,,,,
Q758950,Audley Shaw,Audley Shaw,Audley Shaw,male,1952-06-13,,,,,,,,,
Q1167006,Daryl Vaz,Daryl Vaz,Daryl Vaz,male,1963-12-15,,Daryl,,,,,,,
Q1184742,Delroy Chuck,Delroy Chuck,Delroy Chuck,male,1950-12-02,,,21204298,n87853400,,,,,
Q5264765,Desmond McKenzie,Desmond McKenzie,Desmond McKenzie,male,1952-12-01,,Desmond,,,,,,,
Q1285979,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,male,1950-12-03,,Edmund,,,,,,,
Q5416886,Everald Warmington,Everald Warmington,Everald Warmington,male,,,,,,,,,,
Q16211502,Fenton Ferguson,Fenton Ferguson,Fenton Ferguson,male,,,,,,,,,,
Q5607062,Gregory Mair,Gregory Mair,Gregory Mair,male,,,Gregory,,,,,,,
Q1627852,Horace Chang,Horace Chang,Horace Chang,male,1952-11-10,,Horace,,,,,,,
Q5981773,Ian Hayles,Ian Hayles,Ian Hayles,male,1972-01-01,,Ian,,,,,,,
Q1681050,James Robertson,James Robertson,James Robertson (Jamaican politician),male,1966-06-09,,James,,,,,,,
Q1732780,Karl Samuda,Karl Samuda,Karl Samuda,male,1942-02-08,,Karl,,,,,,,
Q6385176,Keith Walford,Keith Walford,Keith Walford,male,,,Keith,,,,,,,
Q951744,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,male,1941-02-24,,Kenneth,,,,,,,
Q446817,Lisa Hanna,Lisa Hanna,Lisa Hanna,female,1975-08-27,/m/05kwz_,Lisa,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Lisa_Hanna.jpg,nm0360219,Hanna,,
Q1927789,Michael Henry,Michael Henry,Michael Henry (Jamaican politician),male,1935-06-01,,Michael,,,,,,,
Q17325174,Michael Peart,Michael Peart,Michael Peart,male,1948-01-01,,Michael,,,,,,,
Q1247437,Olivia Grange,Olivia Grange,Olivia Grange,female,1946-04-27,,Olivia,,,,,,,
Q2023064,Omar Davies,Omar Davies,Omar Davies,male,1947-05-28,/m/0279n6y,Omar,1315218,n80098947,,,Davies,170430669,
Q7149573,Paul Buchanan,Paul Buchanan,Paul Buchanan,male,1981-10-23,,Paul,,,,,,,
Q2065916,Pearnel Charles,Pearnel Charles,Pearnel Charles,male,1936-01-01,,,91605322,n79150720,,,,,
Q7176380,Peter Phillips,Peter Phillips,Peter Phillips (Jamaican politician),male,,,Peter,,,,,,,
Q17110975,Phillip Paulwell,Phillip Paulwell,Phillip Paulwell,male,1962-01-14,,Phillip,,,,,,,
Q57597,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,female,1945-12-12,/m/0bpvhb,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Portia_Miller_Shoot.Jpeg,,,,
Q1314683,Roger Clarke,Roger Clarke,Roger Clarke (politician),male,1940-06-11,,Roger,270188187,,,,,,2014-08-28
Q2174584,Rudyard Spencer,Rudyard Spencer,Rudyard Spencer,male,1944-02-03,,Rudyard,,,,,,,
Q7461785,Shahine Robinson,Shahine Robinson,Shahine Robinson,female,,,,,,,,,,
Q8026090,Winston Green,Winston Green,Winston Green,male,,,Winston,,,,,,,
