name,id
Abdullah Al Adwani,1917
Abdullah Al Tamimi,1914
Adel Al Khorafi,1902
Adnan AbdulSamad,1895
Ali Al-Omair,1888
Ali al-Omair,1888
Askar Al Enzi,1875
Askar Al-Enezi,1875
Dr. Abdul Hameed Dashti,1934
Dr. Abdul Rahman AlJiran,1884
Dr. Abdullah Al Traygi,1885
Dr. Ahmad Al Azmi,1883
Dr. Ali Al Omair,1888
Dr. Awda Al Rowaey,1881
Dr. Khalil Saleh,1887
Dr. Mansoor Al Dofairi,1911
Dr. Mohammed Al Huwaila,1915
Dr. Youssef Al Zalzala,1898
Essa Al Kandari,1931
Faisal Al Dowaisan,1896
Faisal Al Kandari,1893
Faisal Al Shaya,1880
Hamad Al Harshani,1899
Hamdan Al Azmi,1886
Humoud Al Hamdan,1868
Jamal Al Omar,1892
Kamil Al Awadi,1890
Khalaf Al Enezi,1900
Khalaf Al-Enezi,1900
Khalil Abdullah,1904
Madi Al Hajeri,1916
Majed Al Mutairi,1909
Marzouq Al-Ghanim,1882
Marzouq AlGhanim,1882
Mobarak AlKhrinej,1910
Mohammed Al Enzi,1930
Mohammed Al Hadeya,1897
Mohammed Al Jabri,1876
Mubarak Al Harees,1874
Nabeel Al Fadel,1942
Rakan Al Nesef,1873
Rawdan Al Rawdan,1905
Saad Al Khanfour,1907
Saadoun Al Otaibi,1912
Sadoon Al-Otaibi,1912
Saif Al Azmi,1913
Saleh Ashour,1894
Saud AlHarijy,1870
Sultan Al Shammari,1908
Talal Al Sahli,1878
Yacob AlSane,1879
جمال حسين العمر,1892
حمد سيف محمد الهرشاني,1899
حمدان سالم فنيطل العازمي,1886
حمود محمد الحمدان,1868
خلف دميثير عجاج العنزي,1900
خليل إبراهيم الصالح,1887
خليل عبد الله علي عبد الله,1904
د . أحمد عبد الله مطيع العازمي,1883
د . عبد الرحمن صالح الجيران,1884
د . علي صالح العمير,1888
د . عوده العوده الرويعي,1881
د . محمد هادي هايف الحويلة,1915
د . منصور فالح منصور الظفيري,1911
د . يوسف سيد حسن الزلزلة,1898
د. عبد الله محمد عبدالرحمن الطريجي,1885
د.عبد الحميد عباس دشتي,1934
راكان يوسف حمود النصف,1873
روضان عبد العزيز العبد الله الروضان,1905
سعد علي خالد الرشيدي,1907
سعدون حماد عبيد العتيبي,1912
سعود نشمي الحريجي,1870
سلطان جدعان عواد الشمري,1908
سيف مطلق سيف العازمي,1913
صالح أحمد حسن عاشور,1894
طلال سعد الجلال السهلي,1878
عادل مساعد محمد الخرافي,1902
عبد الله إبراهيم عبد الله التميمي,1914
عبد الله مرزوق ناهي العدواني,1917
عدنان سيد عبد الصمد أحمد,1895
عسكر عويد عسكر العنزي,1875
عيسى أحمد محمد حسن الكندري,1931
فيصل سعود صالح الدويسان,1896
فيصل فهد محمد علي الشايع,1880
فيصل محمد الكندري,1893
كامل محمود العوضي,1890
ماجد موسى عبد الرحمن المطيري,1909
ماضي محمد فالح الهاجري,1916
مبارك بنيه متعب الخرينج,1910
مبارك سالم الحريص,1874
محمد طنا العنزي,1930
محمد مروي ملفي الهدية,1897
محمد ناصر الجبري,1876
مرزوق علي محمد ثنيان الغانم,1882
نبيل نوري الفضل,1942
يعقوب عبد المحسن الصانع,1879
