id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
21251,ABDRAXMANOV Alisher Orozbaevich,,,Respublika,respublika,,Supreme Council,6,,,http://kenesh.kg/MyFiles/image/IMG_2687(1).JPG,
2322,ABDYKERIMOV SHarshenbek SHajloobekovich,,,Yntymak,yntymak,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/clip_image002.jpg,
298,ABDYLDAEV Myktybek YUsupovich,,,AtaZHurt,atazhurt,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/%25D0%259C_%25D0%2590%25D0%25B1%25D0%25B4%25D1%258B%25D0%25BB%25D0%25B4%25D0%25B0%25D0%25B5%25D0%25B2-26.JPG,
299,ABDYRAXMANOV Omurbek,,,unknown,unknown,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/%25D0%2590%25D0%25B1%25D0%25B4%25D1%258B%25D1%2580%25D0%25B0%25D1%2585%25D0%25BC%25D0%25B0%25D0%25BD%25D0%25BE%25D0%25B2%2520%25D0%259E%25D0%25BC%25D1%2583%25D1%2580%25D0%25B1%25D0%25B5%25D0%25BA%2520copy.jpg,
30533,ABYTOV Almasbek Axunzhanovich,,,AtaZHurt,atazhurt,,Supreme Council,6,,,,
241,AJDAROV Nurgazy Abdyraevich,,,AtaZHurt,atazhurt,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/for%2520site/%25D0%2590%25D0%25B9%25D0%25B4%25D0%25B0%25D1%2580%25D0%25BE%25D0%25B2%2520%25D0%259D_%2520%25D0%2590_.jpg,
301,AJTMATOVA SHirin,,,Ata Meken,ata_meken,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/%25D0%2590%25D0%25B9%25D1%2582%25D0%25BC%25D0%25B0%25D1%2582%25D0%25BE%25D0%25B2%25D0%25B0%2520%25D0%25A8.jpg,
302,AKNAZAROVA Roza Korchubekovna,,,Respublika,respublika,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/%25D0%25A4%25D0%25BE%25D1%2582%25D0%25BE%2520%25D1%2584%25D1%2580%25D0%25B0%25D0%25BA%25D1%2586%25D0%25B8%25D1%258F%2520%25D0%25A0%25D0%25B5%25D1%2581%25D0%25BF%25D1%2583%25D0%25B1%25D0%25BB%25D0%25B8%25D0%25BA%25D0%25B0/sait/P1110498(1).JPG,
303,ALIMBEKOV Nurbek Kaaryevich,,,Respublika,respublika,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/%25D0%25A4%25D0%25BE%25D1%2582%25D0%25BE%2520%25D1%2584%25D1%2580%25D0%25B0%25D0%25BA%25D1%2586%25D0%25B8%25D1%258F%2520%25D0%25A0%25D0%25B5%25D1%2581%25D0%25BF%25D1%2583%25D0%25B1%25D0%25BB%25D0%25B8%25D0%25BA%25D0%25B0/sait/%25D0%25B0%25D0%25BB%25D0%25B8%25D0%25BC%25D0%25B1%25D0%25B5%25D0%25BA%25D0%25BE%25D0%25B22.JPG,
304,ALTYBAEVA Ajnuru Tojchievna,,,ArNamys,arnamys,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/Altybaeva%2520A_T_.jpg,
305,ALYMBEKOV Zamirbek Madanbekovich,,,SDPK,sdpk,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/%25D0%2590%25D0%25BB%25D1%258B%25D0%25BC%25D0%25B1%25D0%25B5%25D0%25BA%25D0%25BE%25D0%25B2%2520%25D0%2597%25D0%25B0%25D0%25BC%25D0%25B8%25D1%2580%2520%25D0%259C%25D0%25B0%25D0%25B4%25D0%25B0%25D0%25BD%25D0%25B1%25D0%25B5%25D0%25BA%25D0%25BE%25D0%25B2%25D0%25B8%25D1%2587.jpg,
242,ARAPBAEV Azamat Abdullazhanovich,,,AtaZHurt,atazhurt,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/IMG_0955(2).jpg,
308,ARIPOV Nazarali Turdalievich,,,Respublika,respublika,,Supreme Council,6,,,http://www.kenesh.kg/MyFiles/image/%25D0%25A4%25D0%25BE%25D1%2582%25D0%25BE%2520%25D1%2584%25D1%2580%25D0%25B0%25D0%25BA%25D1%2586%25D0%25B8%25D1%258F%2520%25D0%25A0%25D0%25B5%25D1%2581%25D0%25BF%25D1%2583%25D0%25B1%25D0%25BB%25D0%25B8%25D0%25BA%25D0%25B0/sait/%25D0%2590%25D1%2580%25D0%25B8%25D0%25BF%25D0%25BE%25D0%25B2(1).JPG,
