id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
153,Batliner Christian,christian.batliner@landtag.li,,FBP,FBP,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/christian_batliner.jpg,
154,Batliner Manfred,manfred.batliner@landtag.li,,FBP,FBP,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/manfred_batliner.jpg,
104,Beck Alois,alois.beck@landtag.li,,FBP,FBP,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/alois_beck.jpg,
105,Beck Christoph,christoph.beck@landtag.li,,VU,VU,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/christoph_beck.jpg,
159,Büchel Gerold,gerold.buechel@landtag.li,,FBP,FBP,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/gerold_buechel.jpg,
107,Büchel Peter,peter.buechel@landtag.li,,VU,VU,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/peter_buechel.jpg,
108,Elkuch Herbert,herbert.elkuch@landtag.li,,DU,DU,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/herbert_elkuch.jpg,
161,Frick Albert,albert.frick@landtag.li,,FBP,FBP,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/albert_frick.jpg,
110,Hasler Elfried,elfried.hasler@landtag.li,,FBP,FBP,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/elfried_hasler.jpg,
111,Hasler Erich,erich.hasler@landtag.li,,DU,DU,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/erich_hasler.jpg,
167,Kaiser Johannes,johannes.kaiser@landtag.li,,FBP,FBP,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/kaiser_johannes_neu_aus_2009.jpg,
113,Konrad Frank,frank.konrad@landtag.li,,VU,VU,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/frank_konrad_634995612576476250.jpg,
114,Konzett Bargetze Helen,helen.konzettbargetze@landtag.li,,FL,FL,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/helen_konzett_bargetze.jpg,
115,Lageder Thomas,thomas.lageder@landtag.li,,FL,FL,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/thomas_lageder.jpg,
172,Lampert Wendelin,wendelin.lampert@landtag.li,,FBP,FBP,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/wendelin_lampert.jpg,
117,Lanter-Koller Violanda,violanda.lanter-koller@landtag.li,,VU,VU,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/violanda_lanter_keller.jpg,
118,Marxer Wolfgang,wolfgang.marxer@landtag.li,,FL,FL,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/wolfgang_marxer_634995651773507500.jpg,
119,Nägele Eugen,eugen.naegele@landtag.li,,FBP,FBP,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/eugen_naegele.jpg,
120,Oehri Judith,judith.oehri@landtag.li,,VU,VU,Unterland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/judith_oehri.jpg,
174,Quaderer Harry,harry.quaderer@landtag.li,,DU,DU,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/harry_quaderer.jpg,
122,Rüdisser-Quaderer Karin,karin.ruedisser-quaderer@landtag.li,,VU,VU,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/karin_ruedisser_quaderer.jpg,
123,Schurti Pio,pio.schurti@landtag.li,,DU,DU,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/pius_schurti.jpg,
124,Vogt Thomas,thomas.vogt@landtag.li,,VU,VU,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/thomas_vogt.jpg,
125,Wenaweser Christoph,christoph.wenaweser@landtag.li,,VU,VU,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/christoph_wenaweser.jpg,
126,Wohlwend Christine,christine.wohlwend@landtag.li,,FBP,FBP,Oberland,Landtag,2013-2017,,,http://landtaglive.gmgnet.li/files/attachments/christine_wohlwend.jpg,
