name,id
Alex Bodry,23896
Alex Krieps,23922
Alexander Krieps,23922
Alexandre Krieps,23922
Ali Kaes,23919
Aly Kaes,23919
André Bauler,24737
Anne Brasseur,23898
Claude Adam,24012
Claude Haagen,23918
Claude Wiseler,24066
Claudia Dall'Agnol,24025
Cécile Hemmen,24017
David Wagner,25024
David Wagner (Politiker),25024
Diane Adehm,23878
Edy Mertens,24039
Emile Eicher,23903
Eugène Berger,23892
Fernand Kartheiser,23920
Frank Arndt,24028
Franz Fayot,23871
Françoise Hetto,24056
Françoise Hetto-Gaasch,24056
Fränk Arndt,24028
Félix Eischen,23905
Gast Gibéryen,23913
Gaston Gibéryen,23913
Georges Engel,23907
Gilles Baum,24036
Gilles Roth,23933
Gusty Graas,23911
Guy Arendt,24033
Gérard Anzia,24839
Henri Kox,23921
Jean-Marie Halsdorf,24052
Josée Lorsché,23924
Josée Lorsché‎,23924
Joëlle Elvinger,24045
Laurent Mosar,23937
Laurent Zeimet,24908
Lex Delles,23868
Lydie Polfer,23932
Léon Gloden,23917
Marc Angel,23882
Marc Angel (Politiker),23882
Marc Lies,23923
Marc Spautz,24064
Marcel Oberweis,23931
Marco Schank,24062
Mars Di Bartolomeo,24030
Martine Hansen,24054
Martine Mergen,24877
Max Hahn,24042
Michel Wolter,23936
Nancy Arendt,23884
Nancy Kemp-Arendt,23884
Octavie Modert,24060
Paul-Henri Meyers,23927
Roberto Traversini,24006
Roger Negri,24014
Roy Reding,23877
Serge Urbany,23934
Serge Wilmes,23935
Simone Beissel,23890
Simone Beissel-Merten,23890
Sylvie Andrich-Duval,23881
Taina Bofferding,24020
Tess Burton,24023
Viviane Loschetter,23925
Yves Cruchten,23865
Λίντι Πόλφερ,23932
Анн Брассер,23898
"Брассёр, Анн",23898
"Вольтер, Мишель",23936
Мішель Вольтер,23936
