name,id
AU KAM SAN,au_kam_san
Angela Leong,leong_on_kei
Antonio Ng,ng_kuok_cheong
CHAN CHAK MO,chan_chak_mo
CHAN HONG,chan_hong
CHAN IEK LAP,chan_iek_lap
CHAN MENG KAM,chan_meng_kam
"CHAN, MELINDA MEI YI",chan_mei_yi
CHEANG CHI KEONG,cheang_chi_keong
CHEUNG LUP KWAN VITOR,cheung_lup_kwan
CHUI SAI CHEONG,chui_sai_cheong
CHUI SAI PENG JOSE,chui_sai_peng
FONG CHI KEONG,fong_chi_keong
HO IAT SENG,ho_iat_seng
HO ION SANG,ho_ion_sang
JOSÉ MARIA PEREIRA COUTINHO,jose_pereira
José Chui,chui_sai_peng
José Maria Pereira Coutinho,jose_pereira
José Pereira Coutinho,jose_pereira
KOU HOI IN,kou_hoi_in
KWAN TSUI HANG,kwan_tsui_hang
LAM HEONG SANG,lam_heong_sang
LAU VENG SENG,lau_veng_seng
LEI CHENG I,lei_cheng_i
LEONEL ALBERTO ALVES,leonel
LEONG ON KEI,leong_on_kei
LEONG VENG CHAI,leong_veng_chai
Leong On-kei,leong_on_kei
MA CHI SENG,ma_chi_seng
MAK SOI KUN,mak_soi_kun
NG KUOK CHEONG,ng_kuok_cheong
SI KA LON,si_ka_lon
SIO CHI WAI,sio_chi_wai
SONG PEK KEI,song_pek_kei
TONG IO CHENG,tong_io_cheng
TSUI WAI KWAN,tsui_wai_kwan
VONG HIN FAI,vong_hin_fai
WONG KIT CHENG,wong_kit_cheng
ZHENG ANTING,zheng_anting
何潤生,ho_ion_sang
劉永誠,lau_veng_seng
區錦新,au_kam_san
吳國昌,ng_kuok_cheong
唐曉晴,tong_io_cheng
宋碧琪,song_pek_kei
崔世平,chui_sai_peng
崔世昌,chui_sai_cheong
張立群,cheung_lup_kwan
徐偉坤,tsui_wai_kwan
施家倫,si_ka_lon
李靜儀,lei_cheng_i
林香生,lam_heong_sang
梁安琪,leong_on_kei
梁榮仔,leong_veng_chai
歐安利,leonel
蕭志偉,sio_chi_wai
賀一誠,ho_iat_seng
鄭安庭,zheng_anting
鄭志強,cheang_chi_keong
關翠杏,kwan_tsui_hang
陳亦立,chan_iek_lap
陳明金,chan_meng_kam
陳澤武,chan_chak_mo
陳美儀,chan_mei_yi
陳虹,chan_hong
馬志成,ma_chi_seng
馮志強,fong_chi_keong
高天賜,jose_pereira
高開賢,kou_hoi_in
麥瑞權,mak_soi_kun
黃潔貞,wong_kit_cheng
黃顯輝,vong_hin_fai
