chamber,area,details_url,name,group,image,executive,term_id,term
National Assembly,Vohémar,http://www.assemblee-nationale.mg/?depute=abdilah,ABDILLAH -,VPM-MMM,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/1.jpg&w=200&h=auto,,,2013
National Assembly,Mitsinjo,http://www.assemblee-nationale.mg/?depute=alidy-bin-soufou,ALIDY Bin Soufou,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/2.jpg&w=200&h=auto,,,2013
National Assembly,Antananarivo Avaradrano,http://www.assemblee-nationale.mg/?depute=andriamitantsoa-ramasindraibe-benjamin,ANDRIAMITANTSOA RAMASINDRAIBE Benjamin,Mouvance RAVALOMANANA,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/3.jpg&w=200&h=auto,,,2013
National Assembly,Ambatondrazaka,http://www.assemblee-nationale.mg/?depute=andriamasimanana-aureline,ANDRIAMASIMANANA Aureline,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/4.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Mandoto,http://www.assemblee-nationale.mg/?depute=andriamboavonjy-nantenaina-herisoa,ANDRIAMBOAVONJY Nantenaina Herisoa,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/5.jpg&w=200&h=auto,,,2013
National Assembly,Ambositra,http://www.assemblee-nationale.mg/?depute=andrianarivo-harimampianina-razakarivelo,ANDRIANARIVO Harimampianina Razakarivelo,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/6.jpg&w=200&h=auto,Vice-président Fianarantsoa,,2013
National Assembly,Ambatondrazaka,http://www.assemblee-nationale.mg/?depute=andrianirina-josoa-marohajaina,ANDRIANIRINA Josoa Marohajaina,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/7.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Ampanihy Andrefana,http://www.assemblee-nationale.mg/?depute=andrianjaka-samson-goulzar,ANDRIANJAKA Samson Goulzar,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/8.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Manandriana,http://www.assemblee-nationale.mg/?depute=andrianjanahary-fanomezantsoa,ANDRIANJANAHARY Fanomezantsoa,VPM-MMM,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/9.jpg&w=200&h=auto,Député,,2013
National Assembly,Manakara,http://www.assemblee-nationale.mg/?depute=andriantsizehena-benja-urbain,ANDRIANTSIZEHENA Benja Urbain,VP-MMM,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/10.jpg&w=200&h=auto,Député,,2013
National Assembly,Amboasary Atsimo,http://www.assemblee-nationale.mg/?depute=angele-solange,ANGELE Solange,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/11.jpg&w=200&h=auto,,,2013
National Assembly,Nosy Be,http://www.assemblee-nationale.mg/?depute=arosy-namiandrazana-francois-namiandrazana-francois,AROSY Namiandrazana François,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/12.jpg&w=200&h=auto,Député,,2013
National Assembly,Besalampy,http://www.assemblee-nationale.mg/?depute=delphine-florentine,DELPHINE Florentine,Les As,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/13.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Maroantsetra,http://www.assemblee-nationale.mg/?depute=dinah-romual,DINAH Romual,Leader Fanilo,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/14.jpg&w=200&h=auto,,,2013
