id,name,area,group,group_id,gender,phone,term,source
289,Hon. A.M. Adams,Mangochi,United Democratic Front,UDF,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=289&mode=alps
290,Hon. L.C.C. Banda,Balaka,United Democratic Front,UDF,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=290&mode=alps
291,Hon. C.R.W. Banda,Dowa,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=291&mode=alps
385,Hon. B.A.K. Banda,Mchinji,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=385&mode=alps
387,Hon. D.G. Banda,Mchinji,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=387&mode=alps
384,Hon. L.K.W. Belekanyama,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=384&mode=alps
383,Hon. F.W. Billiat,Mangochi,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=383&mode=alps
386,Hon. D.Y. Bisnowaty,Lilongwe,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=386&mode=alps
388,Hon. P.H. Bvalani,Zomba,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=388&mode=alps
379,Hon. P.L. Chakhwantha,Lilongwe,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=379&mode=alps
395,Hon. L.M. Dr. Chakwera,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=395&mode=alps
454,Hon. E.W.J. Dr. Chakwera,Dowa,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=454&mode=alps
474,Hon. P.P.S. Chalera,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=474&mode=alps
293,Hon. B.A. Chambo,Mangochi,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=293&mode=alps
450,Hon. M.L. Chanjo,Nkhotakota,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=450&mode=alps
456,Hon. G.T. Dr. Chaponda,Mulanje,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=456&mode=alps
467,Hon. W.J. Chawawa,Zomba,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=467&mode=alps
455,Hon. C.E.B. Chazama,Blantyre,Democratic Progressive Party,DPP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=455&mode=alps
448,Hon. P. Chibingu,Mwanza,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=448&mode=alps
446,Hon. D.A. Chida,Mulanje,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=446&mode=alps
294,Hon. J Chidanti Malunga,Nsanje,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=294&mode=alps
376,Hon. E.C.K. Chihana,Rumphi,Alliance for Democracy,AFORD,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=376&mode=alps
476,Hon. J.A. Chikalimba,Zomba,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=476&mode=alps
393,Hon. W. Chilenga,Chitipa,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=393&mode=alps
469,Hon. E.M. Chilenje-Nkhoma,Nsanje,Independent,Independent,F,+265999098833,2014,http://www.parliament.gov.mw/mp.php?indexc=469&mode=alps
472,Hon. P.Z. Chilondola,Dedza,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=472&mode=alps
475,Hon. O.M.K. Chiluba,Mzimba,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=475&mode=alps
445,Hon. D. Chimalira,Ntcheu,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=445&mode=alps
479,Hon. O. Chimangeni,Ntchisi,Peoples Party,PP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=479&mode=alps
470,Hon. V.M. Chimbalu,Kasungu,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=470&mode=alps
453,Hon. N.C. Chimpeni,Nkhata Bay,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=453&mode=alps
449,Hon. E.H. Chimulirenji,Ntcheu,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=449&mode=alps
468,Hon. E.P. Ching'oma,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=468&mode=alps
481,Hon. M.E.B. Ching'onga,Lilongwe,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=481&mode=alps
295,Hon. H.P.P. Chinkhondo,Dedza,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=295&mode=alps
451,Hon. E.A. Chinthu-Phiri,Nkhata Bay,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=451&mode=alps
394,Hon. H.N. Chipeni,Dowa,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=394&mode=alps
374,Hon. R.M. Chiphiko,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=374&mode=alps
452,Hon. H.L. Chipuwa,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=452&mode=alps
296,Hon. E.K. Chitatanga,Dowa,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=296&mode=alps
471,Hon. A.K. Chitete,Mchinji,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=471&mode=alps
371,Hon. E.M. Chiume,Nkhata Bay,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=371&mode=alps
368,Hon. G.O. Chiumia,Nkhata Bay,Democratic Progressive Party,DPP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=368&mode=alps
297,Hon. C.T. Dr. Chiwaya,Mangochi,United Democratic Front,UDF,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=297&mode=alps
473,Hon. D.H.S. Chiwere,Dedza,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=473&mode=alps
292,Hon. G.M Chiwondo,Mangochi,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=292&mode=alps
447,Hon. A.J. Dr. Chiyembekeza,Thyolo,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=447&mode=alps
480,Hon. M. Chunga,Mzimba,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=480&mode=alps
457,Hon. P. Dimba,Lilongwe,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=457&mode=alps
390,Hon. P.S. Dzimbiri,Balaka,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=390&mode=alps
458,Hon. A. Dzonzi,Dowa,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=458&mode=alps
391,Hon. V.G. Dzoole Mwale,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=391&mode=alps
459,Hon. E. Dr. Fabiano,Chiradzulu,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=459&mode=alps
367,Hon. A.R. Gaffar,Blantyre,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=367&mode=alps
462,Hon. S.S. Ganda,Nsanje,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=462&mode=alps
463,Hon. V.W. Ghambi,Karonga,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=463&mode=alps
460,Hon. T.T. Gowelo,Blantyre,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=460&mode=alps
400,Hon. W.A. Gwengwe,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=400&mode=alps
464,Hon. J.H. Hara,Mzimba,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=464&mode=alps
465,Hon. Z.G. Issa,Chikwawa,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=465&mode=alps
309,Hon. G. Jeffrey,Nkhotakota,Democratic Progressive Party,DPP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=309&mode=alps
466,Hon. H.L. Jiya,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=466&mode=alps
298,Hon. E. Jolobala,Machinga,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=298&mode=alps
329,Hon. R.P. Jooma,Mangochi,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=329&mode=alps
477,Hon. F.E. Jumbe,Salima,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=477&mode=alps
422,Hon. J. Dr. Kabwila,Salima,Malawi Congress Party,MCP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=422&mode=alps
