name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id
Azmi Khalid,Perlis,Padang Besar,http://en.wikipedia.org/wiki/Azmi_Khalid,UMNO,United Malays National Organisation,12,"","Padang Besar, Perlis",Barisan Nasional,BN
Mohd Radzi Sheikh Ahmad,Perlis,Kangar,http://en.wikipedia.org/wiki/Mohd_Radzi_Sheikh_Ahmad,UMNO,United Malays National Organisation,12,"","Kangar, Perlis",Barisan Nasional,BN
Ismail Kassim,Perlis,Arau,http://en.wikipedia.org/wiki/Ismail_Kassim,UMNO,United Malays National Organisation,12,"","Arau, Perlis",Barisan Nasional,BN
Abu Bakar Taib,Kedah,Langkawi,http://en.wikipedia.org/wiki/Abu_Bakar_Taib,UMNO,United Malays National Organisation,12,"","Langkawi, Kedah",Barisan Nasional,BN
Mukhriz Mahathir,Kedah,Jerlun,http://en.wikipedia.org/wiki/Mukhriz_Mahathir,UMNO,United Malays National Organisation,12,"","Jerlun, Kedah",Barisan Nasional,BN
Mohd Johari Baharum,Kedah,Kubang Pasu,http://en.wikipedia.org/wiki/Mohd_Johari_Baharum,UMNO,United Malays National Organisation,12,"","Kubang Pasu, Kedah",Barisan Nasional,BN
Mohd Nasir Zakaria,Kedah,Padang Terap,http://en.wikipedia.org/wiki/Mohd_Nasir_Zakaria,PAS,Pan-Malaysian Islamic Party,12,"","Padang Terap, Kedah",Pakatan Rakyat,PR
Mahfuz Omar,Kedah,Pokok Sena,http://en.wikipedia.org/wiki/Mahfuz_Omar,PAS,Pan-Malaysian Islamic Party,12,"","Pokok Sena, Kedah",Pakatan Rakyat,PR
Chor Chee Heung,Kedah,Alor Setar,http://en.wikipedia.org/wiki/Chor_Chee_Heung,MCA,Malaysian Chinese Association,12,"","Alor Setar, Kedah",Barisan Nasional,BN
Ahmad Kassim,Kedah,Kuala Kedah,http://en.wikipedia.org/wiki/Ahmad_Kassim,PKR,People's Justice Party,12,"","Kuala Kedah, Kedah",Pakatan Rakyat,PR
Mohd Hayati Othman,Kedah,Pendang,http://en.wikipedia.org/wiki/Mohd_Hayati_Othman,PAS,Pan-Malaysian Islamic Party,12,"","Pendang, Kedah",Pakatan Rakyat,PR
Mohd Firdaus Jaafar,Kedah,Jerai,http://en.wikipedia.org/wiki/Mohd_Firdaus_Jaafar,PAS,Pan-Malaysian Islamic Party,12,"","Jerai, Kedah",Pakatan Rakyat,PR
Che Uda Che Nik,Kedah,Sik,http://en.wikipedia.org/wiki/Che_Uda_Che_Nik,PAS,Pan-Malaysian Islamic Party,12,"","Sik, Kedah",Pakatan Rakyat,PR
Rashid Din,Kedah,Merbok,http://en.wikipedia.org/wiki/Rashid_Din,PKR,People's Justice Party,12,"","Merbok, Kedah",Pakatan Rakyat,PR
Johari Abdul,Kedah,Sungai Petani,http://en.wikipedia.org/wiki/Johari_Abdul,PKR,People's Justice Party,12,"","Sungai Petani, Kedah",Pakatan Rakyat,PR
Taib Azamudden Md Taib,Kedah,Baling,http://en.wikipedia.org/wiki/Taib_Azamudden_Md_Taib,PAS,Pan-Malaysian Islamic Party,12,"","Baling, Kedah",Pakatan Rakyat,PR
N Gobalakrishnan,Kedah,Padang Serai,http://en.wikipedia.org/wiki/N_Gobalakrishnan,IND,Independent,12,"","Padang Serai, Kedah",,
