id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
abang_abu_bakar_abang_mustapha,Abang Abu Bakar Abang Mustapha,,,Parti Pesaka Bumiputera Bersatu,PBB,"Kuala Rajang, Sarawak",Dewan Rakyat,9,,,,
abdol_mulok_awang_damit,Abdol Mulok Awang Damit,,,United Malays National Organisation,UMNO,"Labuan, Federal Territory",Dewan Rakyat,9,,,,
abdul_aziz_mohd._yassin,Abdul Aziz Mohd. Yassin,,,United Malays National Organisation,UMNO,"Labuan, Federal Territory",Dewan Rakyat,9,,,,
abdul_daim_zainuddin,Abdul Daim Zainuddin,,,United Malays National Organisation,UMNO,"Merbok, Kedah",Dewan Rakyat,9,,,,
abdul_ghafar_baba,Abdul Ghafar Baba,,,United Malays National Organisation,UMNO,"Jasin, Malacca",Dewan Rakyat,9,,,,
abdul_hadi_awang,Abdul Hadi Awang,,,Pan-Malaysian Islamic Party,PAS,"Marang, Terengganu",Dewan Rakyat,9,,,,
abdul_hamid_abdul_rahman,Abdul Hamid Abdul Rahman,,,United Malays National Organisation,UMNO,"Sungai Benut, Johor",Dewan Rakyat,9,,,,
abdul_hamid_othman,Abdul Hamid Othman,,,United Malays National Organisation,UMNO,"Sik, Kedah",Dewan Rakyat,9,,,,
abdul_kadir_sheikh_fadzir,Abdul Kadir Sheikh Fadzir,,,United Malays National Organisation,UMNO,"Kulim-Bandar Baharu, Kedah",Dewan Rakyat,9,,,,
abdul_rahman_sulaiman,Abdul Rahman Sulaiman,,,United Malays National Organisation,UMNO,"Parit Buntar, Perak",Dewan Rakyat,9,,,,
abdul_taib_mahmud,Abdul Taib Mahmud,,,Parti Pesaka Bumiputera Bersatu,PBB,"Kota Samarahan, Sarawak",Dewan Rakyat,9,,,,
abdullah_ahmad_badawi,Abdullah Ahmad Badawi,,,United Malays National Organisation,UMNO,"Kepala Batas, Penang",Dewan Rakyat,9,,,,
abdullah_fadzil_che_wan,Abdullah Fadzil Che Wan,,,United Malays National Organisation,UMNO,"Bukit Gantang, Perak",Dewan Rakyat,9,,,,
abu_bakar_daud,Abu Bakar Daud,,,United Malays National Organisation,UMNO,"Kuala Terengganu, Terengganu",Dewan Rakyat,9,,,,
abu_bakar_taib,Abu Bakar Taib,,,United Malays National Organisation,UMNO,"Langkawi, Kedah",Dewan Rakyat,9,,,,
abu_seman_yusoff,Abu Seman Yusoff,,,United Malays National Organisation,UMNO,"Alor Gajah, Malacca",Dewan Rakyat,9,,,,
abu_zahar_ujang,Abu Zahar Ujang,,,United Malays National Organisation,UMNO,"Ledang, Johor",Dewan Rakyat,9,,,,
affifudin_omar,Affifudin Omar,,,United Malays National Organisation,UMNO,"Padang Terap, Kedah",Dewan Rakyat,9,,,,
ahmad_husni_hanadzlah,Ahmad Husni Hanadzlah,,,United Malays National Organisation,UMNO,"Tambun, Perak",Dewan Rakyat,9,,,,
ahmad_kamaruzaman_mohamed_baria,Ahmad Kamaruzaman Mohamed Baria,,,United Malays National Organisation,UMNO,"Jerantut, Pahang",Dewan Rakyat,9,,,,
ahmad_rahin_mohd._said,Ahmad Rahin Mohd. Said,,,United Malays National Organisation,UMNO,"Kuala Nerus, Terengganu",Dewan Rakyat,9,,,,
ahmad_zahid_hamidi,Ahmad Zahid Hamidi,,,United Malays National Organisation,UMNO,"Bagan Datok, Perak",Dewan Rakyat,9,,,,
ainon_khairiyah_mohd._abas,Ainon Khairiyah Mohd. Abas,,,United Malays National Organisation,UMNO,"Parit, Perak",Dewan Rakyat,9,,,,
akbarkhan_abdul_rahman,Akbarkhan Abdul Rahman,,,United Malays National Organisation,UMNO,"Libaran, Sabah",Dewan Rakyat,9,,,,
amihamzah_ahmad,Amihamzah Ahmad,,,United Malays National Organisation,UMNO,"Kuantan, Pahang",Dewan Rakyat,9,,,,
amir_kahar_mustapha,Amir Kahar Mustapha,,,Parti Bersatu Sabah,PBS,"Marudu, Sabah",Dewan Rakyat,9,,,,
annuar_musa,Annuar Musa,,,United Malays National Organisation,UMNO,"Ketereh, Kelantan",Dewan Rakyat,9,,,,
anwar_ibrahim,Anwar Ibrahim,,,Independent,IND,"Permatang Pauh, Penang",Dewan Rakyat,9,,,,
asmat_nungka,Asmat Nungka,,,United Malays National Organisation,UMNO,"Kota Samarahan, Sarawak",Dewan Rakyat,9,,,,
azmi_khalid,Azmi Khalid,,,United Malays National Organisation,UMNO,"Padang Besar, Perlis",Dewan Rakyat,9,,,,
badruddin_amiruldin,Badruddin Amiruldin,,,United Malays National Organisation,UMNO,"Sik, Kedah",Dewan Rakyat,9,,,,
badrul_hisham_abdul_aziz,Badrul Hisham Abdul Aziz,,,United Malays National Organisation,UMNO,"Hulu Langat, Selangor",Dewan Rakyat,9,,,,
billy_abit_joo,Billy Abit Joo,,,Parti Bansa Dayak Sarawak,PBDS,"Kapit, Sarawak",Dewan Rakyat,9,,,,
buniyamin_yaakob,Buniyamin Yaakob,,,Pan-Malaysian Islamic Party,PAS,"Kok Lanas, Kelantan",Dewan Rakyat,9,,,,
chan_kong_choy,Chan Kong Choy,,,Malaysian Chinese Association,MCA,"Selayang, Selangor",Dewan Rakyat,9,,,,
chang_kon_you,Chang Kon You,,,Malaysian Chinese Association,MCA,"Ipoh Timor, Perak",Dewan Rakyat,9,,,,
chang_see_tan,Chang See Tan,,,Malaysian Chinese Association,MCA,"Penampang, Sabah",Dewan Rakyat,9,,,,
che_ibrahim_mustafa,Che Ibrahim Mustafa,,,United Malays National Organisation,UMNO,"Sungai Petani, Kedah",Dewan Rakyat,9,,,,
chia_kwang_chye,Chia Kwang Chye,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Bayan Baru, Penang",Dewan Rakyat,9,,,,
chiew_chiu_sing,Chiew Chiu Sing,,,Democratic Action Party,DAP,"Hulu Rajang, Sarawak",Dewan Rakyat,9,,,,
chor_chee_heung,Chor Chee Heung,,,Malaysian Chinese Association,MCA,"Alor Setar, Kedah",Dewan Rakyat,9,,,,
chua_jui_meng,Chua Jui Meng,,,Malaysian Chinese Association,MCA,"Bakri, Johor",Dewan Rakyat,9,,,,
chua_soon_bui,Chua Soon Bui,,,Sabah Progressive Party,SAPP,"Paloh, Sarawak",Dewan Rakyat,9,,,,
daeng_sanusi_daeng_mariok,Daeng Sanusi Daeng Mariok,,,Pan-Malaysian Islamic Party,PAS,"Rantau Panjang, Kelantan",Dewan Rakyat,9,,,,
donald_lim_siang_chai,Donald Lim Siang Chai,,,Malaysian Chinese Association,MCA,"Petaling Jaya Selatan, Selangor",Dewan Rakyat,9,,,,
douglas_uggah_embas,Douglas Uggah Embas,,,Parti Pesaka Bumiputera Bersatu,PBB,"Beaufort, Sabah",Dewan Rakyat,9,,,,
fauzi_abdul_rahman,Fauzi Abdul Rahman,,,United Malays National Organisation,UMNO,"Cameron Highlands, Pahang",Dewan Rakyat,9,,,,
fong_chan_onn,Fong Chan Onn,,,Malaysian Chinese Association,MCA,"Selandar, Malacca",Dewan Rakyat,9,,,,
fu_ah_kiow,Fu Ah Kiow,,,Malaysian Chinese Association,MCA,"Indera Mahkota, Pahang",Dewan Rakyat,9,,,,
g._leelavathi,G. Leelavathi,,,Malaysian Indian Congress,MIC,"Kapar, Selangor",Dewan Rakyat,9,,,,
goh_cheng_teik,Goh Cheng Teik,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Nibong Tebal, Penang",Dewan Rakyat,9,,,,
hamzah_ramli,Hamzah Ramli,,,United Malays National Organisation,UMNO,"Masjid Tanah, Malacca",Dewan Rakyat,9,,,,
hanafi_ramli,Hanafi Ramli,,,United Malays National Organisation,UMNO,"Jerlun, Kedah",Dewan Rakyat,9,,,,
hashim_ismail,Hashim Ismail,,,United Malays National Organisation,UMNO,"Sungai Benut, Johor",Dewan Rakyat,9,,,,
hashim_jasin,Hashim Jasin,,,Pan-Malaysian Islamic Party,PAS,"Arau, Perlis",Dewan Rakyat,9,,,,
henrynus_amin,Henrynus Amin,,,Parti Bersatu Sabah,PBS,"Kinabalu, Sabah",Dewan Rakyat,9,,,,
hew_see_tong,Hew See Tong,,,Malaysian Chinese Association,MCA,"Kampar, Perak",Dewan Rakyat,9,,,,
hishammuddin_hussein,Hishammuddin Hussein,,,United Malays National Organisation,UMNO,"Tangga Batu, Malacca",Dewan Rakyat,9,,,,
ho_cheong_sing,Ho Cheong Sing,,,Malaysian Chinese Association,MCA,"Ipoh Barat, Perak",Dewan Rakyat,9,,,,
hon_choon_kim,Hon Choon Kim,,,Malaysian Chinese Association,MCA,"Pagoh, Johor",Dewan Rakyat,9,,,,
hoo_seong_chang,Hoo Seong Chang,,,Malaysian Chinese Association,MCA,"Rasah, Negeri Sembilan",Dewan Rakyat,9,,,,
ibrahim_mahmood,Ibrahim Mahmood,,,Pan-Malaysian Islamic Party,PAS,"Kuala Krai, Kelantan",Dewan Rakyat,9,,,,
ibrahim_pateh_mohammad,Ibrahim Pateh Mohammad,,,Semangat 46,S46,"Machang, Kelantan",Dewan Rakyat,9,,,,
ibrahim_saad,Ibrahim Saad,,,United Malays National Organisation,UMNO,"Bukit Mertajam, Penang",Dewan Rakyat,9,,,,
idris_jusoh,Idris Jusoh,,,United Malays National Organisation,UMNO,"Kuala Terengganu, Terengganu",Dewan Rakyat,9,,,,
ilani_isahak,Ilani Isahak,,,Semangat 46,S46,"Rantau Panjang, Kelantan",Dewan Rakyat,9,,,,
jacob_dungau_sagan,Jacob Dungau Sagan,,,Sarawak United Party,SNAP,"Kalabakan, Sabah",Dewan Rakyat,9,,,,
jamaluddin_adnan,Jamaluddin Adnan,,,United Malays National Organisation,UMNO,"Kuala Selangor, Selangor",Dewan Rakyat,9,,,,
