name,wikipedia__en,state,party,term,holder,source
Rocío Abreu Artiñano,Rocío Abreu Artiñano,Campeche,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Hugo Jarquín,Hugo Jarquín,Oaxaca,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rafael Acosta Croda,Rafael Acosta Croda,Veracruz,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Blanca Jiménez Castillo,Blanca Jiménez Castillo,Puebla,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Miguel Ángel Aguayo,Miguel Ángel Aguayo,Colima,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Teresa Jiménez Esquivel,María Teresa Jiménez Esquivel,Aguascalientes,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Claudia Elena Aguila,Claudia Elena Aguila,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Víctor Manuel Jorrín,Víctor Manuel Jorrín,Guerrero,MC,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marcos Aguilar Vega,Marcos Aguilar Vega,Querétaro,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Salomón Juan Marcos Issa,Salomón Juan Marcos Issa,Coahuila,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Aleida Alavez Ruiz,Aleida Alavez Ruiz,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Raymundo King,Raymundo King,Quintana Roo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Leobardo Alcalá,Leobardo Alcalá,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Fernando Larrazábal Bretón,Fernando Larrazábal Bretón,Nuevo León,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Edilberto Algredo Jaramillo,Edilberto Algredo Jaramillo,Tlaxcala,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gerardo Liceaga Arteaga,Gerardo Liceaga Arteaga,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Isabel Allende Cano,Isabel Allende Cano,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Alejandro Llanas,José Alejandro Llanas,Tamaulipas,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Felipe de Jesús Almaguer,Felipe de Jesús Almaguer,San Luis Potosí,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jaime Chris López,Jaime Chris López,Baja California,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Humberto Alonso Morelli,Humberto Alonso Morelli,Veracruz,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Arturo López Cándido,José Arturo López Cándido,Federal District,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Brenda María Alvarado Sánchez,Brenda María Alvarado Sánchez,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Martín López Cisneros,José Martín López Cisneros,Nuevo León,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María de Lourdes Amaya,María de Lourdes Amaya,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
