name,id
Agache Angel,294
Andronachi Vladimir,598
Apolschii Raisa,297
Apostol Ion,37
Balan Ion,38
Balmoş Galina,27
Bannicov Alexandr,298
Batrîncea Vlad,535
Bodnarenco Elena,25
Bolea Vasile,537
Botnari Constantin,538
Brega Gheorghe,31
Buliga Valentina,330
Candu Andrian,304
Caraseni Demian,539
Carp Lilian,540
Carpov Eugen,541
Casian Ion,600
Ceban Ion,389
Cernat Vladimir,601
Chirinciuc Iurie,542
Ciobanu Maria,305
Cobzac Grigore,277
Corman Igor,33
Creangă Ştefan,544
Deliu Tudor,78
Diacov Dumitru,23
Dimitriu Anatolie,306
Dodon Igor,34
Dolinţă Alla,546
Domenti Oxana,67
Dudoglo Nicolai,547
Dîrda Iurie,545
Filat Vladimir,331
Furculiţă Corneliu,548
Fusu Corina,21
Gagauz Fiodor,549
Ghileţchi Valeriu,85
Ghimpu Mihai,10
Golovatiuc Vladimir,551
Golovin Boris,552
Gorilă Anatolie,310
Goța Aliona,593
Greceanîi Zinaida,106
Gudumac Elena,611
Hotineanu Vladimir,332
Hrenova Elena,554
Iacob Mihaela,599
Ivanov Violeta,99
Juravschi Nicolae,311
Labuneţ Anatolie,555
Leancă Iurie,334
Lipskii Oleg,556
Lucinschi Chiril,312
Lupu Lidia,557
Lupu Marian,52
Mihalache Corneliu,558
Mitriuc Ghenadi,559
Mocanu Gheorghe,314
Molozea Nicolae,597
Mudreac Radu,560
Munteanu Valeriu,87
Mîndru Victor,97
Neguţa Andrei,561
Nesterovschi Alexandr,569
Nichiforciuc Eugeniu,596
Novac Grigore,562
Odnostalco Vladimir,563
Padnevici Corneliu,626
Palihovici Liliana,49
Panciuc Vasilii,315
Pistrinciuc Vadim,564
Plahotniuc Vladimir,317
Porcescu Petru,69
Postoico Maria,292
Radvan Marina,565
Reidman Oleg,64
Reşetnicov Artur,322
Roşca Victor,566
Răducan Marcel,335
Savva Oleg,568
Smirnov Eduard,570
Sorocean Victor,571
Spatari Mihaela,572
Stati Sergiu,325
Stratan Valentina,84
Streleţ Valeriu,89
Sîrbu Oleg,66
Sîrbu Serghei,323
Untila Veaceslav,95
Vitiuc Vladimir,103
Voronin Vladimir,104
Vremea Igor,35
Zagorodnîi Anatolie,15
Şalaru Anatolie,531
Ştirbate Petru,326
Şupac Inna,36
Ţap Iurie,46
Ţurcan Vladimir,102
Ţuţu Constantin,573
Ţîrdea Bogdat,574
