name,id
Agilapyn Bakei,agilapyn_bakei
Almalikyn Tleikhan,almalikyn_tleikhan
Badmaanyambuugiin Bat-Erdene,badmaanyambuugiin_bat-erdene
Batjargalyn Batbayar,batjargalyn_batbayar
Batkhüügiin Garamgaibaatar,batkhüügiin_garamgaibaatar
Batsükhiin Narankhüü,batsükhiin_narankhüü
Battogtokhyn Choijilsüren,battogtokhyn_choijilsüren
Bayarbaataryn Bolor,bayarbaataryn_bolor
Chimediin Khürelbaatar,chimediin_khürelbaatar
Chimediin Saikhanbileg,chimediin_saikhanbileg
Chültemiin Ulaan,chültemiin_ulaan
Dagvadorjiin Ochirbat,dagvadorjiin_ochirbat
Damdingiin Demberel,damdingiin_demberel
Damdingiin Khayankhyarvaa,damdingiin_khayankhyarvaa
Damdiny Demberel,damdiny_demberel
Damdiny Khayankhyarvaa,damdiny_khayankhyarvaa
Dangaasurengiin Enkhbat,dangaasurengiin_enkhbat
Danzangiin Lündeejantsan,danzangiin_lündeejantsan
Dashdembereliin Bat-Erdene,dashdembereliin_bat-erdene
Dashdondogiin Ganbat,dashdondogiin_ganbat
Dashdorjiin Zorigt,dashdorjiin_zorigt
Dashjamtsyn Arvin,dashjamtsyn_arvin
Dashzevegiin Zorigt,dashzevegiin_zorigt
Davaagiin Batbayar,davaagiin_batbayar
Davaajavyn Gankhuyag,davaajavyn_gankhuyag
Delegiin Zagdjav,delegiin_zagdjav
Dendeviin Terbishdagva,dendeviin_terbishdagva
Dogsomjavyn Baldan-Ochir,dogsomjavyn_baldan-ochir
Dogsomyn Battsogt,dogsomyn_battsogt
Dolgorsürengiin Sumyaabazar,dolgorsürengiin_sumyaabazar
Doltsongiin Dondog,doltsongiin_dondog
Dondogdorjiin Erdenebat,dondogdorjiin_erdenebat
Dorjdambyn Damba-Ochir,dorjdambyn_damba-ochir
Dorjiin Odbayar,dorjiin_odbayar
Dulamsürengiin Oyuunkhorol,dulamsürengiin_oyuunkhorol
Dürzeegiin Odkhüü,dürzeegiin_odkhüü
Enebishiin Mönkh-Ochir,enebishiin_mönkh-ochir
Erdeniin Bat-Uul,erdeniin_bat-uul
Gantömöriin Uyanga,gantömöriin_uyanga
Garidkhüügiin Bayarsaikhan,garidkhüügiin_bayarsaikhan
Gavaagiin Batkhüü,gavaagiin_batkhüü
Gombojavyn Zandanshatar,gombojavyn_zandanshatar
Jadambyn Enkhbayar,jadambyn_enkhbayar
Jalbasürengiin Batzandan,jalbasürengiin_batzandan
Jamyankhorloogiin Sükhbaatar,jamyankhorloogiin_sükhbaatar
Jamyansürengiin Batsuuri,jamyansürengiin_batsuuri
Jargaltulgyn Erdenebat,jargaltulgyn_erdenebat
Khalidoldain Jekei,khalidoldain_jekei
Khaltmaagiin Battulga,khaltmaagiin_battulga
Khalzkhüügiin Narankhüü,khalzkhüügiin_narankhüü
Khavdislamyn Badyelkhan,khavdislamyn_badyelkhan
Khayangaagiin Bolorchuluun,khayangaagiin_bolorchuluun
Khishigdembereliin Temüüjin,khishigdembereliin_temüüjin
Khookhoryn Badamsüren,khookhoryn_badamsüren
Lamjavyn Gundalai,lamjavyn_gundalai
Logiin Tsog,logiin_tsog
Luvsangiin Erdenechimeg,luvsangiin_erdenechimeg
Luvsannyamyn Gantömör,luvsannyamyn_gantömör
Luvsantserengiin Enkh-Amgalan,luvsantserengiin_enkh-amgalan
Luvsanvandangiin Bold,luvsanvandangiin_bold
Lüimediin Gansükh,lüimediin_gansükh
Migeddorjiin Batchimeg,migeddorjiin_batchimeg
Mishigiin Sonompil,mishigiin_sonompil
Miyeegombyn Enkhbold,miyeegombyn_enkhbold
Miyegombyn Enkhbold,miyegombyn_enkhbold
Mönkhchuluuny Zorigt,mönkhchuluuny_zorigt
Namdagiin Battsereg,namdagiin_battsereg
Navaansamdangiin Ganbyamba,navaansamdangiin_ganbyamba
Norovyn Altankhuyag,norovyn_altankhuyag
Nyamaagiin Enkhbold,nyamaagiin_enkhbold
Nyamjavyn Batbayar,nyamjavyn_batbayar
Nyamtaishirgiin Nomtoibayar,nyamtaishirgiin_nomtoibayar
Ochirbatyn Chuluunbat,ochirbatyn_chuluunbat
Oktyabriin Baasankhüü,oktyabriin_baasankhüü
Otgonbilegiin Sodbileg,otgonbilegiin_sodbileg
Püreviin Altangerel,püreviin_altangerel
Radnaabazaryn Rash,radnaabazaryn_rash
Radnaagiin Burmaa,radnaagiin_burmaa
Radnaasümbereliin Gonchigdorj,radnaasümbereliin_gonchigdorj
Rentsengiin Bud,rentsengiin_bud
Rinchinnyamyn Amarjargal,rinchinnyamyn_amarjargal
Sainkhüügiin Ganbaatar,sainkhüügiin_ganbaatar
Saldangiin Odontuyaa,saldangiin_odontuyaa
Sambuugiin Demberel,sambuugiin_demberel
Sambuugiin Lambaa,sambuugiin_lambaa
Sandagiin Byambatsogt,sandagiin_byambatsogt
Sangajavyn Bayartsogt,sangajavyn_bayartsogt
Sangajavyn Bayarzsogt,sangajavyn_bayarzsogt
Sanjaagiin Bayar,sanjaagiin_bayar
Sanjaasürengiin Oyuun,sanjaasürengiin_oyuun
Sharavdorjiin Tüvdendorj,sharavdorjiin_tüvdendorj
Shinensambuugiin Saikhansambuu,shinensambuugiin_saikhansambuu
Sodnomzunduin Erdene,sodnomzunduin_erdene
Sunduin Batbold,sunduin_batbold
Sükhbaataryn Batbold,sükhbaataryn_batbold
Tsakhiagiin Elbegdorj,tsakhiagiin_elbegdorj
Tsedevdambyn Oyuungerel,tsedevdambyn_oyuungerel
Tsedeviin Dashdorj,tsedeviin_dashdorj
Tsegmidiin Tsengel,tsegmidiin_tsengel
Tsendiin Mönkh-Orgil,tsendiin_mönkh-orgil
Tsendiin Nyamdorj,tsendiin_nyamdorj
Tsendiin Shinebayar,tsendiin_shinebayar
Tserenbatyn Sedvanchig,tserenbatyn_sedvanchig
Tserendashiin Oyuunbaatar,tserendashiin_oyuunbaatar
Tserendashiin Tsolmon,tserendashiin_tsolmon
Tserenpiliin Davaasüren,tserenpiliin_davaasüren
Tsevelmaagiin Bayarsaikhan,tsevelmaagiin_bayarsaikhan
Tsogtyn Batbayar,tsogtyn_batbayar
Ukhnaagiin Xürelsükh,ukhnaagiin_xürelsükh
Yadamsürengiin Sanjmyatav,yadamsürengiin_sanjmyatav
Yaichiliin Batsuuri,yaichiliin_batsuuri
Yangugiin Sodbaatar,yangugiin_sodbaatar
Yondongiin Otgonbayar,yondongiin_otgonbayar
Zandaakhüügiin Enkhbold,zandaakhüügiin_enkhbold
Zangadyn Bayanselenge,zangadyn_bayanselenge
Zorigiin Altai,zorigiin_altai
Ölziisaikhany Enkhtüvshin,Ölziisaikhany_enkhtüvshin
