name,id
Agnes G Wolbert,wolbert-ag-pvda
Agnes H Mulder,mulder-ah-cda
Agnes Mulder,mulder-ah-cda
Agnes Wolbert,wolbert-ag-pvda
Ahmed Marcouch,marcouch-pvda
Albert A de Vries,vries-aa-de-pvda
Albert de Vries,vries-aa-de-pvda
Alexander Pechtold,pechtold-d66
André Bosman,bosman-vvd
Angelien Eijsink,eijsink-amc-pvda
Angelien M C Eijsink,eijsink-amc-pvda
Anne Mulder,mulder-vvd
Anne-Wil Lucas,lucas-aw-vvd
Anne-Wil Lucas-Smeerdijk,lucas-aw-vvd
Anne-Wil W Lucas,lucas-aw-vvd
Anouchka van Miltenburg,miltenburg-van-vvd
Anoushka Schut-Welkzijn,schut-welkzijn-vvd
Arie Slob,slob-cu
Arno C L Rutte,rutte-acl-vvd
Arno Rutte,rutte-acl-vvd
Arnold Merkies,merkies-az-sp
Arnold Z Merkies,merkies-az-sp
Astrid F A Oosenbrug,oosenbrug-rfa-pvda
Astrid Oosenbrug,oosenbrug-rfa-pvda
Attje H Kuiken,kuiken-ah-pvda
Attje Kuiken,kuiken-ah-pvda
Aukje de Vries,vries-de-vvd
Barbara Visser,visser-b-vvd
Barry Madlener,madlener-b-pvv
Bart C de Liefde,liefde-bc-de-vvd
Bart de Liefde,liefde-bc-de-vvd
Bas van 't Wout,wout-b-van-t-vvd
Betty G de Boer,boer-bg-de-vvd
Betty de Boer,boer-bg-de-vvd
Brigitte I van der Burg,burg-bi-van-der-vvd
Brigitte van der Burg,burg-bi-van-der-vvd
Carla Dik-Faber,dik-faber-rk-cu
Carla K Dik-Faber,dik-faber-rk-cu
Carola J Schouten,schouten-cj-cu
Carola Schouten,schouten-cj-cu
Chantal N A Nijkerken-de Haan,nijkerken-de-haan-cna-vvd
Chantal Nijkerken-de Haan,nijkerken-de-haan-cna-vvd
Diederik M Samsom,samsom-dm-pvda
Diederik Samsom,samsom-dm-pvda
Dion Graus,graus-djg-pvv
Dion J G Graus,graus-djg-pvv
Duco Hoogland,hoogland-d-pvda
Ed A Groot,groot-va-pvda
Ed Groot,groot-va-pvda
Elbert Dijkgraaf,dijkgraaf-e-sgp
Emile G M Roemer,roemer-egm-sp
Emile Roemer,roemer-egm-sp
Eric M A Smaling,smaling-ema-sp
Eric Smaling,smaling-ema-sp
Erik A G Ronnes,ronnes-hag-cda
Erik Ronnes,ronnes-hag-cda
Erik Ziengs,ziengs-e-vvd
Esther Ouwehand,ouwehand-e-pvdd
Farshad Bashir,bashir-f-sp
Fatma Koşer Kaya,ko%C5%9Fer-kaya-f-d66
Fleur Agema,agema-m-pvv
Foort van Oosten,oosten-f-van-vvd
Fred Teeven,teeven-f-vvd
Geert Wilders,wilders-g-pvv
Gert-Jan J M Segers,segers-gjm-cu
Gert-Jan Segers,segers-gjm-cu
Grace S I A Tanamal,tanamal-gsia-pvda
Grace Tanamal,tanamal-gsia-pvda
Halbe Zijlstra,zijlstra-h-vvd
Han H ten Broeke,broeke-jh-ten-vvd
Han ten Broeke,broeke-jh-ten-vvd
Hanke Bruins Slot,bruins-slot-hgj-cda
Hanke G J Bruins Slot,bruins-slot-hgj-cda
Harm Beertema,beertema-hj-pvv
Harm J Beertema,beertema-hj-pvv
Harry van Bommel,bommel-h-van-sp
Hayke S Veldman,veldman-hs-vvd
Hayke Veldman,veldman-hs-vvd
Helma J H Lodders,lodders-wjh-vvd
Helma Lodders,lodders-wjh-vvd
Helma Neppérus,nepp%C3%A9rus-h-vvd
Henk C M Krol,krol-hcm-50plus
Henk J M Leenders,leenders-hjm-pvda
Henk Leenders,leenders-hjm-pvda
Henk Nijboer,nijboer-h-pvda
Henk P J van Gerven,gerven-hpj-van-sp
Henk van Gerven,gerven-hpj-van-sp
Ingrid S H de Caluwé,caluw%C3%A9-ish-de-vvd
Ingrid de Caluwé,caluw%C3%A9-ish-de-vvd
Jaco Geurts,geurts-jl-cda
Jaco L Geurts,geurts-jl-cda
Jacques Monasch,monasch-js-pvda
Jacques S Monasch,monasch-js-pvda
Jan C Vos,vos-jc-pvda
Jan Vos,vos-jc-pvda
Jasper J van Dijk,dijk-jj-van-sp
Jasper van Dijk,dijk-jj-van-sp
Jeroen Recourt,recourt-j-pvda
Jeroen Van Wijngaarden,wijngaarden-j-van-vvd
Jesse F Klaver,klaver-jf-gl
Jesse Klaver,klaver-jf-gl
Johan Houwers,houwers-j-houwers
John Kerstens,kerstens-jwm-pvda
John W M Kerstens,kerstens-jwm-pvda
Joost Taverne,taverne-j-vvd
Joram J van Klaveren,klaveren-jj-van-grbvk
Joram van Klaveren,klaveren-jj-van-grbvk
Joyce G P Vermue,vermue-jgp-pvda
Joyce Vermue,vermue-jgp-pvda
Joël S Voordewind,voordewind-js-cu
Joël Voordewind,voordewind-js-cu
Karin C J Straus,straus-kcj-vvd
Karin Straus,straus-kcj-vvd
Kees G van der Staaij,staaij-cg-van-der-sgp
