incoming_name,existing_name,id,confidence
Vera Bergkamp,Vera A Bergkamp,bergkamp-va-d66,100.0
Steven van Weyenberg,Steven P R A van Weyenberg,weyenberg-spra-van-d66,100.0
Rik Grashoff,Rik J Grashoff,grashoff-hj-gl,100.0
Pia Dijkstra,Pia A Dijkstra,dijkstra-pa-d66,100.0
Paul van Meenen,Paul H van Meenen,meenen-ph-van-d66,100.0
Linda Voortman,Linda G J Voortman,voortman-lgj-gl,100.0
Kees van der Staaij,Kees G van der Staaij,staaij-cg-van-der-sgp,100.0
Joël Voordewind,Joël S Voordewind,voordewind-js-cu,100.0
Jesse Klaver,Jesse F Klaver,klaver-jf-gl,100.0
Gert-Jan Segers,Gert-Jan J M Segers,segers-gjm-cu,100.0
Arno Rutte,Arno C L Rutte,rutte-acl-vvd,100.0
Carola Schouten,Carola J Schouten,schouten-cj-cu,100.0
Carla Dik-Faber,Carla K Dik-Faber,dik-faber-rk-cu,100.0
Tjitske Siderius,Tjitske E Siderius,siderius-te-sp,100.0
Bart de Liefde,Bart C de Liefde,liefde-bc-de-vvd,100.0
Sietse Fritsma,Sietse R Fritsma,fritsma-sr-pvv,100.0
Sharon Gesthuizen,Sharon M J G Gesthuizen,gesthuizen-smjg-sp,100.0
Ronald van Raak,Ronald A G M van Raak,raak-aagm-van-sp,100.0
Roland van Vliet,Roland A van Vliet,vliet-ra-van-van-vliet,100.0
Renske Leijten,Renske M Leijten,leijten-rm-sp,100.0
Reinette Klever,Reinette J Klever,klever-rj-pvv,100.0
Raymond Knops,Raymond W Knops,knops-rw-cda,100.0
Pieter Omtzigt,Pieter H Omtzigt,omtzigt-ph-cda,100.0
Pieter Heerma,Pieter E Heerma,heerma-pe-cda,100.0
Pieter Duisenberg,Pieter J Duisenberg,duisenberg-pj-vvd,100.0
Nine Kooiman,Nine J E Kooiman,kooiman-cje-sp,100.0
Mona Keijzer,Mona C G Keijzer,keijzer-mcg-cda,100.0
Michel Rog,Michel R J Rog,rog-mrj-cda,100.0
