name,id
Adrian Rurawhe,51MP3481
Alastair Scott,51MP3491
Alfred Ngaro,51MP3291
Amy Adams,51MP2691
Andrew Bayly,51MP3501
Andrew Little,51MP3181
Annette King,51MP581
Barbara Kuriger,51MP3511
Barbara Stewart,51MP2211
Bill English,51MP321
Brett Hudson,51MP3521
Carmel Sepuloni,51MP2971
Catherine Delahunty,51MP3001
Chris Bishop,51MP3531
Chris Hipkins,51MP2871
Clare Curran,51MP2711
Clayton Cosgrove,51MP1591
Clayton Mitchell,51MP3541
Craig Foss,51MP2401
Damien O'Connor,51MP831
Darroch Ball,51MP3551
David Bennett,51MP2331
David Carter,51MP171
David Clark,51MP3141
David Clendon,51MP3061
David Cunliffe,51MP1601
David Parker,51MP2151
David Seymour,51MP3441
David Shearer,51MP3051
Denis O’Rourke,51MP3311
Denise Roche,51MP3231
Eugenie Sage,51MP3251
Fletcher Tabuteau,51MP3561
Gareth Hughes,51MP3071
Gerry Brownlee,51MP141
Grant Robertson,51MP2811
Hekia Parata,51MP2941
Hon Anne Tolley,51MP1811
Hon Chester Borrows,51MP2421
Hon Christopher Finlayson,51MP2541
Iain Lees-Galloway,51MP2751
Ian McKelvie,51MP3271
Jacinda Ardern,51MP3011
Jacqui Dean,51MP2371
James Shaw,51MP3571
Jami-Lee Ross,51MP3101
Jan Logie,51MP3191
Jenny Salesa,51MP3581
Jian Yang,51MP3361
Jo Goodhew,51MP2321
Joanne Hayes,51MP3411
John Key,51MP2111
Jonathan Coleman,51MP2361
Jonathan Young,51MP2791
Jono Naylor,51MP3591
Judith Collins,51MP2021
Julie Anne Genter,51MP3151
Kanwaljit Singh Bakshi,51MP2831
Kelvin Davis,51MP3431
Kennedy Graham,51MP3031
Kevin Hague,51MP2901
Kris Faafoi,51MP3091
Lindsay Tisch,51MP1801
Louisa Wall,51MP2651
Louise Upston,51MP2781
Maggie Barry,51MP3121
Mahesh Bindra,51MP3601
Marama Fox,51MP3451
Mark Mitchell,51MP3281
Matt Doocey,51MP3611
Maurice Willamson,51MP1151
Megan Woods,51MP3351
Meka Whaitiri,51MP3401
Melissa Lee,51MP2741
Metiria Turei,51MP2221
Michael Woodhouse,51MP2991
Mojo Mathers,51MP3261
Murray McCully,51MP731
Nanaia Mahuta,51MP661
Nathan Guy,51MP2561
Nick Smith,51MP1021
Nicky Wagner,51MP2571
Nikki Kaye,51MP2731
Nuk Korako,51MP3621
Parmjeet Parmar,51MP3661
Paul Foster-Bell,51MP3381
Paul Goldsmith,51MP3161
Paula Bennett,51MP2511
Peeni Henare,51MP3461
Peseta Sam Lotu-Iiga,51MP2761
Peter Dunne,51MP271
Phil Goff,51MP381
Phil Twyford,51MP2981
Pita Paraone,51MP2141
Poto Williams,51MP3421
Ria Bond,51MP3681
Richard Prosser,51MP3221
Rino Tirikatene,51MP3371
Ron Mark,51MP691
Russel Norman,51MP2671
Ruth Dyson,51MP291
Sarah Dowie,51MP3631
Scott Simpson,51MP3321
Shane Reti,51MP3671
Simon Bridges,51MP2701
Simon O'Connor,51MP3301
Steffan Browning,51MP3131
Steven Joyce,51MP2681
Stuart Nash,51MP2931
Stuart Smith,51MP3641
Sue Moroney,51MP2481
Su’a William Sio,51MP2661
Te Ururoa Flavell,51MP2451
Tim Groser,51MP2551
Tim Macindoe,51MP2921
Todd Barclay,51MP3471
Todd McClay,51MP2801
Todd Muller,51MP3651
Tracey Martin,51MP3211
Trevor Mallard,51MP671
Winston Peters,51MP861
