name,group,group_id,gender,term,source
DJIBO ATTININE,ANDP Zaman-Lahiya,178:groupeandp,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=178%3Agroupeandp&catid=69%3Ales-groupesparlementaires&Itemid=154
GARBA AMADOU,ANDP Zaman-Lahiya,178:groupeandp,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=178%3Agroupeandp&catid=69%3Ales-groupesparlementaires&Itemid=154
ILLA OUSMANE,ANDP Zaman-Lahiya,178:groupeandp,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=178%3Agroupeandp&catid=69%3Ales-groupesparlementaires&Itemid=154
MAHAMAN LAOUALI GONDA,ANDP Zaman-Lahiya,178:groupeandp,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=178%3Agroupeandp&catid=69%3Ales-groupesparlementaires&Itemid=154
MAHAMAN SANI AMADOU,ANDP Zaman-Lahiya,178:groupeandp,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=178%3Agroupeandp&catid=69%3Ales-groupesparlementaires&Itemid=154
MOUSSABAHOU MOUSSA,ANDP Zaman-Lahiya,178:groupeandp,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=178%3Agroupeandp&catid=69%3Ales-groupesparlementaires&Itemid=154
NANA MARIAMA ELH AMADOU,ANDP Zaman-Lahiya,178:groupeandp,female,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=178%3Agroupeandp&catid=69%3Ales-groupesparlementaires&Itemid=154
SANI OUSMANE DIT DAN DIDJE,ANDP Zaman-Lahiya,178:groupeandp,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=178%3Agroupeandp&catid=69%3Ales-groupesparlementaires&Itemid=154
ABDOULKADRI TIDJANI,ARN,182:groupearn,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=182%3Agroupearn&catid=69%3Ales-groupesparlementaires&Itemid=154
AHMOUDOU MOHAMED,ARN,182:groupearn,male,7.1,http://www.assemblee.ne/index.php?option=com_content&view=article&id=182%3Agroupearn&catid=69%3Ales-groupesparlementaires&Itemid=154
