name,id
ABDUKADIR RAHIS,546
ABDUL-MALIC ZUBAIRU,581
ABDULAHI FARUK,685
ABDULLAHI HASSAN,733
ABDULLAHI MOHAMMED,921
ABDULMUMIN JIBRIN,923
ABDULRAZAK NAMDAS,723
ABDUSSAMAD DASUKI,932
ABUBAKAR AMUDA-KANNIKE,598
ABUBAKAR DAHIRU,586
ABUBAKAR LADO,656
ABUBAKAR LAWAL,642
ACHARU OCHIJENU,504
ADAMU GURAI,900
ADAMU JAGABA,797
ADAMU KAMALE,903
ADAMU MUHAMMADU,687
ADAMU SALIHU,788
ADEBUTU OLADIPUPO,674
ADEDAPO LAM-ADESINA,795
ADEKOYA ADESSEGUN,703
ADEKUNLE AKINLADE,623
ADEYEMI ADEPOJU,782
ADO ALHASSAN,917
ADO MUSA,553
AGBEDI YEITIEMONE,680
AHMAD BABBA,913
AHMED ABU,865
AHMED RUFAI,460
AHMED YERIMA,587
AINA THADDEUS,696
AISHATU DUKKU,579
AISOWTEREN PATRICK,898
AJA SAMSON,773
AJANAH KABIR,861
AJAYI ADEYIMKA,560
AJAYI AYANTUNJI,363
AJIBOLA FAMUREWA,799
AJISAFE OLOWOOKERE,754
AKINJO VICTOR,790
AKINLAJA JOSEPH,791
AKINLOYE BABAJIDE,342
AKINTOLA TAIWO,722
ALABI MOJEED,743
ALAGBAOSO JERRY,746
ALBERT ADEOGUN,934
ALIYU AHMAN-PATEGI,558
ALIYU DANLADI,732
ALIYU MADAKI,700
AMINU ASHIRU,563
AMINU ISA,702
AMINU SHAGARI,920
AMIRUDDIN TUKUR,730
ANAYO NNEBE,594
ASABE BASHIR,692
AWAJI-INOMBEK AIANTE,836
AYEOLA ABAYOMI,576
AYI EKPEYONG,192
AYO OMIDIRAN,662
AYUBA BADAMASI,649
AZUBOGU IFEANYI,85
Abdullahi Garba,778
Abdullahi Mahmud,569
Adabah Christian,950
Adewale Oluwatayo,915
Agom Jarigbe,535
Akinyele Awodumila,747
Angulu Zakari,960
Ayodeji Joseph,562
BABANGIDA IBRAHIM,711
BABATUNDE KOLAWOLE,751
BADERINWA BAMIDELE WHITE,632
BALA YUSUF,613
BALARABE ABDULLAHI,957
BASHIR BABALE,931
BASSEY EWAH,796
BELLO ABDULLAHI,664
BELLO SANI,853
BENI LAR,544
BINTA BELLO,539
BOLAJI AYINLA,801
BROWN ONYERE,896
BULUS SOLOMON,786
BUSAYO OKE,567
CHIDOKA OBINNA,609
CHUKWUEMEKA ANOHU,571
CHUKWUKA ONYEMA,636
CHUKWUKERE AUSTINE,659
Chukwuma Nwazunku,951
DA'U MAGAJI,845
DANBURAM NUHU,603
DAUDA KAKO ARE,580
DAVEMATICS OMBUGADU,638
DEKOR DUMNAMENE,538
DENNIS AMADI,534
DOGARA YAKUBU,554
DOUYE DIRI,719
Danladi Baido,958
Darlington Nwokocha,605
Dennis Agbo,635
EAMMANUEL EKON,524
EBENYI KINGSLEY,673
EDERIN IDISI,755
EDIM ETA,653
EDWIN ANAYO,615
EFFIONG DANIEL,829
EGWU EMMANUEL,694
EMERENGWA BONIFACE,631
EMMANUEL UKOETE,840
ENITAN BADRU,710
EVELYN OMAVOWAN,518
Emeka Idu,949
Emmanuel Akpan,709
Eucharia Okwunna,785
FAKEYE OLUFEMI,787
