name,id
Bill Vakaafi Motufoou,bill_vakaafi_motufoou
Billy Graham Talagi,billy_graham_talagi
Crossley Tatui,crossley_tatui
Dalton Tagelagi,dalton_tagelagi
Dion Paki Taufitu,dion_paki_taufitu
Fisa Igilisi Pihigia,fisa_igilisi_pihigia
"Jack Willie Lipitoa, QSM","jack_willie_lipitoa,_qsm"
Joan Sisiata Tahafa Viliamu,joan_sisiata_tahafa_viliamu
Kupa Magatogia,kupa_magatogia
Mititaiagimene Young Vivian,mititaiagimene_young_vivian
Opili Talafasi,opili_talafasi
Peter Andrew Funaki,peter_andrew_funaki
Pokotoa Sipeli,pokotoa_sipeli
Stanley Atuvaha Kalauni,stanley_atuvaha_kalauni
Talaititama Talaiti,talaititama_talaiti
Terry Donald Coe,terry_donald_coe
Tofua Puletama,tofua_puletama
Togia Likalika Sioneholo,togia_likalika_sioneholo
Toke Tufukia Talagi,toke_tufukia_talagi
Va’aiga Tukuitoga,va’aiga_tukuitoga
