name,wikiname,group,area,term,source,id,name__tr,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,image
Sibel Siber,Sibel Siber,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q14330482,Sibel Siber,Sibel Siber,Sibel Siber,Sibel Siber,female,1960-01-01,Sibel,/m/0wfz7wy,https://upload.wikimedia.org/wikipedia/commons/4/42/Sibel_Siber_(cropped).jpg
Tufan Erhürman,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Özdil Nami,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q6065323,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,male,1954-01-01,,,
Ahmet Gülle,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Birikim Özgür,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Doğuş Derya,Doğuş Derya,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q20090577,,"",Doğuş Derya,Doğuş Derya,female,,,,
Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q2388336,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,male,1953-01-01,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Tahsin_Ertuğruloğlu.jpg
Faiz Sucuoğlu,"",National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Ersin Tatar,"",National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Hüseyin Özgürgün,Hüseyin Özgürgün,National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q58174,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,Hüseyin Özgürgün,male,1965-01-01,Hüseyin,/m/0bs8f6q,
Serdar Denktaş,Serdar Denktaş,Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q2272256,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,Serdar Denktaş,male,1959-01-01,Serdar,,
Mustafa Arabacıoğlu,"",Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Hasan Taçoy,"",Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Zorlu Töre,"",Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Mehmet Çakıcı,Mehmet Çakıcı,Communal Democracy Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Teberrüken Uluçay,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Asım Akansoy,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Ferdi Sabit Soyer,Ferdi Sabit Soyer,Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q730602,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,Ferdi Sabit Soyer,male,1951-03-05,,/m/05xsks,
Erkut Şahali,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Arif Albayrak,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
