id,name,identifier__historichansard,area,group,group_id,start_date,start_reason,end_date,end_reason,term,name__en,image,gender,identifier__viaf,identifier__gnd,identifier__lcauth,birth_date,identifier__freebase,given_name,website,identifier__muzinger,identifier__journalisted,identifier__europarlmep,family_name,death_date,identifier__isni,identifier__bnf,identifier__sudoc,identifier__imdb,identifier__nta,identifier__nla,identifier__npg,identifier__musicbrainz,identifier__selibr,identifier__nndb,identifier__oxforddnb,identifier__gtaa,honorific_prefix,identifier__hansard,wikipedia__en,identifier__munzinger,identifier__discogs,identifier__parliamentdotuk,name__zh,name__pl,name__eu,name__fr,name__ru,name__es,name__ca,name__hu,name__fi,name__it,name__la,name__cy,name__de,name__br,name__ga,name__nl,name__sv,name__mzn,name__oc,name__nb,name__da,name__nn,name__he,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__de,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__mzn,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__zh,name__ko,name__tr,name__el,name__tl,name__af,name__en_ca,name__en_gb,name__uk,name__fa,wikipedia__af,wikipedia__da,wikipedia__el,wikipedia__ko,wikipedia__no,wikipedia__tl,wikipedia__tr,wikipedia__uk,name__ro,wikipedia__ro,wikipedia__enwikiquote,wikipedia__commons,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__gl,name__be,name__id,name__bn,name__ar,name__pt,name__eo,name__be_tarask,name__cs,name__bg,name__ckb,name__az,name__hy,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ckb,wikipedia__cs,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__id,wikipedia__nn,wikipedia__pt,name__sr_el,name__sr_ec,name__hr,name__sco,name__sr,name__ie,name__ja,wikipedia__hr,wikipedia__ie,wikipedia__itwikiquote,wikipedia__ja,wikipedia__sco,wikipedia__sr,name__an,name__bs,name__ceb,name__et,name__is,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__vec,name__wa,name__gd,name__yo,name__pnb,name__ku_arab,name__ku_latn,name__ku,name__hi,name__ur,wikipedia__et,wikipedia__gd,wikipedia__ku,wikipedia__pnb,wikipedia__sk,wikipedia__ur,wikipedia__yo,name__ta,wikipedia__ta,name__vmf,name__nan,name__mr,name__io,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__zh_min_nan,name__de_ch,identifier__wikidata
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1,Gerry Adams,https://upload.wikimedia.org/wikipedia/commons/4/47/Gerry_Adams_Easter_Lily_Badge.jpg,male,9941260,118896245,n83142260,1948-10-06,/m/09hmj,Gerry,,,gerry-adams,,Adams,,0000 0001 0869 0534,124416972,033561001,nm1128049,072903600,,,,,,,,,mr-gerry-adams,Gerry Adams,00000017676,,,盖瑞·亚当斯,Gerry Adams,Gerry Adams,Gerry Adams,Джерри Адамс,Gerry Adams,Gerry Adams,,Gerry Adams,Gerry Adams,Geraldus Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gearóid Mac Ádhaimh,Gerry Adams,Gerry Adams,,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,ג'רי אדמס,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gearóid Mac Ádhaimh,ג'רי אדמס,,Gerry Adams,Geraldus Adams,,Gerry Adams,Gerry Adams,"Адамс, Джерри",Gerry Adams,Gerry Adams,盖瑞·亚当斯,게리 애덤스,,,,,,,Джеррі Адамс,جری آدامز,,Gerry Adams,,게리 애덤스,Gerry Adams,,,Джеррі Адамс,,,Gerry Adams,Gerry Adams,,,,,,,Gerry Adams,Джэры Адамс,Gerry Adams,জেরি এডামস,جيري آدمز,Gerry Adams,Gerry Adams,Джэры Адамз,Gerry Adams,Джери Адамс,جێری ئادامز,Cerri Adams,Ջերի Ադամս,جيري آدمز,Cerri Adams,Джэры Адамз,Джэры Адамс,Джери Адамс,জেরি এডামস,جێری ئادامز,Gerry Adams,Gerry Adams,جری آدامز,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q76139
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2,Gerry Adams,https://upload.wikimedia.org/wikipedia/commons/4/47/Gerry_Adams_Easter_Lily_Badge.jpg,male,9941260,118896245,n83142260,1948-10-06,/m/09hmj,Gerry,,,gerry-adams,,Adams,,0000 0001 0869 0534,124416972,033561001,nm1128049,072903600,,,,,,,,,mr-gerry-adams,Gerry Adams,00000017676,,,盖瑞·亚当斯,Gerry Adams,Gerry Adams,Gerry Adams,Джерри Адамс,Gerry Adams,Gerry Adams,,Gerry Adams,Gerry Adams,Geraldus Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gearóid Mac Ádhaimh,Gerry Adams,Gerry Adams,,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,ג'רי אדמס,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gearóid Mac Ádhaimh,ג'רי אדמס,,Gerry Adams,Geraldus Adams,,Gerry Adams,Gerry Adams,"Адамс, Джерри",Gerry Adams,Gerry Adams,盖瑞·亚当斯,게리 애덤스,,,,,,,Джеррі Адамс,جری آدامز,,Gerry Adams,,게리 애덤스,Gerry Adams,,,Джеррі Адамс,,,Gerry Adams,Gerry Adams,,,,,,,Gerry Adams,Джэры Адамс,Gerry Adams,জেরি এডামস,جيري آدمز,Gerry Adams,Gerry Adams,Джэры Адамз,Gerry Adams,Джери Адамс,جێری ئادامز,Cerri Adams,Ջերի Ադամս,جيري آدمز,Cerri Adams,Джэры Адамз,Джэры Адамс,Джери Адамс,জেরি এডামস,جێری ئادامز,Gerry Adams,Gerry Adams,جری آدامز,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q76139
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,2007-03-09,election,2010-12-07,resigned,3,Gerry Adams,https://upload.wikimedia.org/wikipedia/commons/4/47/Gerry_Adams_Easter_Lily_Badge.jpg,male,9941260,118896245,n83142260,1948-10-06,/m/09hmj,Gerry,,,gerry-adams,,Adams,,0000 0001 0869 0534,124416972,033561001,nm1128049,072903600,,,,,,,,,mr-gerry-adams,Gerry Adams,00000017676,,,盖瑞·亚当斯,Gerry Adams,Gerry Adams,Gerry Adams,Джерри Адамс,Gerry Adams,Gerry Adams,,Gerry Adams,Gerry Adams,Geraldus Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gearóid Mac Ádhaimh,Gerry Adams,Gerry Adams,,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,ג'רי אדמס,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,Gearóid Mac Ádhaimh,ג'רי אדמס,,Gerry Adams,Geraldus Adams,,Gerry Adams,Gerry Adams,"Адамс, Джерри",Gerry Adams,Gerry Adams,盖瑞·亚当斯,게리 애덤스,,,,,,,Джеррі Адамс,جری آدامز,,Gerry Adams,,게리 애덤스,Gerry Adams,,,Джеррі Адамс,,,Gerry Adams,Gerry Adams,,,,,,,Gerry Adams,Джэры Адамс,Gerry Adams,জেরি এডামস,جيري آدمز,Gerry Adams,Gerry Adams,Джэры Адамз,Gerry Adams,Джери Адамс,جێری ئادامز,Cerri Adams,Ջերի Ադամս,جيري آدمز,Cerri Adams,Джэры Адамз,Джэры Адамс,Джери Адамс,জেরি এডামস,جێری ئادامز,Gerry Adams,Gerry Adams,جری آدامز,Gerry Adams,Gerry Adams,Gerry Adams,Gerry Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q76139
10172,Jeffrey M. Donaldson,250,Lagan Valley,UUP,uup,2003-11-26,general_election,2003-12-18,changed_party,2,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,,Jeffrey Donaldson,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q300292
10172,Jeffrey M. Donaldson,250,Lagan Valley,Independent Unionist,independent-unionist,2003-12-18,changed_party,2004-01-15,changed_party,2,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,,Jeffrey Donaldson,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q300292
10172,Jeffrey M. Donaldson,250,Lagan Valley,DUP,dup,2004-01-15,changed_party,2007-01-30,dissolution,2,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,,Jeffrey Donaldson,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q300292
10172,Jeffrey M. Donaldson,250,Lagan Valley,DUP,dup,2007-03-09,election,2010-06-09,resigned,3,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,,Jeffrey Donaldson,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q300292
10300,John Hume,373,Foyle,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2000-12-01,resigned,1,John Hume,https://upload.wikimedia.org/wikipedia/commons/5/5c/John_Hume_2008.jpg,male,30346937,119444666,n85127099,1937-01-18,/m/015rlt,John,,,,1408,,,0000 0000 7859 8701,140037758,,,151582467,,,,319395,,,111580,,,John Hume,00000020903,,,約翰·休姆,John Hume,John Hume,John Hume,"Хьюм, Джон",John Hume,John Hume,,John Hume,John Hume,Ioannes Hume,John Hume,John Hume,,John Hume,John Hume,John Hume,,,John Hume,John Hume,,ג'ון יום,,John Hume,John Hume,John Hume,John Hume,John Hume,John Hume,John Hume,John Hume,ג'ון יום,,John Hume,Ioannes Hume,,John Hume,John Hume,"Хьюм, Джон",,John Hume,約翰·休姆,존 흄,John Hume,,,,,,Джон Г'юм,جان هیوم,,John Hume,,존 흄,John Hume,,John Hume,Джон Г'юм,John Hume,John Hume,,,约翰·休姆,約翰·休姆,約翰·休姆,约翰·休姆,约翰·休姆,約翰·休姆,,Джон Х'юм,John Hume,,جون هيوم,John Hume,,Джон Г’юм,John Hume,Джон Хюм,,,,جون هيوم,,Джон Г’юм,Джон Х'юм,Джон Хюм,,,John Hume,,جان هیوم,,John Hume,,John Hume,,,,,,,ジョン・ヒューム,,,,ジョン・ヒューム,,,,,,John Hume,John Hume,,,,,,,,,,,,,John Hume,جان ہیوم,ژۆهن حومە,John Hume,John Hume,,جان ہیوم,John Hume,,John Hume,جان ہیوم,,جان ہیوم,John Hume,,,,John Hume,जॉन ह्यूम,John Hume,John Hume,John Hume,जॉन ह्यूम,John Hume,,Q193630
10380,Robert McCartney,483,North Down,UKUP,ukup,1998-06-25,general_election,2003-04-28,general_election,1,Robert McCartney,,male,,,,1936-04-24,,Robert,,,,,,,,,,,,,,,,,,,,,Robert McCartney (Northern Irish politician),,,,,,Robert McCartney,Robert McCartney,,Robert McCartney,,,,,,,Robert McCartney,,,Robert McCartney,,,,,,,,,,,,,Robert McCartney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7347473
10380,Robert McCartney,483,North Down,UKUP,ukup,2003-11-26,general_election,2007-01-30,dissolution,2,Robert McCartney,,male,,,,1936-04-24,,Robert,,,,,,,,,,,,,,,,,,,,,Robert McCartney (Northern Irish politician),,,,,,Robert McCartney,Robert McCartney,,Robert McCartney,,,,,,,Robert McCartney,,,Robert McCartney,,,,,,,,,,,,,Robert McCartney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7347473
