id,given_name,family_name,birth_date,gender,area,area_id,group,group_id,term,source
ABIR,Abid Q.,Raja,1975-11-05,male,Akershus,Ak,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ALJ,Anna,Ljunggren,1984-06-13,female,Nordland,No,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ALYS,Audun,Lysbakken,1977-09-30,male,Hordaland,Ho,Sosialistisk Venstreparti,SV,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ANA,Anders,Anundsen,1975-11-17,male,Vestfold,Ve,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ANNH,Anniken,Huitfeldt,1969-11-29,female,Akershus,Ak,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ANNS,André N.,Skjelstad,1965-08-27,male,Nord-Trøndelag,NT,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ARK,Arve,Kambe,1974-11-25,male,Rogaland,Ro,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ASC,Åse,Michaelsen,1960-06-04,female,Vest-Agder,VA,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ATR,Anette,Trettebergstuen,1981-05-25,female,Hedmark,He,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ATW,Anne Tingelstad,Wøien,1965-06-18,female,Oppland,Op,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ATY,Anders,Tyvand,1980-05-19,male,Vestfold,Ve,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
AWE,Anders B.,Werp,1961-12-16,male,Buskerud,Bu,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
BEM,Bente Stein,Mathisen,1956-02-01,female,Akershus,Ak,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
BENH,Bent,Høie,1971-05-04,male,Rogaland,Ro,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
BLO,Bjørn,Lødemel,1958-08-19,male,Sogn og Fjordane,SF,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
BMW,Bengt Morten,Wenstøb,1963-02-26,male,Østfold,Øs,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
BTH,Bente,Thorsen,1958-10-31,female,Rogaland,Ro,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
BVS,Bård Vegar,Solhjell,1971-12-22,male,Akershus,Ak,Sosialistisk Venstreparti,SV,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
BÅH,Bård,Hoksrud,1973-03-26,male,Telemark,Te,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
CT,Christian,Tybring-Gjedde,1963-08-08,male,Oslo,Os,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
CTB,Christian Tynning,Bjørnø,1985-11-27,male,Telemark,Te,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
DTA,Dag Terje,Andersen,1957-05-27,male,Vestfold,Ve,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
EAG,Elin Rodum,Agdestein,1957-08-10,female,Nord-Trøndelag,NT,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
EAS,Elisabeth,Aspaker,1962-10-16,female,Troms,Tr,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
EBO,Else-May,Botten,1973-08-16,female,Møre og Romsdal,MR,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
EIRS,Eirik,Sivertsen,1971-03-17,male,Nordland,No,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
EKS,Eirin,Sund,1967-04-06,female,Rogaland,Ro,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ELN,Elisabeth Røbekk,Nørve,1951-03-29,female,Møre og Romsdal,MR,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
EMI,Eirik,Milde,1958-05-20,male,Østfold,Øs,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ES,Erna,Solberg,1961-02-24,female,Hordaland,Ho,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
EVH,Eva Kristin,Hansen,1973-03-05,female,Sør-Trøndelag,ST,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
EW,Erlend,Wiborg,1984-01-20,male,Østfold,Øs,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
FBJ,Frank,Bakke-Jensen,1965-03-08,male,Finnmark,Fi,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
FHB,Fredric Holen,Bjørdal,1990-03-09,male,Møre og Romsdal,MR,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
FJJ,Frank J.,Jenssen,1969-08-11,male,Sør-Trøndelag,ST,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
FMS,Morten,Stordalen,1968-10-05,male,Vestfold,Ve,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
FR,Freddy,de Ruiter,1969-04-04,male,Aust-Agder,AA,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
GAG,Gunnar,Gundersen,1956-05-21,male,Hedmark,He,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
GEST,Geir S.,Toskedal,1954-04-27,male,Rogaland,Ro,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
GJB,Geir Jørgen,Bekkevold,1963-11-19,male,Telemark,Te,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
GJH,Gjermund,Hagesæter,1960-12-12,male,Hordaland,Ho,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
GP,Geir,Pollestad,1978-08-13,male,Rogaland,Ro,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
GUE,Gunvor,Eldegard,1963-04-14,female,Akershus,Ak,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HEA,Henrik,Asheim,1983-08-21,male,Akershus,Ak,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HEH,Heikki Eidsvoll,Holmås,1972-06-28,male,Oslo,Os,Sosialistisk Venstreparti,SV,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HEIG,Heidi,Greni,1962-07-03,female,Sør-Trøndelag,ST,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HELO,Helge,Orten,1966-10-25,male,Møre og Romsdal,MR,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HFG,Hans Fredrik,Grøvan,1953-11-01,male,Vest-Agder,VA,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HHLI,Hege Haukeland,Liadal,1972-11-29,female,Rogaland,Ro,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HLI,Hans Andreas,Limi,1960-09-26,male,Akershus,Ak,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HNJ,Helge André,Njåstad,1980-06-05,male,Hordaland,Ho,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HOSY,Hans Olav,Syversen,1966-11-25,male,Oslo,Os,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HPED,Helga,Pedersen,1973-01-13,female,Finnmark,Fi,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HTA,Hadia,Tajik,1983-07-18,female,Oslo,Os,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
HTN,Harald T.,Nesvik,1966-05-04,male,Møre og Romsdal,MR,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
IAF,Ingunn,Foss,1960-02-07,female,Vest-Agder,VA,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
IAG,Ingebjørg Amanda,Godskesen,1957-05-26,female,Aust-Agder,AA,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
IBTH,Ib,Thomsen,1961-10-06,male,Akershus,Ak,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
IHE,Ingrid,Heggø,1961-08-12,female,Sogn og Fjordane,SF,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
IJ,Irene,Johansen,1961-01-07,female,Østfold,Øs,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
