id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
ACS,Anders C. Sjaastad,,,Høyre,H,Oslo,Storting,1989-93,,,,male
ANAU,Anders John Aune,,,Framtid for Finnmark,FFF,Finnmark,Storting,1989-93,,,,male
ANT,Anders Talleraas,,,Høyre,H,Møre og Romsdal,Storting,1989-93,,,,male
AEL,Anne Enger,,,Senterpartiet,Sp,Akershus,Storting,1989-93,,,,female
AD,Anneliese Dørum,,,Arbeiderpartiet,A,Akershus,Storting,1989-93,,,,female
ANH,Annelise Høegh,,,Høyre,H,Oslo,Storting,1989-93,,,,female
AHI,Arild Hiim,,,Høyre,H,Buskerud,Storting,1989-93,,,,male
ARAS,Arne Alsåker Spilde,,,Høyre,H,Hordaland,Storting,1989-93,,,,male
ARSK,Arne Skauge,,,Høyre,H,Hordaland,Storting,1989-93,,,,male
AMN,Astrid Marie Nistad,,,Arbeiderpartiet,A,Sogn og Fjordane,Storting,1989-93,,,,female
AUB,Aud Blattmann,,,Arbeiderpartiet,A,Vest-Agder,Storting,1989-93,,,,female
BB,Berit Brørby,,,Arbeiderpartiet,A,Oppland,Storting,1989-93,,,,female
BJEI,Bjarne Mørk-Eidem,,,Arbeiderpartiet,A,Nordland,Storting,1989-93,,,,male
BTG,Bjørn Tore Godal,,,Arbeiderpartiet,A,Oslo,Storting,1989-93,,,,male
BORØ,Borghild Røyseland,,,Kristelig Folkeparti,KrF,Rogaland,Storting,1989-93,,,,female
BKH,Brit Hoel,,,Arbeiderpartiet,A,Aust-Agder,Storting,1989-93,,,,female
BRHA,Britt Harkestad,,,Kristelig Folkeparti,KrF,Hordaland,Storting,1989-93,,,,female
BR,Børre Rønningen,,,Sosialistisk Venstreparti,SV,Telemark,Storting,1989-93,,,,male
CIH,Carl I. Hagen,,,Fremskrittspartiet,FrP,Oslo,Storting,1989-93,,,,male
DW,Dag C. Weberg,,,Høyre,H,Oppland,Storting,1989-93,,,,male
DJF,Dag Jostein Fjærvoll,,,Kristelig Folkeparti,KrF,Nordland,Storting,1989-93,,,,male
DAHJ,Dagfinn Hjertenes,,,Høyre,H,Sogn og Fjordane,Storting,1989-93,,,,male
EGR,Edvard Grimstad,,,Senterpartiet,Sp,Østfold,Storting,1989-93,,,,male
EAM,Eilef A. Meland,,,Sosialistisk Venstreparti,SV,Rogaland,Storting,1989-93,,,,male
EOS,Einar Olav Skogholt,,,Arbeiderpartiet,A,Hedmark,Storting,1989-93,,,,male
ESF,Eirin Faldet,,,Arbeiderpartiet,A,Hedmark,Storting,1989-93,,,,female
ELBJ,Eleonore Bjartveit,,,Kristelig Folkeparti,KrF,Oslo,Storting,1989-93,,,,female
ED,Erik Dalheim,,,Arbeiderpartiet,A,Buskerud,Storting,1989-93,,,,male
EGS,Erik Solheim,,,Sosialistisk Venstreparti,SV,Sør-Trøndelag,Storting,1989-93,,,,male
ES,Erna Solberg,,,Høyre,H,Hordaland,Storting,1989-93,,,,female
ERWR,Ernst Wroldsen,,,Arbeiderpartiet,A,Vestfold,Storting,1989-93,,,,male
ERF,Eva R. Finstad,,,Høyre,H,Akershus,Storting,1989-93,,,,female
FITH,Finn Thoresen,,,Fremskrittspartiet,FrP,Akershus,Storting,1989-93,,,,male
FFG,Fridtjof Frank Gundersen,,,Fremskrittspartiet,FrP,Akershus,Storting,1989-93,,,,male
GK,Grete Knudsen,,,Arbeiderpartiet,A,Hordaland,Storting,1989-93,,,,female
GHB,Gro Harlem Brundtland,,,Arbeiderpartiet,A,Oslo,Storting,1989-93,,,,female
GR,Gudmund Restad,,,Senterpartiet,Sp,Møre og Romsdal,Storting,1989-93,,,,male
GO,Gunhild Øyangen,,,Arbeiderpartiet,A,Sør-Trøndelag,Storting,1989-93,,,,female
GUOL,Gunn Vigdis Olsen-Hagen,,,Arbeiderpartiet,A,Rogaland,Storting,1989-93,,,,female
GUB,Gunnar Berge,,,Arbeiderpartiet,A,Rogaland,Storting,1989-93,,,,male
GF,Gunnar Fatland,,,Høyre,H,Rogaland,Storting,1989-93,,,,male
GS,Gunnar Skaug,,,Arbeiderpartiet,A,Østfold,Storting,1989-93,,,,male
HBL,Haakon Blankenborg,,,Arbeiderpartiet,A,Oppland,Storting,1989-93,,,,male
HBE,Hallgrim Berg,,,Høyre,H,Buskerud,Storting,1989-93,,,,male
HBA,Hallvard Bakke,,,Arbeiderpartiet,A,Hordaland,Storting,1989-93,,,,male
HJR,Hans J. Røsjorde,,,Fremskrittspartiet,FrP,Hordaland,Storting,1989-93,,,,male
HE,Harald Ellefsen,,,Høyre,H,Sør-Trøndelag,Storting,1989-93,,,,male
HAJE,Harry Jensen,,,Fremskrittspartiet,FrP,Nordland,Storting,1989-93,,,,male
HEBØ,Helen Marie Bøsterud,,,Arbeiderpartiet,A,Akershus,Storting,1989-93,,,,female
HEHU,Helga Haugen,,,Kristelig Folkeparti,KrF,Aust-Agder,Storting,1989-93,,,,female
IM,Inge Myrvoll,,,Sosialistisk Venstreparti,SV,Nordland,Storting,1989-93,,,,male
INST,Inge Staldvik,,,Arbeiderpartiet,A,Nord-Trøndelag,Storting,1989-93,,,,male
INBO,Ingeborg Botnen,,,Arbeiderpartiet,A,Telemark,Storting,1989-93,,,,female
INSE,Inger Dag,,,Sosialistisk Venstreparti,SV,Vestfold,Storting,1989-93,,,,female
INGJ,Inger Lise Gjørv,,,Arbeiderpartiet,A,Nord-Trøndelag,Storting,1989-93,,,,female
INPE,Inger Pedersen,,,Arbeiderpartiet,A,Nordland,Storting,1989-93,,,,female
INMY,Inger-Marie Ytterhorn,,,Fremskrittspartiet,FrP,Hordaland,Storting,1989-93,,,,female
INWI,Ingrid I. Willoch,,,Høyre,H,Vestfold,Storting,1989-93,,,,female
IGO,Ingvald Godal,,,Høyre,H,Telemark,Storting,1989-93,,,,male
INSV,Ingvard Sverdrup,,,Høyre,H,Møre og Romsdal,Storting,1989-93,,,,male
JANE,Jan Elvheim,,,Arbeiderpartiet,A,Troms,Storting,1989-93,,,,male
JAFÅ,Jan Erik Fåne,,,Fremskrittspartiet,FrP,Akershus,Storting,1989-93,,,,male
JPS,Jan P. Syse,,,Høyre,H,Oslo,Storting,1989-93,,,,male
JP,Jan Petersen,,,Høyre,H,Akershus,Storting,1989-93,,,,male
JS,Jan Simonsen,,,Fremskrittspartiet,FrP,Rogaland,Storting,1989-93,,,,male
JEMA,Jens Marcussen,,,Fremskrittspartiet,FrP,Aust-Agder,Storting,1989-93,,,,male
JOBE,Jo Benkow,,,Høyre,H,Akershus,Storting,1989-93,,,,male
JOLØ,Johan C. Løken,,,Høyre,H,Hedmark,Storting,1989-93,,,,male
JJJ,Johan J. Jakobsen,,,Senterpartiet,Sp,Nord-Trøndelag,Storting,1989-93,,,,male
JMN,Johan M. Nyland,,,Arbeiderpartiet,A,Oppland,Storting,1989-93,,,,male
JOBR,John G. Bernander,,,Høyre,H,Vest-Agder,Storting,1989-93,,,,male
JIA,John I. Alvheim,,,Fremskrittspartiet,FrP,Telemark,Storting,1989-93,,,,male
JOTV,John S. Tveit,,,Kristelig Folkeparti,KrF,Rogaland,Storting,1989-93,,,,male
JL,Jon Lilletun,,,Kristelig Folkeparti,KrF,Vest-Agder,Storting,1989-93,,,,male
JK,Jørgen Kosmo,,,Arbeiderpartiet,A,Vestfold,Storting,1989-93,,,,male
KKF,Kaci Kullmann Five,,,Høyre,H,Akershus,Storting,1989-93,,,,female
KL,Karin Lian,,,Arbeiderpartiet,A,Vestfold,Storting,1989-93,,,,female
KBO,Karita Bekkemellem,,,Arbeiderpartiet,A,Møre og Romsdal,Storting,1989-93,,,,female
KSP,Karl Eirik Schjøtt-Pedersen,,,Arbeiderpartiet,A,Finnmark,Storting,1989-93,,,,male
KKG,Kirsti Kolle Grøndahl,,,Arbeiderpartiet,A,Buskerud,Storting,1989-93,,,,female
KJBO,Kjell Borgen,,,Arbeiderpartiet,A,Hedmark,Storting,1989-93,,,,male
KMB,Kjell Magne Bondevik,,,Kristelig Folkeparti,KrF,Møre og Romsdal,Storting,1989-93,,,,male
KO,Kjell Opseth,,,Arbeiderpartiet,A,Sogn og Fjordane,Storting,1989-93,,,,male
KNA,Kjellaug Nakkim,,,Høyre,H,Østfold,Storting,1989-93,,,,female
KDL,Kjellbjørg Lunde,,,Sosialistisk Venstreparti,SV,Hordaland,Storting,1989-93,,,,female
KNHA,Knut Hanselmann,,,Fremskrittspartiet,FrP,Hordaland,Storting,1989-93,,,,male
KRCL,Kristin Clemet,,,Høyre,H,Oslo,Storting,1989-93,,,,female
KHA,Kristin Halvorsen,,,Sosialistisk Venstreparti,SV,Oslo,Storting,1989-93,,,,female
KÅGJ,Kåre Gjønnes,,,Kristelig Folkeparti,KrF,Sør-Trøndelag,Storting,1989-93,,,,male
LK,Laila Kaland,,,Arbeiderpartiet,A,Møre og Romsdal,Storting,1989-93,,,,female
LGL,Lars Gunnar Lie,,,Kristelig Folkeparti,KrF,Sogn og Fjordane,Storting,1989-93,,,,male
LEBL,Leiv Blakset,,,Senterpartiet,Sp,Sogn og Fjordane,Storting,1989-93,,,,male
LEST,Leiv Stensland,,,Arbeiderpartiet,A,Hordaland,Storting,1989-93,,,,male
LIH,Lisbeth Holand,,,Sosialistisk Venstreparti,SV,Nordland,Storting,1989-93,,,,female
LOSO,Lodve Solholm,,,Fremskrittspartiet,FrP,Møre og Romsdal,Storting,1989-93,,,,male
MSO,Magnar Sortåsløkken,,,Sosialistisk Venstreparti,SV,Hedmark,Storting,1989-93,,,,male
MSE,Magnar Sætre,,,Arbeiderpartiet,A,Rogaland,Storting,1989-93,,,,male
MAS,Magnus Stangeland,,,Senterpartiet,Sp,Hordaland,Storting,1989-93,,,,male
