id,sort_name,email,image,term,source,name,party,faction,area,status,start_date,end_date
1,Abugattás Majluf Daniel,DMAJLUF@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/1-g9Nv0Fm9Qc1Pk0G.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=1,Daniel Abugattás Majluf,Gana Perú,NACIONALISTA GANA PERÚ,Lima,en Ejercicio,2011-07-27,2016-07-26
2,Acha Romaní Walter,WACHA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/2-g6Sw6Gu5Hp1Tq8Y.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=2,Walter Acha Romaní,Gana Perú,NACIONALISTA GANA PERÚ,Ayacucho,en Ejercicio,2011-07-27,2016-07-26
3,Acuña Núñez Richard Frank,RACUNA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/3-t6Ic8Hr7Be6Nj4Z.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=3,Richard Frank Acuña Núñez,Alianza por el Gran Cambio,PPC - APP,La libertad,en Ejercicio,2011-07-27,2016-07-26
4,Acuña Peralta Virgilio,VACUNA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/4-n3Mz0Tj4Nt9Op8W.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=4,Virgilio Acuña Peralta,Alianza Solidaridad Nacional,SOLIDARIDAD NACIONAL,Lambayeque,en Ejercicio,2011-07-27,2016-07-26
5,Aguinaga Recuenco Alejandro Aurelio,AAGUINAGA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/5-i5Zy7Ev0Ud1Ht7P.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=5,Alejandro Aurelio Aguinaga Recuenco,Fuerza Popular,FUERZA POPULAR,Lambayeque,en Ejercicio,2011-07-27,2016-07-26
6,Alcorta Suero Maria Lourdes Pia Luisa,LALCORTA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/6-y1Ol1Lg8Be7Gv7V.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=6,Maria Lourdes Pia Luisa Alcorta Suero,Alianza por el Gran Cambio,CONCERTACIÓN PARLAMENTARIA,Lima,en Ejercicio,2011-07-27,2016-07-26
7,Andrade Carmona Fernando Juan,FANDRADE@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/7-x8Nc9En1Qe1Th0Z.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=7,Fernando Juan Andrade Carmona,Somos Perú,PERÚ POSIBLE,Lima,en Ejercicio,2011-07-27,2016-07-26
8,Angulo Álvarez Roberto Edmundo,RANGULO@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/8-o5Cv9Os9Kk3Ay5T.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=8,Roberto Edmundo Angulo Álvarez,Gana Perú,DIGNIDAD Y DEMOCRACIA ,La libertad,en Ejercicio,2011-07-27,2016-07-26
9,Anicama Ñáñez Elsa Celia,EANICAMA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/9-v9Wg9Lk3Hb1Hl0L.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=9,Elsa Celia Anicama Ñáñez,Gana Perú,DIGNIDAD Y DEMOCRACIA ,Ica,en Ejercicio,2011-07-27,2016-07-26
10,Apaza Condori Emiliano,EAPAZA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/10-n1Qs4Xh4Gp2Cb7H.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=10,Emiliano Apaza Condori,Gana Perú,NACIONALISTA GANA PERÚ,Puno,en Ejercicio,2011-07-27,2016-07-26
11,Apaza Ordóñez Justiniano Rómulo,JAPAZA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/11-w4Wy1Nf1Fc6Ep6V.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=11,Justiniano Rómulo Apaza Ordóñez,Gana Perú,DIGNIDAD Y DEMOCRACIA ,Arequipa,en Ejercicio,2011-07-27,2016-07-26
12,Bardález Cochagne Aldo Maximiliano,ABARDALEZ@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/12-q8Ud1Ge7Pu9Nc2I.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=12,Aldo Maximiliano Bardález Cochagne,Fuerza Popular,FUERZA POPULAR,San martin,en Ejercicio,2011-07-27,2016-07-26
13,Becerril Rodríguez Héctor Virgilio,HBECERRIL@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/13-w8Hp0Oj9Lp7Ij1E.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=13,Héctor Virgilio Becerril Rodríguez,Fuerza Popular,FUERZA POPULAR,Amazonas,en Ejercicio,2011-07-27,2016-07-26
14,Bedoya De Vivanco Javier,JBEDOYA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=14,Javier Bedoya De Vivanco,Partido Popular Cristiano,PPC - APP,Lima,en Ejercicio,2011-07-27,2016-07-26
15,Beingolea Delgado Alberto Ismael,ABEINGOLEA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/15-v6Ox6Po0Yy4Gl8I.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=15,Alberto Ismael Beingolea Delgado,Alianza por el Gran Cambio,PPC - APP,Lima,en Ejercicio,2011-07-27,2016-07-26
16,Belaunde Moreyra Martin,MBELAUNDE@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/16-f4Hh4Da0Aw9Qm7V.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=16,Martin Belaunde Moreyra,Alianza Solidaridad Nacional,SOLIDARIDAD NACIONAL,Lima,en Ejercicio,2011-07-27,2016-07-26
