id,name,wikipedia__pl,term,group,source,area,area_id,start_date,wikidata,end_date,replaced,name__pl,name__en,gender,birth_date,given_name,image,identifier__viaf,identifier__freebase,identifier__lcauth,identifier__europarlmep,identifier__isni,identifier__bnf,website,identifier__gnd,identifier__sudoc,identifier__nta,identifier__imdb,facebook,family_name,identifier__muzinger,death_date,twitter,identifier__gtaa,identifier__parlement,identifier__ndl,identifier__nla,identifier__nkc,identifier__nukat,identifier__nlp,identifier__ptbnp,identifier__nli,identifier__bne,identifier__bav,identifier__fifa,identifier__catholic_hierarchy,wikipedia__en,identifier__munzinger,name__eo,name__de,name__nl,name__nb,name__da,name__nn,name__sv,name__fr,wikipedia__de,name__de_ch,name__sk,name__it,name__et,wikipedia__commons,wikipedia__et,wikipedia__fr,wikipedia__plwikiquote,wikipedia__sk,name__pt,wikipedia__pt,name__es,name__ro,wikipedia__ro,wikipedia__eo,name__zh_hans,name__zh_hant,name__zh_hk,name__ru,name__fi,name__uk,name__fa,name__zh,wikipedia__fa,wikipedia__fi,wikipedia__it,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__zh,wikipedia__es,name__lt,wikipedia__lt,name__ksh,wikipedia__ksh,name__ka,name__be,name__cs,name__bg,name__vi,name__la,name__ie,name__lb,name__tr,name__szl,name__hu,name__ko,name__el,name__ca,name__io,name__hy,name__en_ca,name__en_gb,name__pt_br,name__ja,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__cswikiquote,wikipedia__el,wikipedia__hu,wikipedia__ie,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__nl,wikipedia__no,wikipedia__simple,wikipedia__szl,wikipedia__tr,wikipedia__vi,name__gl,name__eu,wikipedia__da,wikipedia__eu,wikipedia__gl,name__mg,wikipedia__mg,name__oc,name__he,name__sr_el,name__sr_ec,name__be_tarask,name__sr,wikipedia__be_x_old,wikipedia__he,wikipedia__sr,name__id,wikipedia__dewikiquote,wikipedia__id,wikipedia__itwikiquote,wikipedia__oc,wikipedia__ukwikiquote,name__sl,wikipedia__sl,name__hr,name__csb,wikipedia__csb,name__az,name__br,name__hsb,name__is,name__lv,name__ms,name__sh,name__uz,name__yo,name__yue,name__sco,wikipedia__az,wikipedia__br,wikipedia__hr,wikipedia__hsb,wikipedia__is,wikipedia__lv,wikipedia__ms,wikipedia__nn,wikipedia__sco,wikipedia__sh,wikipedia__uz,wikipedia__yo,wikipedia__zh_yue,name__mwl,wikipedia__mwl,name__nds,name__hi,name__fo,wikipedia__fo,name__af,name__ar,name__kk,name__ast,wikipedia__af,wikipedia__ar,wikipedia__ast,wikipedia__kk,wikipedia__th,name__cy,name__dsb,name__ht,name__mr,name__qu,name__scn,name__zh_cn,name__mn,name__ta,name__crh_latn,name__lmo,name__ne,wikipedia__crh,wikipedia__cy,wikipedia__dsb,wikipedia__enwikiquote,wikipedia__ht,wikipedia__hy,wikipedia__lmo,wikipedia__mn,wikipedia__mr,wikipedia__qu,wikipedia__scn,name__sgs,wikipedia__bat_smg,name__gsw,name__an,name__ia,name__mk,name__na,name__os,name__zh_tw,name__zh_sg,name__zh_mo,name__zh_my,name__kaa,wikipedia__an,wikipedia__eowikiquote,wikipedia__ia,wikipedia__kaa,wikipedia__mk,wikipedia__na,wikipedia__os,name__tl,wikipedia__tl,name__fy,wikipedia__fy,wikipedia__bgwikiquote,name__th,name__vo,wikipedia__vo,name__cv,name__fur,name__ga,name__gd,name__jv,name__mrj,name__sah,name__se,name__sq,name__tt,name__nan,name__ckb,wikipedia__ckb,wikipedia__cv,wikipedia__fur,wikipedia__ga,wikipedia__gd,wikipedia__hewikiquote,wikipedia__hi,wikipedia__jv,wikipedia__ltwikiquote,wikipedia__mrj,wikipedia__nds,wikipedia__plwikisource,wikipedia__sah,wikipedia__se,wikipedia__sq,wikipedia__ta,wikipedia__tt,wikipedia__zh_min_nan,name__diq,name__bs,wikipedia__bs,name__simple,name__mo,wikipedia__mo,identifier__wikidata
elżbieta-achinger,Elżbieta Achinger,Elżbieta Achinger,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 15,15-7,2012-07-11,Q9253080,,,Elżbieta Achinger,,female,1957-06-08,Elżbieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elżbieta Achinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9253080
tadeusz-arkit,Tadeusz Arkit,Tadeusz Arkit,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 12,12-7,,Q1726186,,,Tadeusz Arkit,Tadeusz Arkit,male,1955-11-10,Tadeusz,,311808349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tadeusz Arkit,Tadeusz Arkit,Tadeusz Arkit,Tadeusz Arkit,Tadeusz Arkit,Tadeusz Arkit,Tadeusz Arkit,Tadeusz Arkit,Tadeusz Arkit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1726186
bartosz-arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo zachodniopomorskie 41,41-7,,Q55703,,,Bartosz Arłukowicz,Bartosz Arłukowicz,male,1971-12-30,Bartosz,https://upload.wikimedia.org/wikipedia/commons/7/70/Bartosz_Arłukowicz_59_posiedzenie_Senatu_02.JPG,308287486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bartosz Arłukowicz,,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Category:Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q55703
paweł-arndt,Paweł Arndt,Paweł Arndt,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 37,37-7,,Q362890,,,Paweł Arndt,Paweł Arndt,male,1954-01-21,Paweł,,,/m/0f6pld,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paweł Arndt,,Paweł Arndt,Paweł Arndt,Paweł Arndt,Paweł Arndt,Paweł Arndt,Paweł Arndt,Paweł Arndt,,Paweł Arndt,,,,,,,,,,Paweł Arndt,Paweł Arndt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q362890
urszula-augustyn,Urszula Augustyn,Urszula Augustyn,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 15,15-7,,Q7901327,,,Urszula Augustyn,Urszula Augustyn,female,1964-09-01,Urszula,"https://upload.wikimedia.org/wikipedia/commons/5/5e/Spotkanie_zorganizowane_przez_Urszulę_Augustyn_-_Skrzyszów,_małopolskie_(2012-12-15)_(8360418959).jpg",,/m/0f6pms,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urszula Augustyn,,Urszula Augustyn,Urszula Augustyn,Urszula Augustyn,,,,,Urszula Augustyn,,,,,,,,,,,Urszula Augustyn,Urszula Augustyn,Urszula Augustyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7901327
tadeusz-aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 26,26-7,,Q363696,,,Tadeusz Aziewicz,Tadeusz Aziewicz,male,1960-10-31,Tadeusz,https://upload.wikimedia.org/wikipedia/commons/4/4f/Tadeusz_Aziewicz.jpg,165180084,/m/0f6pn3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tadeusz Aziewicz,,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,,,,,,,,,,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q363696
marek-biernacki,Marek Biernacki,Marek Biernacki,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 26,26-7,,Q364643,,,Marek Biernacki,Marek Biernacki,male,1959-04-28,Marek,,9214013,/m/0f6prp,n2002117798,,,,,,,,,,,,,,,,,,,,,,,,,,,Marek Biernacki,,Marek Biernacki,Marek Biernacki,Marek Biernacki,Marek Biernacki,Marek Biernacki,Marek Biernacki,Marek Biernacki,Marek Biernacki,Marek Biernacki,,,,,,,,Marek Biernacki,,Marek Biernacki,Marek Biernacki,Marek Biernacki,,,Marek Biernacki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q364643
andrzej-biernat-(polityk),Andrzej Biernat,Andrzej Biernat (polityk),7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo łódzkie 11,11-7,,Q4759584,,,Andrzej Biernat,Andrzej Biernat,male,1960-08-11,Andrzej,https://upload.wikimedia.org/wikipedia/commons/a/af/Andrzej_Biernat_z_wizytą_w_Lublinie.jpg,289873742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrzej Biernat,,Andrzej Biernat,Andrzej Biernat,Andrzej Biernat,,,,,Andrzej Biernat,,,,Andrzej Biernat,Andrzej Biernat,Category:Andrzej Biernat (politician),Andrzej Biernat,Andrzej Biernat (homme politique),,,Andrzej Biernat,Andrzej Biernat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4759584
leszek-blanik,Leszek Blanik,Leszek Blanik,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 25,25-7,,Q499924,,,Leszek Blanik,Leszek Blanik,male,1977-03-01,Leszek,https://upload.wikimedia.org/wikipedia/commons/a/aa/Leszek_Blanik.jpg,,/m/0405bp7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leszek Blanik,,Leszek Blanik,Leszek Blanik,Leszek Blanik,Leszek Blanik,Leszek Blanik,Leszek Blanik,Leszek Blanik,Leszek Blanik,Leszek Blanik,,,Leszek Blanik,,,,Leszek Blanik,Leszek Blanik,,Leszek Blanik,Leszek Blanik,Leszek Blanik,Leszek Blanik,Leszek Blanik,,莱塞克·布拉尼克,萊塞克·布拉尼克,萊塞克·布拉尼克,Лешек Бланик,Leszek Blanik,Лешек Блянік,لسزک بلانیک,萊謝克·布拉尼克,لسزک بلانیک,Leszek Blanik,Leszek Blanik,"Бланик, Лешек",Leszek Blanik,Лешек Блянік,萊謝克·布拉尼克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q499924
joanna-bobowska,Joanna Bobowska,Joanna Bobowska,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 12,12-7,,Q11727385,,,Joanna Bobowska,,female,,Joanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joanna Bobowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q11727385
