id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
adam-hofman,Adam Hofman,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo wielkopolskie 37,Sejm,5,,,,
adam-lipiński,Adam Lipiński,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo dolnośląskie 1,Sejm,5,,,,
adam-ołdakowski,Adam Ołdakowski,,,Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej,klub_parlamentarny_samoobrona_rzeczypospolitej_polskiej,Województwo warmińsko-mazurskie 34,Sejm,5,,,,
adam-puza,Adam Puza,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo warmińsko-mazurskie 35,Sejm,5,,2006-11-12,,
adam-rogacki,Adam Rogacki,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo wielkopolskie 36,Sejm,5,,,,
adam-szejnfeld,Adam Szejnfeld,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,Województwo wielkopolskie 38,Sejm,5,,,,
aldona-młyńczak,Aldona Młyńczak,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,Województwo dolnośląskie 3,Sejm,5,,,,
aleksander-chłopek,Aleksander Chłopek,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo śląskie 29,Sejm,5,,,,
aleksander-grad,Aleksander Grad,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,Województwo małopolskie 15,Sejm,5,,,,
aleksander-sopliński,Aleksander Sopliński,,,Klub Poselski Polskiego Stronnictwa Ludowego,klub_poselski_polskiego_stronnictwa_ludowego,Województwo mazowieckie 16,Sejm,5,,,,
aleksander-szczygło,Aleksander Szczygło,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo warmińsko-mazurskie 35,Sejm,5,,2006-08-02,,
aleksandra-natalli-Świat,Aleksandra Natalli-Świat,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo dolnośląskie 3,Sejm,5,,,,
alfred-budner,Alfred Budner,,,Posłowie niezrzeszeni,posłowie_niezrzeszeni,Województwo wielkopolskie 37,Sejm,5,,,,
alicja-olechowska,Alicja Olechowska,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,Województwo mazowieckie 20,Sejm,5,,,,
alina-gut,Alina Gut,,,Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej,klub_parlamentarny_samoobrona_rzeczypospolitej_polskiej,Województwo lubelskie 6,Sejm,5,,,,
