id,name,group,area,image,phone,fax,contact_form,term,source,name__en,name__it,name__de,name__nb,name__da,name__nn,name__sv,wikipedia__en,gender,birth_date,given_name,name__nl,name__fr,name__es,name__ca,wikipedia__ca,name__gl,name__pt,name__fa
20,Jaime R. Perelló Borrás,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/ae248250-368f-4de6-8518-5263f94ddf2d.jpg,(787) 622-4953 / (787) 622-4954,(787) 722-6441,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=20,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=20,Jaime Perelló,Jaime Perelló,Jaime Perelló,Jaime Perelló,Jaime Perelló,Jaime Perelló,Jaime Perelló,Jaime Perelló,male,1973-09-14,Jaime,,Jaime Perelló,Jaime Perelló,Jaime R. Perelló Borrás,Jaime Perelló Borras,,,
42,Roberto Rivera Ruiz De Porras,PPD,Distrito 39,http://www.tucamarapr.org/dnncamara/images/Representantes/7d1daf5-b122-432a-bead-aeff0a505165.jpg,(787) 622-4893 / (787) 622-4894,(787) 721-8253,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=42,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=42,Roberto Rivera Ruiz,Roberto Rivera Ruiz,Roberto Rivera Ruiz,Roberto Rivera Ruiz,Roberto Rivera Ruiz,Roberto Rivera Ruiz,Roberto Rivera Ruiz,Roberto Rivera Ruiz,male,1950-10-28,Roberto,,Roberto Rivera Ruiz,Roberto Rivera Ruiz,,,,,
22,Carlos M. Hernández López,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/f6a192d-57c2-49d1-bf8b-f0674ed24c06.jpg,(787) 622-4896 / (787) 622-4897,(787) 622-4886,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=22,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=22,Charlie Hernández,Charlie Hernández,Charlie Hernández,Charlie Hernández,Charlie Hernández,Charlie Hernández,Charlie Hernández,Charlie Hernández,male,1965-02-19,Charlie,,Charlie Hernández,Charlie Hernández,,,,,
71,Carlos A. Bianchi Angleró,PPD,Distrito 20,http://www.tucamarapr.org/dnncamara/images/Representantes/c71258b-4b3e-4ca6-a071-bb0b64ae3e57.jpg,(787) 977-2456 / (787) 977-2494,(787) 721-3644,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=71,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=71,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,male,1974-02-10,Carlos,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,,,,,
179,Jenniffer A. González Colón,PNP,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/7d8e5300-a519-4b58-9b39-5d333517b747.jpg,(787) 722-0458 / (787) 722-0458,(787) 724-0459,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=179,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=179,Jenniffer González,Jenniffer González,Jenniffer González,,,,,Jenniffer González,female,1976-08-05,,Jenniffer González,Jenniffer González,,,,,,
39,Carlos Méndez Núñez,PNP,Distrito 36,http://www.tucamarapr.org/dnncamara/images/Representantes/67dea01-a30c-49c7-b233-ac43a2ba5e8f.jpg,(787) 722-3539 /,(787) 721-3644,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=39,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=39,Carlos Johnny Méndez,Carlos Johnny Méndez,Carlos Johnny Méndez,Carlos Johnny Méndez,Carlos Johnny Méndez,Carlos Johnny Méndez,Carlos Johnny Méndez,Carlos Johnny Méndez,male,,Carlos,,Carlos Johnny Méndez,Carlos Johnny Méndez,,,,,
35,José M. Varela Fernández,PPD,Distrito 32,http://www.tucamarapr.org/dnncamara/images/Representantes/688ff85b-50c9-495e-97d6-53cdad935088.jpg,(787) 725-3928 / (787) 722-4326,(787) 723-4711,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=35,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=35,José Varela Fernández,Conny Varela,José Varela Fernández,José Varela Fernández,José Varela Fernández,José Varela Fernández,José Varela Fernández,Conny Varela,male,1954-02-13,José,,,José Varela Fernández,,,,,
50,Rafael Hernández Montañez,PPD,Distrito 11,http://www.tucamarapr.org/dnncamara/images/Representantes/e0255cd-c1f4-49a0-a71d-3301de57de88.jpg,(787) 622-4997 / (787) 622-4998,(787) 723-1732,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=50,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=50,Tatito Hernández,Tatito Hernández,Tatito Hernández,Tatito Hernández,Tatito Hernández,Tatito Hernández,Tatito Hernández,Tatito Hernández,male,1972-04-14,,,Tatito Hernández,Tatito Hernández,,,,,
141,Luisa Gándara Menéndez,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/bea54cf-d25e-4e56-95a7-96623f2305e0.jpg,(787) 622-4979 / (787) 622-4979,(787) 725-0951,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=141,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=141,Piti Gándara,,Piti Gándara,,,,,Piti Gándara,female,,,,,,,,,,
7,Brenda López de Arrarás,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/fb836622-bc0c-4add-9fe9-acb84b6eb451.jpg,(787) 725-2771 / (787) 725-2727,(787) 622-4970,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=7,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=7,Brenda López de Arrarás,Brenda López de Arrarás,Brenda López de Arrarás,,,,,Brenda López de Arrarás,female,1971-04-25,Brenda,,Brenda López de Arrarás,Brenda López de Arrarás,,,,,
144,Manuel A. Natal Albelo,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/fa6a7c76-a9a1-49c1-9862-8ec9f6a40b55.jpg,(787) 721-8011 / (787) 723-5758,(787) 977-2496,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=144,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=144,Manuel Natal Albelo,Manuel Natal Albelo,Manuel Natal Albelo,,,,,Manuel Natal Albelo,male,1986-03-25,Manuel,,Manuel Natal Albelo,,,,,,
47,Luis R. Vega Ramos,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/84da49f-248c-489b-8611-aacb49f54a66.jpg,(787) 725-3898 / (787) 722-5598,(787) 622-4875,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=47,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=47,Luis Vega Ramos,Luis Vega Ramos,Luis Vega Ramos,Luis Vega Ramos,Luis Vega Ramos,Luis Vega Ramos,Luis Vega Ramos,Luis Vega Ramos,male,1970-06-11,Luis,,Luis Vega Ramos,Luis Vega Ramos,,,,,
