name,id
Adam Ioan,1
Adam Luminiţa-Pachel,2
Adăscăliţei Constantin,3
Alexe Costel,4
Alexe Florin-Alexandru,5
Almăjanu Marin,6
Amet Varol,7
Anastase Roberta Alma,8
Andea Petru,9
Andronache Gabriel,10
Anghel Gabriela-Lola,11
Antal István,12
Anton Marin,13
Anuşca Roxana-Florentina,14
Ardeleanu Sanda-Maria,15
Arsene Ionel,16
Avram Constantin,17
Avram Marian,18
Axente Ioan,19
Babuş Radu,20
Balan Ioan,21
Baltă Mihai,22
Becali George,27
Bejinariu Eugen,28
Benga Ioan,29
Berci Vasile,30
Birchall Ana,31
Bleotu Vasile,34
Blăjuţ Viorel-Ionel,32
Blănariu Valentin,33
Boboc Valentin Gabriel,35
Bode Lucian Nicolae,36
Bogdan Gheorghe-Dănuţ,37
Bogdănici Camelia-Margareta,38
Boghicevici Claudia,39
Borbély László,41
Bordeianu Dan,42
Bot Octavian,43
Bucur Constantin-Alin,44
Bucura-Oprescu Simona,45
Budurescu Daniel-Stamate,46
Buican Cristian,47
Buicu Corneliu-Florin,48
Burlacu Ştefan,49
Bîrsăşteanu Florică,417
Bónis István,40
Băişanu Ştefan-Alexandru,23
Bălan Ion,24
Bănicioiu Nicolae,25
Bărbulescu Daniel-Ionuţ,26
Calimente Mihăiţă,50
Caloianu Mario-Ernest,51
Calotă Florică Ică,52
Canacheu Costică,53
Cazan Mircea-Vasile,54
Cernea Remus-Florinel,58
Chebac Eugen,59
Cherecheş Florica,60
Chiriţă Dumitru,61
Chirteş Ioan-Cristian,62
Chirvăsuţă Laurenţiu,63
Chiţoiu Daniel,64
Cioată Cezar,65
Ciobanu Gheorghe,66
Ciobanu Liliana,67
Ciocan Dan,68
Ciofu Tamara-Dorina,69
Ciolacu Ion-Marcel,70
Ciubotaru Lucian-Manuel,71
Ciucă Liviu-Bogdan,72
Ciuhodaru Tudor,73
Ciurariu Florin,74
Cocei Erland,75
Codîrlă Liviu,76
Coman Gheorghe,77
Comşa Cornel-George,78
Condurăţeanu Andrei-Răzvan,79
Constantin Daniel,80
Cosma Vlad-Alexandru,81
Costin Gheorghe,82
Covaci Dorel,83
Cozmanciuc Corneliu-Mugurel,84
Cristea Aurelia,86
Cristea Victor,87
Cristian Horia,88
Crăciunescu Grigore,85
Cseke Attila-Zoltán,89
Culeţu Dănuţ,90
Cupă Ion,91
Cupşa Ioan,92
Călin Ion,55
Căprar Dorel-Gheorghe,56
Cătăniciu Steluţa-Gustica,57
Daea Petre,93
Dalca Ştefan-Petru,94
Dascălu Constantin,95
Deaconu Mihai,96
Delureanu Virgil,97
Diaconu Adrian-Nicolae,98
Diaconu Mihai-Bogdan,99
Dima Toader,100
Diniţă Ion,101
Doboş Anton,103
Dobre Mircea-Titus,104
Dobre Victor Paul,105
Dobrinescu Traian,106
Dolha Mircea,107
Dolha Nechita-Stelian,108
Dolineaschi Andrei,109
Donţu Mihai-Aurel,110
Dragnea Nicolae-Liviu,111
Dragomir Gheorghe,112
Dragomir Maria,113
Dragomir Viorel Marian,114
Drăghici Mircea-Gheorghe,115
Drăghici Sonia-Maria,116
Drăguşanu Vasile-Cătălin,117
Dumbrăvanu Paul,118
Dumitrache Ileana Cristina,119
Dumitru Georgică,120
Dumitru Ioana-Jenica,121
Dumitru Ovidiu-Ioan,122
Duşa Mircea,123
Dîrzu Ioan,102
Emacu Gheorghe,124
Enache Marian,125
Enea Constantin-Cosmin,126
Eparu Ion,127
Erdei Dolóczki István,128
Fejér László-Ődőn,129
Fenechiu Cătălin-Daniel,130
Fenechiu Relu,131
Firczak Gheorghe,132
Florea Damian,133
Florea Daniel,134
Fonta Nuţu,135
Frăticiu Gheorghe,136
Galan Constantin,137
Ganţ Ovidiu Victor,138
Gavrilescu Graţiela Leocadia,139
Geantă Florian Daniel,141
Gerea Andrei Dominic,142
Gheorghe Andrei Daniel,415
Gheorghe Florin,143
Gheorghe Tinel,144
Ghera Giureci-Slobodan,145
Ghiveciu Marian,147
Ghiţă Sebastian-Aurelian,146
Gireadă Dumitru-Verginel,148
Giurescu Dinu,149
Gliga Vasile Ghiorghe,150
Gorghiu Alina-Ştefania,151
Grama Horia,152
Grapini Maria,153
Grecea Maria,154
Grindeanu Sorin Mihai,155
Grosaru Mircea,156
Gudu Vasile,157
Gunia Dragoş-Ionel,158
Guran Virgil,159
Gurzău Adrian,160
Gust Băloşin Florentin,161
Gvozdenovici Slavomir,162
Găină Mihăiţă,140
Harbuz Liviu,163
Hellvig Eduard Raul,165
Holban Titi,166
Horga Vasile,167
Hrebenciuc Viorel,168
Hulea Ioan,169
Hărău Eleonora-Carmen,164
Iacob Ridzi Monica Maria,170
Iacoban Sorin-Avram,171
Ialomiţianu Gheorghe,172
Iancu Iulian,173
Iane Daniel,174
Iane Ovidiu-Cristian,175
Ibram Iusein,176
Ignat Miron,177
Iliuţă Vasile,178
Intotero Natalia-Elena,179
Ionescu Aurelian,180
Ionescu George,181
Iordache Florin,182
Irimie Vicenţiu-Mircea,183
Iriza Scarlat,184
Ispir Raluca-Cristina,185
Itu Cornel,186
Kelemen Atilla-Béla-László,187
Kelemen Hunor,188
Kerekes Károly,189
Kereskényi Gábor,190
Khraibani Camelia,191
Korodi Attila,192
Laza-Matiuţa Liviu,193
Longher Ghervazen,194
Lubanovici Mircea,195
Lupu Mihai,196
Man Mircea,197
Manda Iulian Claudiu,198
Manea Victor-Gheorghe,199
Manolache Marius,200
Manolescu Oana,201
Marcoci Vlad,202
Marcu Nicu,203
Marcu Viorica,204
Marian Ion Cristinel,205
Marica Petru-Sorin,414
Marin Gheorghe,206
Marin Laura,413
Markó Attila-Gabor,207
Marocico Ion,208
Martin Eduard-Stelian,209
Matei Călin-Vasile-Andrei,212
Mazilu Constantin,213
Melinte Ion,215
Merka Adrian-Miroslav,216
Mihai Aurelian,217
Mihăilescu Ion-Bogdan,219
Mihăilă Ioan,218
Militaru Lucian,220
Mincă Liliana,221
Mircovici Niculae,222
Mironescu Răzvan Horia,223
Mitrea Manuela,224
Mitrea Miron Tudor,225
Mocanu Adrian,227
Mocanu Vasile,228
Mocioalcă Ion,229
Mocioi Niculina,230
Moisii Constantin,231
Moldovan Carmen Ileana,232
Moldovan Ioan,233
Moldovan Iosif,234
Molnar Zsolt,235
Motreanu Dan-Ştefan,236
Movilă Petru,238
Moţ Constantin-Stelian-Emil,237
Muntean Mircia,239
Munteanu Ioan,240
Murgu Neagu,241
Márton Árpád-Francisc,210
Máté András-Levente,211
Mîrza Gavril,226
Măduţa Flavius-Luigi,214
Nassar Rodica,242
Nazare Alexandru,243
Neacşu Marian,244
Nechita Aurel,245
Necula Cosmin,246
Negruţ Clement,247
Negruţ Cornelia,248
Neţoiu Gheorghe,249
Nica Dan,250
Nica Nicolae-Ciprian,251
Nichita Cristina,252
Nicoară Romeo Florin,253
Nicolae Alexandri,254
Nicolae Florian,255
Nicolescu Theodor-Cătălin,257
Nicolicea Eugen,258
Nicolăescu Gheorghe-Eugen,256
Niculae Aurel,259
Niculescu Dumitru,260
Niculescu Duvăz Bogdan Nicolae,261
Niculescu-Mizil Ştefănescu Oana,262
Nistor Gheorghe-Vlad,263
Nistor Laurenţiu,264
Nistor Marioara,265
Niţă Constantin,266
Niţă Emil,267
Nosa Iuliu,268
Oajdea Daniel Vasile,269
Ochi Ion,270
