name,wikiname,party,area,term,source
Stéphane Artano,Stéphane Artano,Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Françoise Letournel,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Gérard Briand,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Céline Gaspard,"",Archipel demain,Miquelon-Langlade,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Odile Beaupertuis,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Jean-Yves Desdouets,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Jean-Pierre Lebailly,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Stéphane Coste,"",SPM Ensemble,Miquelon-Langlade,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Catherine de Arburn,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Gérard Grignon,Gérard Grignon,Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Claude Hacala,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Nathalie Rebmann,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Sonia Urdanabia,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Alain Goupillière,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Nicolas Gourmelon,"",Archipel demain,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Franck Detcheverry,"",Archipel demain,Miquelon-Langlade,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Isabelle Ozon,"",Archipel demain,Miquelon-Langlade,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Annick Girardin,Annick Girardin,Cap sur l'avenir - PRG,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Yannick Cambray,"",Cap sur l'avenir,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Stéphane Artano,Stéphane Artano,Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Catherine de Arburn,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Stéphane Lenormand,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Martine Derouet,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Bernard Briand,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Sonia Poirier Urdanabia,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Nicolas Gourmelon,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Valérie Corbeil Perrin,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Jean-Pierre Lebailly,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Joane Beauperthuis,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Gérard Briand,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Rosiane Gautier Zimmermann,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Céline Gaspard,"",Archipel demain,Miquelon-Langlade,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Olivier Detcheverry,"",Archipel demain,Miquelon-Langlade,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Marine Garnier,"",Archipel demain,Miquelon-Langlade,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Annick Girardin,Annick Girardin,Cap sur l'avenir - PRG,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Gildas Morel,"",Cap sur l'avenir,Miquelon-Langlade,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
David Dodeman,"",Cap sur l'avenir,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
Catherine Pen,"",Cap sur l'avenir,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
