name,wikiname,group,area,term,id,image,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,name__de,name__nl,name__it,name__fr,name__es,wikipedia__fr,name__zh,wikipedia__zh,name__lb,name__pt,name__pl,name__sm,name__ru,name__tr,name__yo,name__fi,name__gl,name__et,name__id,name__ja,name__el,name__sh,name__lt,name__sv,name__sr,name__hr,name__nb,name__da,name__nn,name__ko,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lt,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__sm,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__yo,identifier__wikidata
Fonotoe Pierre Lauofo,"",HRPP,Anoama'a West,15,47,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-FONOTOE-Nuafesili-Pierre-Lauofo.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toeolesulusulu Cedric Schuster,"",TSP,A'ana Alofi No. 3,15,35,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga_TOESULUSULU_Cedric_Pose_Salesa_Schuster.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuilaepa Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,HRPP,Lepa,15,41,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga_Hon_Tuilaepa_Fatialofa_Lupesoliai_Aiono_Neioti_Sailele_Malielegaoi.png,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,male,1945-04-14,,/m/08jzgq,Sailele Tuilaʻepa Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuila'epa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,图伊拉埃帕·萨伊莱莱·马利埃莱额奥伊,图伊拉埃帕·萨伊莱莱·马利埃莱额奥伊,Sailele Tuila'epa Malielegaoi,Tuila'epa Sailele Malielegaoi,Tuila'epa Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,"Малиелегаои, Туилаэпа Аионо Саилеле",Tuila'epa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuila’epa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,トゥイラエパ・サイレレ・マリエレガオイ,Τουιλαέπα Σαϊλέλε Μαλιελεγκαόι,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Sailele Malielegaoi Tuila'epa,Туилаепа Аионо Саилеле Малијелегаои,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,투일라에파 사일렐레 말리엘레가오이,Sailele Tuilaʻepa Malielegaoi,Τουιλαέπα Σαϊλέλε Μαλιελεγκαόι,Tuila'epa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuila’epa Sailele Malielegaoi,Tuilaepa Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,トゥイラエパ・サイレレ・マリエレガオイ,투일라에파 사일렐레 말리엘레가오이,Sailele Tuila'epa Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Tuila'epa Sailele Malielegaoi,Tuila'epa Sailele Malielegaoi,"Малиелегаои, Туилаэпа Аионо Саилеле",Tuilaepa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Туилаепа Аионо Саилеле Малијелегаои,Sailele Malielegaoi Tuila'epa,Tuila'epa Aiono Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,Q57723
Aveau Niko Palamo,Aveau Niko Palamo,TSP,Faleata East,15,44,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-AVEAU-Tuala-Lepale-Niko-Palamo.png,Aveau Niko Palamo,Aveau Niko Palamo,male,,,,Aveau Niko Palamo,Aveau Niko Palamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4827954
So'oalo Mene,"",Independent,Gagaifomauga No. 2,15,56,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-SOOALO-Mene.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lefau Harry Schuster,Lefau Harry Schuster,TSP,Vaimauga West,15,52,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-LEFAU-Harry-Schuster.png,Lefau Harry Schuster,Lefau Harry Schuster,male,,,,Lefau Harry Schuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16731362
Lenatai Victor Faafoi Tamapua,"",Independent,Vaimauga West,15,53,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-LENATAI-Victor-Faafoi-Tamapua.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuileutu Alava'a Voi,"",TSP,Fa'asalele'aga No. 3,15,58,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-TUILEUTU-Alavaa-Voi.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papali’i Li’o Taeu Masipau Tuilagi,"",TSP,Fa'asalele'aga No. 2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lealailepule Rimoni Aiafi,Lealailepule Rimoni Aiafi,TSP,Faleata West,15,51,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-LEALAILEPULE-Rimoni-Aiafi.png,Lealailepule Rimoni Aiafi,Lealailepule Rimoni Aiafi,male,,,,Lealailepule Rimoni Aiafi,,Lealailepule Rimoni Aiafi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6509359
